category,datetime,headline,id,image,related,source,summary,url
company,1776974723,Spotting Winners: AbbVie (NYSE:ABBV) And Therapeutics Stocks In Q4,139869430,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"The end of the earnings season is always a good time to take a step back and see who shined (and who not so much). Let’s take a look at how therapeutics stocks fared in Q4, starting with AbbVie (NYSE:ABBV).",https://finnhub.io/api/news?id=e6461af7574174ceaa31056c53adbeb11cc0cd9e407e17477e7822c13e060737
company,1776974700,AbbVie Provides Update on TrenibotulinumtoxinE (TrenibotE) Biologics License Application in the U.S.,139869431,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"AbbVie (NYSE: ABBV) today announced that it received a Complete Response Letter (CRL) from the U.S. Food and Drug Administration (FDA) regarding the Biologics License Application (BLA) for trenibotulinumtoxinE (TrenibotE), a first-in-class botulinum neurotoxin serotype E with a rapid onset of effect and short duration.",https://finnhub.io/api/news?id=522534e1d8a50967d822e1640b041a3a481c92dba9ea69ba9c525ee85a6831ae
company,1776974695,These 5 Stocks Pay You Even When You’re Sleeping,139869409,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"Market volatility in 2026 has reminded investors that earned income alone is fragile. When tariff fears rattle equities and economic uncertainty clouds the outlook, dividend investors sleep better. Passive income from dividend stocks requires only that you own the right companies. A well-constructed dividend portfolio generates cash flow every quarter, whether markets rise or fall. ... These 5 Stocks Pay You Even When You’re Sleeping",https://finnhub.io/api/news?id=0d51b5f40e898e361935ce3db15ff6815db6effcc01ad734e1d03993f01aab5f
company,1776965901,Discover BioLife Solutions And 2 Other Stocks That May Be Priced Below Their Estimated Value,139866827,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"Over the last 7 days, the United States market has risen by 1.7%, contributing to a remarkable 34% increase over the past year, with earnings anticipated to grow by 16% annually in the coming years. In such a thriving environment, identifying stocks that may be priced below their estimated value can present compelling opportunities for investors seeking potential growth and value.",https://finnhub.io/api/news?id=c7d9311b4ef5f61be9a7cfc1b3a68b1fc515f4390988d4088454e4d4657dd603
company,1776964827,Abbvie Provides Update on Trenibotulinumtoxine Biologics License Application in the U.S,139869002,,ABBV,Finnhub,"AbbVie received a Complete Response Letter from the U.S. Food and Drug Administration regarding the Biologics License Application for trenibotulinumtoxinE , a first-in-class botulinum neurotoxin...",https://finnhub.io/api/news?id=e7cc565cf49dee8d57637183652fe9e4cdd28c4a19100796aef3d029b50c6c53
company,1776964141,FDA Requests Additional Information on AbbVie's Application for Neurotoxin,139868814,,ABBV,Finnhub,By Kelly Cloonan The Food and Drug Administration requested further information regarding AbbVie's application for a neurotoxin aimed at facial aesthetics. AbbVie said Thursday the FDA's...,https://finnhub.io/api/news?id=ca34fa66422bb5f324e40ae8941d859a1d9da2492ef34bb91f328efba6a30bc5
company,1776961657,US FDA rejects AbbVie's wrinkle treatment due to manufacturing concerns,139868413,,ABBV,Finnhub,"AbbVie said on Thursdaythe U.S. Food and Drug Administration has declined to approveits experimental wrinkle treatment, citing issues inmanufacturing. The company said the agency did...",https://finnhub.io/api/news?id=f793c28c8d58269c987a882f5534e1404c006ce825e74ec9b9379263c31687c3
company,1776960716,"AbbVie Announces It Has Received A Complete Response Letter From the FDA Regarding Biologics License Application For TrenibotulinumtoxinE; FDA Requests Additional Information About Manufacturing Processes, Does Not Identify Any Safety Or Efficacy Concerns And Does Not Request Additional Clinical Studies",139881131,,ABBV,Benzinga,,https://finnhub.io/api/news?id=373ff28e1ba41b19fef21444f87316598d43b6f302fc455b07a8f3e4703eedd6
company,1776952807,Eli Lilly (LLY) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,139864184,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,Lilly (LLY) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,https://finnhub.io/api/news?id=fddc3dbc977da92083102663c79f30e00c90984073169530f9dabb1529d7021e
company,1776949680,AbbVie Q1 Earnings Loom: Buy or Sell the Stock Ahead of Results?,139864191,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"ABBV nears Q1 earnings with rising sales forecasts, but Humira erosion and weak ESP cloud outlook; can Skyrizi and Rinvoq momentum offset pressures?",https://finnhub.io/api/news?id=863ed651674480bbbdef9e6399db19ae6db5ea6b1a40d23fc8495ac1e9d50f08
company,1776945229,"Piper Sandler Maintains Overweight on AbbVie, Lowers Price Target to $294",139866674,,ABBV,Benzinga,Piper Sandler  analyst David Amsellem   maintains AbbVie (NYSE:ABBV) with a Overweight and lowers the price target from $299 to $294.,https://finnhub.io/api/news?id=ad465aae02b29624be168b6c019ef10baf3d8c76077c3834eb0deede46fc97da
company,1776944300,Goosehead Insurance And 2 Other Stocks That May Be Undervalued By The Market,139861148,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"Over the last 7 days, the United States market has risen by 1.7%, contributing to a notable 34% climb over the past year, with earnings anticipated to grow by 16% annually in the coming years. In this environment of robust growth, identifying undervalued stocks like Goosehead Insurance and others can offer opportunities for investors seeking value amidst broader market optimism.",https://finnhub.io/api/news?id=e8b6ae0cea47d4b94a4335cea7d140d7ead4848680d911835381aacb0fbb6301
company,1776944280,Drugmaker AbbVie chooses North Carolina for $1.4B manufacturing campus,139864221,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"The 185-acre site will be the company’s largest single investment to date, with a focus on small-volume parenteral products like vials and prefilled syringes.",https://finnhub.io/api/news?id=d74da460b294f51ea07d6ed739ec7bc3291a2b6ba69437b476df0cc6c2414b29
company,1776940618,AbbVie opts for North Carolina to house $1.4bn manufacturing site,139861149,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,This Durham-based facility will be AbbVie’s first manufacturing site in the state.,https://finnhub.io/api/news?id=6af56cec0e883e87a5cd16c6f4125bc6694042b33c5213d24474964ef910540f
company,1776929048,"We are on the verge of a bubble, says UBS' Fowler",139865564,https://image.cnbcfm.com/api/v1/image/108296008-17769388271776938823-45454698712-1080pnbcnews.jpg?v=1776938826&w=1920&h=1080,ABBV,CNBC,"Gerry Fowler, Head of European Equity Strategy at UBS says the AI and data centre trade is supporting the U.S. and Asia, describing it as the one trade left.",https://finnhub.io/api/news?id=463f7784c21371d2565f16d21fa299a911803f690df58c0121ca4698273e27b5
company,1776926166,AbbVie (ABBV): The Best Stock to Buy on a Pullback,139859054,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"AbbVie Inc. (NYSE:ABBV) is one of the 10 Stocks to Buy on a Pullback. On April 20, 2026, Canaccord initiated coverage of AbbVie Inc. (NYSE:ABBV) with a Buy rating and a $262 price target on the shares, offering an upside potential of around 29% from AbbVie Inc. (NYSE:ABBV)’s last close. On April 12, 2026, CollPlant […]",https://finnhub.io/api/news?id=70cd9aef593a16689e47800babd5c016069ebf50f137d1eb940cabccbf3d41a7
company,1776917970,Cartesian Therapeutics: A Phase 3 mRNA CAR-T Bet,139859357,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2248365948/image_2248365948.jpg?io=getty-c-w1536,ABBV,SeekingAlpha,"Cartesian Therapeutics' lead asset, Descartes-08, demonstrated a 7.1-point MG-ADL reduction at 12 months in Phase 2b. Find out why RNAC stock is a buy.",https://finnhub.io/api/news?id=a66ec8724bc316a516bbb9dc33f91623ceb04580bb1c8eb38cf40fbdbc789c76
