category,datetime,headline,id,image,related,source,summary,url
company,1776980702,Adobe Systems (ADBE) Sees a More Significant Dip Than Broader Market: Some Facts to Know,139870624,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"Adobe Systems (ADBE) reached $238.98 at the closing of the latest trading day, reflecting a -6.63% change compared to its last close.",https://finnhub.io/api/news?id=fb9553e8e22ef1058a6c12832ba6cf36a6af9d386d1f6994188e763345db4c57
company,1776977220,"4 Financial Pros Offer 5 Stocks, 3 ETFs to Play the Software Bust",139869436,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,Software stocks tumbled again after IBM and ServiceNow earnings. But cybersecurity and data stocks may be bargains.,https://finnhub.io/api/news?id=b7b29e9f253016153657f463e5b28db76c5028dc342bf615a450912ab245c967
company,1776973015,Jim Cramer Makes Interesting Remarks About Adobe (ADBE),139867685,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,We recently shared Jim Cramer Rubbished Circular AI Deals & Commented On These 18 Stocks. Adobe Inc (NASDAQ:ADBE) is one of the stocks discussed by Jim Cramer. Productivity software firm Adobe Inc (NASDAQ:ADBE)’s stock has struggled in today’s AI era. They are down by 29% over the past year and by 25.8% year-to-date. Amidst this […],https://finnhub.io/api/news?id=753b5e4acfc03903c887a38452db0b65fd3443a36ae7353ff2a30d2fc74debc2
company,1776972360,Iran War Adding to Software Stock Woes. What It Means for Adobe and Oracle.,139869472,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"‘We think macro and geopolitical factors are negatively impacting NOW and the broader sector,’ Macquarie analyst Steve Koenig wrote.",https://finnhub.io/api/news?id=2c26bb907e56556749bc7d690e5adfd3bcbed83e6b8f00916b7d5ae0292a7411
company,1776967217,Is Adobe Inc. (ADBE) A Good Stock To Buy Now?,139867915,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"Is ADBE a good stock to buy? We came across a bullish thesis on Adobe Inc. on Capital Curiosity’s Substack by Taylor Nichols. In this article, we will summarize the bulls’ thesis on ADBE. Adobe Inc.’s share was trading at $247.18 as of April 21st. ADBE’s trailing and forward P/E were 14.40 and 10.53 respectively according to […]",https://finnhub.io/api/news?id=1d125425e436a0e8a4a90996eabfc31989b01c08f502f0f1dc300a59140ce590
company,1776958078,ServiceNow Leads Software Stocks Lower After Warning The Iran War Is Holding Back Growth,139866354,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"Software stocks plunged Thursday, with ServiceNow shares leading the slump after the company said the Iran war is weighing on its business.",https://finnhub.io/api/news?id=7ab38f74f6b1327f71e5bd0946629a2486bfc2c9343821ff8665f935d4ff831e
company,1776955569,Shares of companies in the broader software sector are trading lower amid a pullback in sentiment after Q1 financial results and outlook comments from industry peers IBM and ServiceNow.,139867196,,ADBE,Benzinga,,https://finnhub.io/api/news?id=c4542b3d5884690099229440ed7b0e819d4422abf345683f638d655bdbea81cf
company,1776949464,"Software stocks plunge on ServiceNow, IBM results as AI fears escalate",139865411,https://image.cnbcfm.com/api/v1/image/108194579-1757019770569-gettyimages-2233043798-SERVICENOW_HQ.jpeg?v=1776887249&w=1920&h=1080,ADBE,CNBC,"Shares of ServiceNow sank over 16%, dragging down other software names like Salesforce, Workday and Oracle with it.",https://finnhub.io/api/news?id=b0631d32add5a60967d7ca2bcb9312f8518e3bceabff86a1f9c7f095149bc4d3
company,1776947891,Latest News In E-Commerce - South Korea's Social Commerce Boom Driven By Innovation,139862598,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"The South Korean social commerce market is experiencing robust growth, projected to reach USD 125.57 billion by 2026, marking a 12.1% annual increase. This expansion is driven by evolving consumer behaviors and the integration of live shopping formats and AI-driven platforms, which are enhancing engagement and personalization within the digital retail environment. Key platforms such as Naver, Kakao, and Coupang are pivotal in shaping this landscape, with trends focusing on live shopping, AI...",https://finnhub.io/api/news?id=5c70809c7228d7e5efd90c551391307b73ec6d2c3203f33a1a6ab0ea139ee637
company,1776947201,ServiceNow stock tumbles 17% as war in Iran impacts Q1 sales growth,139866315,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,ServiceNow stock tumbles after the Middle East war slowed down sales.,https://finnhub.io/api/news?id=ad5462d7044208f9351ee64bdb046748b2fd4db0bfd137719482dcda771087bd
