category,datetime,headline,id,image,related,source,summary,url
company,1776985720,Ameriprise Financial Q1 Earnings Call Highlights,139870664,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMP,Yahoo,"Ameriprise Financial (NYSE:AMP) reported what Chairman and CEO Jim Cracchiolo described as a “strong start to the year” for the first quarter of fiscal 2026, pointing to double-digit revenue and earnings growth despite “ongoing market volatility and economic uncertainty contributing to a more cautio",https://finnhub.io/api/news?id=e8fd815bd565daf53d4c2909eda5ec36d465fca988f1a3d8c2c5a07ff8dfa0fe
company,1776985177,Ameriprise (AMP) Q1 2026 Earnings Transcript,139870665,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMP,Yahoo,"Jim Cracchiolo: Good afternoon, and thank you for joining us.  As you saw in our earnings release, Ameriprise Financial, Inc. delivered a strong start to the year, driven by our disciplined execution and the benefits of our diversified business.  While the first quarter was marked by ongoing market volatility and economic uncertainty, contributing to more cautious client behavior, our value proposition continued to clearly differentiate us.",https://finnhub.io/api/news?id=dc53cf331354ba47ec2dd92f680d6360ac5e9e7d55bca2f7c15d2d755ba9f9ef
company,1776983402,"Compared to Estimates, Ameriprise (AMP) Q1 Earnings: A Look at Key Metrics",139871388,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMP,Yahoo,"Although the revenue and EPS for Ameriprise (AMP) give a sense of how its business performed in the quarter ended March 2026, it might be worth considering how some key metrics compare with Wall Street estimates and the year-ago numbers.",https://finnhub.io/api/news?id=288bfe6029c1f23a6ba2f4a1eec3b3fd7a8333479a6b43474732ce69ab577ce5
company,1776981303,Ameriprise Financial Services (AMP) Tops Q1 Earnings and Revenue Estimates,139870666,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMP,Yahoo,"Ameriprise (AMP) delivered earnings and revenue surprises of +10.45% and +2.26%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=ba7b2cdb129dbc52c30f75e9b4906a407373ccd3960c8019bb335cf70f84437d
company,1776979293,"Ameriprise Financial, Inc. (AMP) Q1 2026 Earnings Call Transcript",139871104,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,AMP,SeekingAlpha,"Ameriprise Financial, Inc. (AMP) Q1 2026 Earnings Call April 23, 2026 5:00 PM EDTCompany ParticipantsStephanie Rabe - Head of Investor RelationsJim...",https://finnhub.io/api/news?id=e2d0f49a5190e613baa270228e07272267bd06b02c55b9c2c4a407f9013b6743
company,1776978600,"Ameriprise Financial Beat Earnings Estimates, But Advisor Asset Gathering Slowed",139869608,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMP,Yahoo,"The wealth management company reported a 12% increase in assets under administration, despite elevated advisor attrition.",https://finnhub.io/api/news?id=fd8c62d112c2422bb7c7e12767829eb1aed9e7c876efdbfb3e1ae7d845dee9b2
company,1776978315,"Ameriprise Financial (NYSE:AMP) Crushes Q1 Estimates, Record Adjusted EPS Up 19%",139868967,https://www.chartmill.com/images/uploads/earnings_article_1_defce97180.webp,AMP,ChartMill,"Ameriprise Financial crushes Q1 estimates with record adjusted EPS of $11.26, up 19%. Revenue hits $4.77B, assets reach $1.7 trillion, and dividend raised 6%. Strong advisor productivity and strategic wins drive growth.",https://finnhub.io/api/news?id=2e4625caf2de057785a7fee7eb9665cc8a261140bdd1bbbfd0bb160498d52c30
company,1776976203,Ameriprise Financial (NYSE:AMP) Reports Upbeat Q1 CY2026,139869508,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMP,Yahoo,"Financial services company Ameriprise Financial (NYSE:AMP) beat Wall Street’s revenue expectations in Q1 CY2026, with sales up 13.4% year on year to $4.89 billion. Its non-GAAP profit of $11.26 per share was 10.3% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=bed29f7449aec86aed130e16a655b17d960eacb03724dec3978177c5df37ab54
company,1776975300,Ameriprise Financial Reports First Quarter 2026 Results,139869610,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMP,Yahoo,"MINNEAPOLIS, April 23, 2026--Ameriprise Financial, Inc. (NYSE: AMP):",https://finnhub.io/api/news?id=cee3f33a46c601f26fe2be5239840f67db5b9da93f6930c11f4c0c04bed34cc5
company,1776970847,"Transcript : Ameriprise Financial, Inc., Q1 2026 Earnings Call, Apr 23, 2026",139870586,,AMP,Finnhub,"Presentation Operator MessageOperator [Audio gap][Operator Instructions] As a reminder, the conference is being recorded.I'll now turn the call over to Stephanie Rabe. Stephanie, you may...",https://finnhub.io/api/news?id=b5bf9a75887fef85cdfae240acf6e182eba26e3f7c156e1a9ee012737aa07714
