category,datetime,headline,id,image,related,source,summary,url
company,1776980100,Intel Earnings Were Strong Enough to Put the DotCom Bust in the Stock’s Rearview Mirror,139869307,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,APO,Yahoo,Intel shares were up sharply in after-hours trading Thursday after the chip maker reported strong first-quarter results.,https://finnhub.io/api/news?id=392a40d9aa08082733d4562790def5395de92ec462a8f1b107b4c66e3c67a27c
company,1776970689,Friday's big stock stories: What’s likely to move the market in the next trading session,139878683,https://image.cnbcfm.com/api/v1/image/108292564-1776352463079-Traders-Photo-20260416-KK-PRESS-006.jpg?v=1776352733&w=1920&h=1080,APO,CNBC,"Both the S&P 500 and Nasdaq Composite scored all-time intraday highs on Thursday, but ultimately ended the session in the red, respectively losing 0.4% and 0.9%.",https://finnhub.io/api/news?id=b1d17b65062c62fadea52cc2327887a79b4731e1ae6cbc9f92a4347d81df7f22
company,1776967461,Apollo Shifts From Golf Clubs To Gas Infrastructure In Capital Reallocation,139867965,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,APO,Yahoo,"Apollo Global Management (NYSE:APO) agreed for its managed funds to acquire a 40% stake in Pembina Gas Infrastructure Inc., a gas processing business in Western Canada. The firm is also reportedly in talks to sell its Invited Clubs private golf club business for about US$3b. These potential transactions point to meaningful shifts in Apollo's exposure to energy infrastructure and hospitality. Apollo Global Management, traded as NYSE:APO, runs a large alternative asset platform across credit,...",https://finnhub.io/api/news?id=3e351e46b0c133584545fab8b0bc28db529ea123f6b06d9cfbc46d080eda7ed2
company,1776961080,Franklin Gears Up to Report Q2 Earnings: Here's What You Should Know,139866498,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,APO,Yahoo,"BEN's Q2 results, scheduled for April 28, are likely to show higher earnings and revenues, though net outflows and weaker equity markets may weigh on earnings.",https://finnhub.io/api/news?id=c0fa8b0e5351ee1d1255f0305a5bb603d3c2c7d5219d399a0aca24e6023c32e2
company,1776960283,"Intel's stock soars 20% as results top estimates, with chipmaker showing signs of growth",139878665,https://image.cnbcfm.com/api/v1/image/108209988-1760019895734-lib-bu-tan-wafer-ultra-core-3-1024x726.jpg?v=1769029098&w=1920&h=1080,APO,CNBC,Intel has been a Wall Street darling of late even as the business has yet to find much momentum.,https://finnhub.io/api/news?id=b49ca3a99225481837960b5cccee946da499ef6925b740a60aed601c307fc270
company,1776958527,"Shares of companies in the broader financial sector are trading lower amid overall market weakness, as investors react to reports that air defenses were activated in Tehran and to President Trump's social media post.",139867610,,APO,Benzinga,,https://finnhub.io/api/news?id=ef74d45fe02320fc07fcdacc8fd37eacff45e11cc64273fa092c99bab6e19258
company,1776954060,Thoma Bravo Faces $5 Billion Wipeout As Medallia Heads To Lenders,139868335,https://cdn.benzinga.com/files/images/story/2026/04/23/Software-As-A-Service-Saas--Software-Con_0.jpeg?width=2048&height=1536,APO,Benzinga,"Thoma Bravo is inching closer to a deal that would transfer control of Medallia to its lenders, effectively erasing $5.1 billion.",https://finnhub.io/api/news?id=be7b37c6cd3e10ab52916eca86c7bbe820b4ec88669a1e5691ebe1df10dd08ff
company,1776950745,Sector Update: Energy Stocks Edge Higher Premarket Thursday,139862891,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,APO,Yahoo,"Energy stocks were edging higher premarket Thursday, with the State Street Energy Select Sector SPDR",https://finnhub.io/api/news?id=8624b2a5d9d80809d618a61b054f2b01c9d3d99d4b838e93f3574c559fb4479c
company,1776949200,"WestCX Launches Orchestrate, Establishing the System of Action for Regulated Industries",139862911,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,APO,Yahoo,"New platform introduces the orchestration layer enterprises have been missing, connecting conversations, campaigns, AI, and governed intelligence to deliver measurable outcomes, starting with pharmacyOMAHA, Neb., April 23, 2026 (GLOBE NEWSWIRE) -- WestCX, part of West Technology Group, today announced the launch of WestCX Orchestrate, a new platform that establishes the system of action for regulated industries, enabling organizations to move from fragmented engagement to coordinated, outcome-dr",https://finnhub.io/api/news?id=340913bddb783b59a5d8677fb05499ce982f22a877d8ef06cdcc9ef77978d96d
company,1776945600,Apollo Funds to Acquire 40% Interest in Pembina Gas Infrastructure,139862912,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,APO,Yahoo,"Strategic Transaction to Support One of Canada’s Largest Natural Gas Processing Platforms in Next Phase of GrowthNEW YORK and CALGARY, Alberta, April 23, 2026 (GLOBE NEWSWIRE) -- Apollo (NYSE: APO) today announced that Apollo-managed funds (“Apollo Funds”) have agreed to acquire a 40% stake in Pembina Gas Infrastructure Inc. (“PGI” or the “Company”), a premier gas processing entity in Western Canada, from funds managed by KKR. Pembina Pipeline Corporation (“Pembina”) (TSX: PPL; NYSE: PBA), which",https://finnhub.io/api/news?id=021f341292b52b2cb18a2cf0834f856f5255e6c2909a3798003e1902ded95952
