category,datetime,headline,id,image,related,source,summary,url
company,1776981600,Historic Artworks Receive Funding through BofA's Art Conservation Project™,139870516,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,"Bank of America announced today that 18 nonprofit cultural institutions across 10 countries will receive grants this year through the Bank of America Art Conservation Project™. The selected projects represent a wide range of artistic traditions and conservation needs, from fragile works on paper to paintings and objects requiring advanced preservation techniques.",https://finnhub.io/api/news?id=bb4df5b03b9f8a78a7b1a51813addc6465225a02378936b500795d7d72e3ccf5
company,1776975300,Bank of America Declares Second Quarter 2026 Stock Dividends,139869433,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,"Bank of America Corporation today announced the Board of Directors declared a regular quarterly cash dividend on Bank of America common stock of $0.28 per share, payable on June 26, 2026 to shareholders of record as of June 5, 2026.",https://finnhub.io/api/news?id=a977a64cff88e4e7a2a6ba6f9bb2abdf11353dd0308171f5f247ebf3f468f954
company,1776974712,How The DT Midstream (DTM) Story Is Shifting On Growth Backlog And Rich Valuation Concerns,139869434,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,"DT Midstream’s updated blended fair value now sits at $142.71, a small move from $141.57 that still caught the attention of analysts watching for shifts in expectations. Recent research highlights a mix of optimism and caution, as higher targets into the US$150s are weighed against questions about valuation, growth capex, and how much of the shadow backlog will translate into committed projects. Read on to see what is driving these changing views and how you can keep track of this evolving...",https://finnhub.io/api/news?id=a18e5a4c07ab70788ba6e3a8865a4cc60f191d999de99d3b123a77026aa515f1
company,1776974280,"IBM Q1 earnings beat offset by softer software momentum, says Bank of America",139869435,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,"Bank of America analysts have reiterated a constructive view on International Business Machines Corp (NYSE:IBM) following the company’s first-quarter results, which delivered a modest revenue and earnings beat but prompted a more nuanced read-through on underlying software momentum and margin...",https://finnhub.io/api/news?id=6019e5af402b0e36a79e4dccf799182df8e37f9412e3e71bb8d4ddb4ddcab772
company,1776972871,Japan core inflation accelerates after five months as Iran war stokes energy worries ,139878669,https://image.cnbcfm.com/api/v1/image/108162965-1750743093357-gettyimages-2220269086-AFP_633Y39D.jpeg?v=1750822861&w=1920&h=1080,BAC,CNBC,Government data showed the inflation figure — which strips out prices of fresh food — was in line with the 1.8% expected by economists polled by Reuters.,https://finnhub.io/api/news?id=f1e25b0976d0cc3508b973eda8fd19acc1e1000c81fc14015e2fd885078c6aa9
company,1776972600,"Alphabet set to report modest beat for Q1 driven by AI, Cloud growth",139867711,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,"Bank of America has reiterated its “Buy” rating on Google’s parent company Alphabet Inc (NASDAQ:GOOG) ahead of the company’s first quarter earnings report on April 29, highlighting artificial intelligence integration and resilient search demand as key drivers of near-term stock...",https://finnhub.io/api/news?id=28fa6dd058a4c5716fb1619992b0ed713f1337b50ebb5103a7ac14c7730a8397
company,1776966060,"Tesla sees analyst support on strong auto margins, AI strategy after Q1 beat",139866224,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,"Tesla Inc (NASDAQ:TSLA)’s first quarter earnings report drew a generally positive, though measured, response from analysts at Bank of America and Wedbush, who highlighted stronger-than-expected automotive margins and continued investment in autonomy and artificial intelligence as central to the...",https://finnhub.io/api/news?id=671f5f7d1409ea37c39aa4a2bf78a8546e9fc9b394ffe84917abb811af81e062
company,1776964884,"Texas Instruments To Benefit From Industrial Resurgence, Data Center Demand, BofA Says",139866281,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,"Texas Instruments (TXN) is expected to benefit from industrial resurgence, especially in aero/defens",https://finnhub.io/api/news?id=773658b7297df581abdf2a1b934282799069eb4e6918d0b22661f29f5a8dbff5
company,1776963697,Bank of America (BAC) Remains in Warren Buffett’s Portfolio Since 2011; See Why,139866282,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,"Bank of America Corporation (NYSE:BAC) is included in our list of the best Warren Buffett stocks. Bank of America Corporation (NYSE:BAC) has remained in Warren Buffett’s holdings since 2011, when the billionaire acquired a $5 billion stake in the bank through preferred shares. Later, in Q3 2017, he acquired 679 million common shares, which translated […]",https://finnhub.io/api/news?id=2ee2797a2f777fdd5571334a94929a4f9cb3ac9cffec92007409b39d99451033
company,1776953884,I’m a Banking Expert: Smart Ways To Use a Bigger Tax Refund in 2026,139864222,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,"Experts shared smart ways Americans can save, pay down debt and invest a larger tax refund in 2026 without derailing goals.",https://finnhub.io/api/news?id=8cdedbdaac90351467abd004d1d8fe8bb9a0f9300a753acbbe0e56b053038a01
