category,datetime,headline,id,image,related,source,summary,url
company,1776987302,Baker Hughes (BKR) Q1 Earnings and Revenues Surpass Estimates,139871383,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BKR,Yahoo,"Baker Hughes (BKR) delivered earnings and revenue surprises of +16.87% and +3.92%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=42afaa82767efb9b610002a5c06a55453bce33f5bb4fa00456c25deece561036
company,1776986525,"Baker Hughes Co (NASDAQ:BKR) Beats Q1 Estimates, But Cash Flow Cliff Dents Stock",139870422,https://www.chartmill.com/images/uploads/THUMBNAILS_CHARTMILL_1000_528_16_065e226ebd.webp,BKR,ChartMill,"Baker Hughes beat Q1 estimates on record IET orders, but shares slipped 0.7% as free cash flow plunged 84% from Q4.",https://finnhub.io/api/news?id=050f4b4946a375441cf72946ac768b966d589480dbae0ca50f3909346706068d
company,1776978518,Baker Hughes (NASDAQ:BKR) Delivers Strong Q1 CY2026 Numbers,139869584,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BKR,Yahoo,"Energy technology company Baker Hughes (NASDAQ:BKR) reported Q1 CY2026 results exceeding the market’s revenue expectations, with sales up 2.5% year on year to $6.59 billion. Its non-GAAP profit of $0.58 per share was 17.5% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=3a975145911c86795f1a3f6698ee235bea4747e7500fb7002c744eee20f40036
company,1776978484,The Bull Case For Baker Hughes (BKR) Could Change Following Sharp EPS Estimate Cuts Before Earnings,139869585,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BKR,Yahoo,"Baker Hughes recently presented at the USHCC Energy Summit in Santa Fe and is set to report quarterly earnings after market close, with analysts expecting revenue of about US$7.39 billion, roughly flat year on year. What stands out is that consensus EPS estimates for the upcoming quarter have been revised around 12.5% lower over the past month, underscoring how quickly sentiment can shift ahead of results. With earnings approaching and EPS expectations recently cut, we’ll now examine how...",https://finnhub.io/api/news?id=1c0f4dcbb746cdeabab3ce2e8a34736656cf5c28d818efbb43d0ecfb31ddfaf2
company,1776978000,Baker Hughes Announces First-Quarter 2026 Results,139869586,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BKR,Yahoo,"HOUSTON and LONDON, April 23, 2026 (GLOBE NEWSWIRE) -- Baker Hughes Company (Nasdaq: BKR) (""Baker Hughes"" or the ""Company"") announced results today for the first quarter of 2026. ""Our exceptional first-quarter performance highlights the strength of our portfolio and the momentum we are building as we progress through Horizon 2(1). Despite significant disruptions in the Middle East, our teams executed at a high level and delivered results that exceeded our guidance range. Although we recognize th",https://finnhub.io/api/news?id=b72ebebf3016102d4bf96b08878267defd40ce8c6f4be9ba3850b7899eab668d
company,1776974700,Baker Hughes Declares Quarterly Dividend,139869587,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BKR,Yahoo,"HOUSTON and LONDON, April 23, 2026 (GLOBE NEWSWIRE) -- Baker Hughes (NASDAQ: BKR) announced today that the Baker Hughes Board of Directors declared a quarterly cash dividend of $0.23 per share of Class A common stock payable on May 15, 2026, to holders of record on May 5, 2026. Baker Hughes expects to fund its quarterly cash dividend from cash generated from operations. About Baker Hughes:Baker Hughes (NASDAQ: BKR) is an energy technology company that provides solutions to energy and industrial",https://finnhub.io/api/news?id=3833eebcbbdd36a583ed39b91202ec23bc7532e4ba9dd9d5a204effbee63ad43
company,1776969257,Baker Hughes Co outlook FY revenue $26.2 billion to $28.3 billion - presentation,139870617,,BKR,Finnhub,"Baker Hughes Co: Baker Hughes Co outlook FY revenue $26.2 billion to $28.3 billion - presentation Baker Hughes Co: outlook Q2 revenue $6,250 million-$6,750 million Baker Hughes Co: outlook Q2...",https://finnhub.io/api/news?id=5b51262e5d12cdebc3c07dd13bf0b4d99b298a0a6050cc13f5d388bc7b318ad5
company,1776967184,"Baker Hughes tops estimates, says oilfield activity hit by Middle East disruptions",139869569,,BKR,Finnhub,"Oilfield services provider Baker Hughes beat Wall Street estimates for first-quarter profit, as strong demand in its industrial and energy technology unit offset drilling weakness caused by...",https://finnhub.io/api/news?id=d431f709d0a4aa0b7175fef1103b91fa375427dec47ff260c61219bebac8e97a
company,1776966683,Is Baker Hughes Company (BKR) A Good Stock To Buy Now?,139866495,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BKR,Yahoo,"Is BKR a good stock to buy? We came across a bullish thesis on Baker Hughes Company on Jon’s Thoughts’s Substack by Jon Chu. In this article, we will summarize the bulls’ thesis on BKR. Baker Hughes Company’s share was trading at $62.54 as of April 22nd. BKR’s trailing and forward P/E were 24.05 and 24.33 respectively […]",https://finnhub.io/api/news?id=46ea4439efd1a1d908eb5d15374e7438b644566011d019ba382ceea782fee9be
company,1776965289,Baker Hughes : First Quarter 2026 Earnings Call Slides,139869044,,BKR,Finnhub,"‌1Q 2026 Results April 24, 2026 Copyright 2026 Baker Hughes Company. All rights reserved. The information contained in this document is company...",https://finnhub.io/api/news?id=924b3da84207218fad960c5edb94fd16c2a82a4ff64769da1385bea8509e59d9
