category,datetime,headline,id,image,related,source,summary,url
company,1776981600,Onco-Innovations Advances Polymer Testing as It Moves Its PNKP Inhibitor Technology Toward IND-Enabling Studies,139876538,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CBOE,Yahoo,"VANCOUVER, BC / ACCESS Newswire / April 23, 2026 / Onco-Innovations Limited (CBOE CA:ONCO)(OTCQB:ONNVF)(Frankfurt:W1H, WKN: A3EKSZ) (""Onco"" or the ""Company"") is pleased to announce that it has advanced an analytical method used to measure and control ...",https://finnhub.io/api/news?id=70fbd9c0f604a05cf7b3d04b7f139c2a89b30fb78c6841181cc760f4f54968a2
company,1776979800,Zefiro Announces Investment of C$4.5M From Two European Strategic Investors,139869625,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CBOE,Yahoo,"Toronto, Ontario--(Newsfile Corp. - April 23, 2026) - ZEFIRO METHANE CORP. (CBOE CA: ZEFI) (FSE: Y6B) (OTCQB: ZEFIF) (the ""Company"", ""Zefiro"", or ""ZEFI"") is pleased to announce that it has closed investments from two European strategic investors. The Company issued 9,375,000 units of the Company (""Units"") at a price of C$0.48 per Unit for gross proceeds of C$4,500,000 (""Offering""). Each Unit is comprised of one common voting share in the capital of the Company (""Common Share"") and one Common...",https://finnhub.io/api/news?id=3c9e8701d4fc167f857dd7e47260f08dd0905a1485213a3decfa17fb633b8d5e
company,1776970800,"Tradr Set to Launch Leveraged ETFs on AXTI, CPNG, MPWR and STX",139867891,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CBOE,Yahoo,"NEW YORK, April 23, 2026--Tradr ETFs announces the launch of 2X long leveraged ETFs on AXTI, CPNG, MPWR and STX.",https://finnhub.io/api/news?id=755dd20127bba39eff5edd0bc846c54b42a68aba4baf5835f422752186ed1c4a
company,1776965700,"Nasdaq Q1 Earnings & Revenues Beat Estimates, Dividend Raised",139867922,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CBOE,Yahoo,Nasdaq beats Q1 estimates as Solutions and FinTech lift revenues by 13.7%. Its board raises quarterly dividend by 14.8% to 31 cents.,https://finnhub.io/api/news?id=98ba76808a2230497775be6672e7b31437e144890a34f30d1743ee5650c7c166
company,1776962100,Transaction in Own Shares,139866549,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CBOE,Yahoo,"Transaction in Own Shares 23 April 2026 • • • • • • • • • • • • • • • • Shell plc (the ‘Company’) announces that on 23 April 2026 it purchased the following number of Shares for cancellation. Aggregated information on Shares purchased according to trading venue: Date of PurchaseNumber of Shares purchasedHighest price paid Lowest price paid Volume weighted average price paid per shareVenueCurrency23/04/2026421,91633.325032.990033.1161LSEGBP23/04/2026175,33033.325032.995033.1113Chi-X (CXE)GBP23/04",https://finnhub.io/api/news?id=35e8600d005b5c6c69e2cba51c091a50633cea735613331f554d572209476176
company,1776959820,Can Allstate Beat Q1 Earnings Estimates on Net Investment Income?,139866502,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CBOE,Yahoo,"ALL heads into Q1 earnings with strong Property-Liability underwriting, rising premiums and investment income, but higher costs may pressure margins.",https://finnhub.io/api/news?id=3cb70c9137d4815e6616c9f987f0740406aa4c8b9e7192be7f211e3cb0085a25
company,1776952500,Verano Founder and Chief Executive Officer George Archos Celebrates Historic Announcement Confirming Cannabis Rescheduling to Schedule III,139862995,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CBOE,Yahoo,"Verano’s active operations span 13 states, comprised of 162 dispensaries operating under the Zen Leaf™ and MÜV™ retail banners, and 14 cultivation and processing facilities with more than 1.1 million square feet of cultivation capacity CHICAGO, April 23, 2026 (GLOBE NEWSWIRE) -- Verano Holdings Corp. (Cboe CA: VRNO) (OTCQX: VRNO) (“Verano” or the “Company”), a leading multi-state cannabis company, celebrates today’s announcement that cannabis will be rescheduled from Schedule I to Schedule III i",https://finnhub.io/api/news?id=628c69ee37349df6f3b51be14353dcd12520e3f214710ef121028aa2b0480dd1
company,1776951840,Middlefield Innovation Dividend ETF Distributions,139862996,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CBOE,Yahoo,"TORONTO, April 23, 2026 (GLOBE NEWSWIRE) -- Middlefield Innovation Dividend ETF (CBOE: MINN) (the “Fund”) is pleased to announce that distributions for the second quarter of 2026 will be payable to unitholders of Middlefield Innovation Dividend ETF as follows: Record DatePayable DateDistribution Per Trust UnitApril 30, 2026May 15, 2026$0.033May 31, 2026June 15, 2026$0.033June 30, 2026July 15, 2026$0.033 The trust units trade on Cboe Canada under the symbol MINN. The Fund offers a distribution re",https://finnhub.io/api/news?id=43478f5384d71ae83643933dc192c455cba49563cc8cd1e12cf8a345fbac03fe
company,1776949080,Rithm Capital's Q1 Earnings Test: Will Asset Management Stall Growth?,139864568,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CBOE,Yahoo,"RITM reports Q1 2026 earnings on April 28, with revenue expected to rise 65% but asset management income projected to plunge 73.6%.",https://finnhub.io/api/news?id=e01cc0f5a05cff93ca0580ca9e803eebc3a6437a186d2d17cdf3485938b9a775
company,1776947400,Tradetron Integrates with TradeStation to Power Automated Options Trading,139862997,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CBOE,Yahoo,"PLANTATION, Fla., April 23, 2026--TradeStation Securities, Inc. (""TradeStation""), the brokerage firm built for active equity and derivatives traders, today announced the addition of Tradetron Inc.* to its growing ecosystem of third parties integrated with its execution services via API — connecting automated options strategy execution directly into the TradeStation trading environment. The integration connects TradeStation's self-clearing execution infrastructure with Tradetron's automated tradi",https://finnhub.io/api/news?id=2deff914408424237de4c6c62b3e19d9c774a320350e0002cb280adafb55d034
