category,datetime,headline,id,image,related,source,summary,url
company,1776968939,"CBRE Group CEO Sees AI as Tailwind, Bullish on NYC Growth",139867980,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CBRE,Yahoo,"CBRE Group CEO Robert Sulentic says he is bullish on long-term growth across New York City. Speaking with Norah Mulinda on Bloomberg Television, Sulentic also says CBRE will become ""net winners"" thanks to AI.",https://finnhub.io/api/news?id=293fcc5f5cdc4907b104a3ed6cdfa1b5b94a694e559ad269c725f010742d6358
company,1776965040,CBRE's Q1 Earnings Beat Estimates on Solid Leasing & Capital Markets,139867981,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CBRE,Yahoo,"CBRE rides leasing and capital markets strength to a big Q1 earnings beat, lifting revenue and prompting a higher 2026 outlook.",https://finnhub.io/api/news?id=a97a44b4ae60b1de9bee4f0e22527969025374670a442aecd14ef1d64444d0ca
company,1776962920,"CBRE Group, Inc. Q1 2026 Earnings Call Summary",139866523,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CBRE,Yahoo,"Moby summary of CBRE Group, Inc.'s Q1 2026 earnings call",https://finnhub.io/api/news?id=2923c870289306a66afc33003a06271a1dd50087c41ac242b618cd9b251c56ea
company,1776954748,Aew Uk Reit Q4 Earnings Call Highlights,139864531,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CBRE,Yahoo,"Aew Uk Reit (LON:AEWU) used its Q4 investor update to highlight continued confidence in its portfolio and pipeline, while acknowledging a handful of quarter-specific issues including vacancies, a tenant administration event, and upcoming debt refinancing discussions. Merger discussions end without",https://finnhub.io/api/news?id=69d72d380e3e8408d32d99934ad3bdc2c50236ca2fe31caa5b9fa3177690c749
company,1776953495,CBRE (CBRE) Q1 2026 Earnings Call Transcript,139864532,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CBRE,Yahoo,"Also, as a reminder, our resilient businesses include facilities management, critical infrastructure services, property management, project management, loan servicing, valuation, other portfolio services, and recurring investment management fees.  Robert E. Sulentic: Thank you, Chandni, and good morning, everyone.",https://finnhub.io/api/news?id=6b25f24a9d263b860eb8037ee9b4a3ca15eb9d0e9827ec4b1e372ffb014dd50e
company,1776952802,"Compared to Estimates, CBRE (CBRE) Q1 Earnings: A Look at Key Metrics",139864533,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CBRE,Yahoo,"Although the revenue and EPS for CBRE (CBRE) give a sense of how its business performed in the quarter ended March 2026, it might be worth considering how some key metrics compare with Wall Street estimates and the year-ago numbers.",https://finnhub.io/api/news?id=ae2c2d0f4357ef552889a00d19787a6334773749ab8062a4e9b34d831d58b40f
company,1776951098,CBRE Group shares are trading lower. The company reported its Q1 financial results.,139867404,,CBRE,Benzinga,,https://finnhub.io/api/news?id=2dad83da57593271eced8375a1e99e0a45b85c4412c3336c0b67fb038f4d1880
company,1776950286,"Committee stocks on the move: United Rentals, Thermo Fisher, CBRE and American Express",139865654,https://image.cnbcfm.com/api/v1/image/108296338-17769621651776962162-45460792378-1080pnbcnews.jpg?v=1776962164&w=1920&h=1080,CBRE,CNBC,The Investment Committee react to some of their stocks that are moving today and reveal their strategies for each name.,https://finnhub.io/api/news?id=712ad2c21c1bd1410385b21c852302d156c645ae54d9c76e192fe6d698e7e6a7
company,1776946825,CBRE revenue jumps 19% on pivot to data center services,139866524,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CBRE,Yahoo,"The company’s move into critical infrastructure and data center services will be “at least as profound” as its move into outsourcing in the 1990s and 2000s, “and much faster,” CEO Bob Sulentic said.",https://finnhub.io/api/news?id=308bc059cdd91102f5a043df5ef478205298f4570b4e6cfc0edb9ac17281e64c
company,1776946203,CBRE Group (CBRE) Q1 Earnings and Revenues Top Estimates,139862949,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CBRE,Yahoo,"CBRE (CBRE) delivered earnings and revenue surprises of +42.16% and +3.97%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=6cf9a18ea5cddfa96ab0aa3b29355aed091481fce088a7b7974a04deb8f54351
company,1776944493,"CBRE Group, Inc. (CBRE) Q1 2026 Earnings Call Transcript",139863945,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,CBRE,SeekingAlpha,"CBRE Group, Inc. (CBRE) Q1 2026 Earnings Call April 23, 2026 8:30 AM EDTCompany ParticipantsChandni Luthra - Executive Vice President of Investor Relations...",https://finnhub.io/api/news?id=12ddac9dfd478807722f8fe54fa7548af7fa958a2eb5423bb0c5e7e3a2f1232d
company,1776943956,CBRE CEO on data centers: 'It's become a prominent part of our business',139866101,https://image.cnbcfm.com/api/v1/image/108296276-17769579601776957957-45459697574-1080pnbcnews.jpg?v=1776957960&w=1920&h=1080,CBRE,CNBC,"Bob Sulentic, CEO of CBRE, joins 'Money Movers' to discuss the company's data center business, its recent earnings report, trends in office leasing, and more.",https://finnhub.io/api/news?id=f27574d0a9226c97f04069685431ebfb86502a7c427e440f7d4c43f897476f21
company,1776942914,CBRE (NYSE:CBRE) Beats Q1 CY2026 Sales Expectations,139861332,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CBRE,Yahoo,"Commercial real estate firm CBRE (NYSE:CBRE) reported Q1 CY2026 results topping the market’s revenue expectations, with sales up 18.6% year on year to $10.53 billion. Its non-GAAP profit of $1.61 per share was 42.3% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=e2026055869ad5557c524e041797dfe9f5aca8f905cfbad2565067e0d3e42343
company,1776941700,"CBRE Group, Inc. Reports Financial Results for Q1 2026",139861333,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CBRE,Yahoo,"DALLAS, April 23, 2026--CBRE Group, Inc. (NYSE: CBRE) today reported financial results for the first quarter ended March 31, 2026.",https://finnhub.io/api/news?id=fa749051fe17f40f2bcafb3ac55909d4e0dcc5512ce006cafeaabf0f438ffba8
company,1776938718,"Transcript : CBRE Group, Inc., Q1 2026 Earnings Call, Apr 23, 2026",139863038,,CBRE,Finnhub,"Presentation Operator MessageOperator Greetings, and welcome to the First Quarter 2026 CBRE Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded.It is...",https://finnhub.io/api/news?id=5aff7e2a541aef7b1391d2aca889dcc579be686db829855c811b0945113607b9
company,1776936876,CBRE beats quarterly estimates as data centers fuel real estate demand,139862428,,CBRE,Finnhub,"Real estate services firm CBRE beat Wall Street expectations for first-quarter profit and revenue on Thursday, helped by strong demand for its leasing and facilities management services amid rapid...",https://finnhub.io/api/news?id=e86bdaa4fadd6d28cc9fe54fb1250e057f9483745a04525b486283e7411dc749
company,1776936501,Full Transcript: CBRE Group Q1 2026 Earnings Call,139867405,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_2.jpg?width=2048&height=1536,CBRE,Benzinga, ,https://finnhub.io/api/news?id=9710dfc276cfb4c5acba8a38fa659f8dbeafe3b01bc6e79e1405e86b7730c397
company,1776934934,"CBRE Group, Inc. 2026 Q1 - Results - Earnings Call Presentation",139862192,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,CBRE,SeekingAlpha,"2026-04-23. The following slide deck was published by CBRE Group, Inc.",https://finnhub.io/api/news?id=8fda57a951b6efbcd66b9c85a1a78f00c23ddae6d4c5229b6bc3fa2fb10d9fc3
company,1776932439,"CBRE Group, Inc. Reports Earnings Results for the First Quarter Ended March 31, 2026",139861670,,CBRE,Finnhub,"CBRE Group, Inc. reported earnings results for the first quarter ended March 31, 2026. For the first quarter, the company reported sales was USD 10,527 million compared to USD 8,875 million a year...",https://finnhub.io/api/news?id=817ab20d16d63e87683cd4dbde398fc2c77181b53b82e3aa7cc5043d2d3e7af4
company,1776928329,CBRE: Q1 Earnings Snapshot,139860753,,CBRE,Finnhub,"DALLAS — DALLAS — CBRE Group Inc. on Thursday reported first-quarter profit of $318 million. On a per-share basis, the Dallas-based company said it had profit of $1.07. Earnings, adjusted for...",https://finnhub.io/api/news?id=2f9b06accbcb35a48e3876416335a18a6c87491b63482d1cec9558e1bd50de0c
company,1776928289,"Earnings Scheduled For April 23, 2026",139863224,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,CBRE,Benzinga, ,https://finnhub.io/api/news?id=8c563fc2379fa00c5d61da639c5622b1afb5e4f0e546029b6c462f78a95936f6
company,1776927550,CBRE : Earnings Release Q1 2026,139860530,,CBRE,Finnhub,EXHIBIT 99.1 Press Release FOR IMMEDIATE RELEASE ...,https://finnhub.io/api/news?id=65d06543829b9121b10d51117afde2520e72e1c5d37c1e869b745d15fcda6b34
company,1776927419,CBRE Group Raises FY2026 Adj EPS Guidance from $7.30-$7.60 to $7.60-$7.80 vs $7.46 Est,139867407,,CBRE,Benzinga,,https://finnhub.io/api/news?id=3daa4c75e23473e07f6f3f5cb0ab19b2fe8c9761dc1fc22af89ad7f0c5df8b6d
company,1776927365,"CBRE Group Q1 Adj. EPS $1.61 Beats $1.13 Estimate, Sales $10.527B Beat $10.223B Estimate",139867408,,CBRE,Benzinga,,https://finnhub.io/api/news?id=46eee49665548a7a8b33f381b9f783e30927e83d8497dff66aad23222265b5c0
