category,datetime,headline,id,image,related,source,summary,url
company,1776962938,"CenterPoint Energy, Inc. Q1 2026 Earnings Call Summary",139866560,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CNP,Yahoo,"Moby summary of CenterPoint Energy, Inc.'s Q1 2026 earnings call",https://finnhub.io/api/news?id=a44195cf504fcff29b908afa02a54a9e8d185efe2eb4b2afb93112ab369defc7
company,1776960131,CenterPoint Energy : Debt and Liquidity Schedules for the Quarter ended in 12-31-2025,139867934,,CNP,Finnhub,"4th QUARTER 2025 DEBT AND LIQUIDITY SCHEDULES December 31, 2025 DEBT AND CAPITALIZATION RATIOS EXCLUDING...",https://finnhub.io/api/news?id=ef1d079d6ed20b4c223ade36784ba183c239b0a86d6bc0222cced9f325890404
company,1776955601,CenterPoint (CNP) Q1 2026 Earnings Transcript,139864582,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CNP,Yahoo,"Jason Wells: Thank you, Ben, and good morning, everyone.  Second, I'll provide an update on our load outlook for Houston Electric, including yet another significant increase in our firmly committed load forecast to 12.2 gigawatts of new industrial load.  Third, I will cover how our continued and accelerating growth in the greater Houston area to provide incremental capital investment opportunities and further support customer affordability.",https://finnhub.io/api/news?id=a26ccdf678bd78712ef8d24293bdefbbba6ea262a3fb160e08fa74836261d8fb
company,1776952897,"CenterPoint Energy, Inc. (CNP) Q1 2026 Earnings Call Transcript",139866755,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,CNP,SeekingAlpha,"CenterPoint Energy, Inc. (CNP) Q1 2026 Earnings Call April 23, 2026 8:00 AM EDTCompany ParticipantsBen VallejoJason Wells - President, CEO &...",https://finnhub.io/api/news?id=316bc00a0d72a1767483ecca4976c1b2cd95a0d4cd636609d96c52473b232b35
company,1776951007,"Compared to Estimates, CenterPoint (CNP) Q1 Earnings: A Look at Key Metrics",139864583,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CNP,Yahoo,"The headline numbers for CenterPoint (CNP) give insight into how the company performed in the quarter ended March 2026, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://finnhub.io/api/news?id=dc51e5ebf7fbba25d3a888d81c52fdbb900d4e3f072ae4183f694769fe2d483c
company,1776949740,"CenterPoint Energy Q1 Earnings Miss Estimates, Revenues Rise Y/Y",139864541,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CNP,Yahoo,"CNP's Q1 earnings and revenues miss estimates despite year-over-year growth, while higher expenses and rising debt shape its financial outlook.",https://finnhub.io/api/news?id=0339bdecb588bef71c871e6d80de47157ae4551a5b0a81caccddf87e74db3118
company,1776943501,CenterPoint Energy (CNP) Q1 Earnings and Revenues Lag Estimates,139862871,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CNP,Yahoo,"CenterPoint (CNP) delivered earnings and revenue surprises of -3.78% and -1.44%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=845c2d9b737b1dab490bdb9e67be1a11d491d86c86ef12ebcb033325cc8db679
company,1776939840,CenterPoint Energy reports strong Q1 2026 results; reiterates full-year 2026 guidance; provides an update on Houston Electric load growth,139861410,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CNP,Yahoo,"HOUSTON, April 23, 2026--CenterPoint Energy, Inc. (NYSE: CNP), or ""CenterPoint,"" today reported net income of $316 million, or $0.48 per diluted share, on a GAAP basis for the first quarter of 2026, compared to $0.45 per diluted share in the comparable period of 2025.",https://finnhub.io/api/news?id=52e42ccf0c21e0d8e1504980339b61da4a494ffec217ef610c0a3b3dfebaf333
company,1776936019,"Transcript : CenterPoint Energy, Inc., Q1 2026 Earnings Call, Apr 23, 2026",139862276,,CNP,Finnhub,"Presentation Operator MessageOperator Good morning, and welcome to CenterPoint Energy's First Quarter 2026 Earnings Conference Call with Senior Management. [Operator Instructions] I will now turn",https://finnhub.io/api/news?id=c77dc16bb1ccedfa6e58ca06fe750cd263897990864c559f0f4dcec98daa9ed3
company,1776935260,CenterPoint Energy Q1 2026 Earnings Call: Complete Transcript,139867143,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_2.jpg?width=2048&height=1536,CNP,Benzinga, ,https://finnhub.io/api/news?id=7661a04c7665918c28140b531085f3885a39768ab1704597f2f80a84230dd3d4
company,1776933728,CenterPoint to energize 8 GW of data center load by 2029,139864585,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CNP,Yahoo,"Houston is now “firmly established as a location of choice for some of the world's largest hyperscalers,” CenterPoint CEO Jason Wells said in the company’s first quarter earnings call.",https://finnhub.io/api/news?id=fc73ca3db8c5a53d8f0ac4e5796cefe70b8aba562b1f032400e77345d694fcff
company,1776933093,"CenterPoint Energy, Inc. 2026 Q1 - Results - Earnings Call Presentation",139861891,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,CNP,SeekingAlpha,"2026-04-23. The following slide deck was published by CenterPoint Energy, Inc.",https://finnhub.io/api/news?id=ff557bc32f88185224569985f14cd53d8cb0ed0045b9c01d4ddafbc606170896
company,1776932615,"CenterPoint Energy, Inc. Reports Earnings Results for the First Quarter Ended March 31, 2026",139861698,,CNP,Finnhub,"CenterPoint Energy, Inc. reported earnings results for the first quarter ended March 31, 2026. For the first quarter, the company reported sales was USD 2,975 million compared to USD 2,920 million a...",https://finnhub.io/api/news?id=6c785195a16321e1538e1069768edfbd632fe8db8d2460976ad6d3df9b31dd09
