category,datetime,headline,id,image,related,source,summary,url
company,1776985763,1 S&P 500 Stock on Our Buy List and 2 We Avoid,139870604,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COF,Yahoo,"The S&P 500 (^GSPC) is home to the biggest and most well-known companies in the market, making it a go-to index for investors seeking stability. But not all large-cap stocks are created equal - some are struggling with slowing growth, declining margins, or increased competition.",https://finnhub.io/api/news?id=e8dd0bfb83c356a5c688f955e59064b23aaf1bf8dbbf262040690cfaf76428a6
company,1776965977,Capital One $425 million savings settlement approved,139866384,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COF,Yahoo,"Eligible holders of 360 Savings accounts will receive automatic payments, expected around July 21, with no claim filing required",https://finnhub.io/api/news?id=57bbec0ebf4d87e10116aff629f5f1930e68ae396bdc337310c0557897da25b1
company,1776964212,Do Tennesseans qualify for $425M Capital One settlement? See eligibility,139866385,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COF,Yahoo,"If you held a Capital One 360 savings account between Sept. 2019 and June 2025, you may be eligible to get a slice of the company's $425 million settlement payout.",https://finnhub.io/api/news?id=d3d6efdfdf887c1b1901cb19cec2538e44a0bc5d6cf7e2bd09e7bf94a9395e4f
company,1776962734,Capital One Missed Earnings and Truist Cut Its Target. Should You Buy the Dip on This Credit Card Giant?,139866386,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COF,Yahoo,"Truist Securities trimmed its price target on Capital One Financial (NYSE:COF) to $255 from $275 on April 23, following the credit card giant’s first-quarter earnings miss. Analyst Brian Foran kept a Buy rating on the stock, signaling that the thesis remains intact even as near-term numbers wobble. The price target cut arrives after Capital One ... Capital One Missed Earnings and Truist Cut Its Target. Should You Buy the Dip on This Credit Card Giant?",https://finnhub.io/api/news?id=792252e5f6e19865c2a7ceb9626aff58d88a3b2fe9003fbb6ed3c07e0f1e9ca6
company,1776962608,Capital One to pay $425 million in settlement. Who qualifies and how to claim your cash.,139866387,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COF,Yahoo,"Capital One 360 Savings account holders may be eligible to receive back payment from the bank, along with a higher savings interest rate. Here's how to know if you qualify.",https://finnhub.io/api/news?id=83d832e9f279202bf69c387fa12fa827ef46924c31d193ddd28e2b3c0844d2df
company,1776957683,Capital One $425M settlement approved. See if you qualify,139864358,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COF,Yahoo,The class action lawsuit stemmed from allegations related to interest rates on Capital One savings accounts.,https://finnhub.io/api/news?id=a7db1adb6c9de78aee334025c1aaf5ea1b2789148818718fabb0171720a640f1
company,1776954662,Capital One miles guide: How to earn and redeem your miles,139878816,https://image.cnbcfm.com/api/v1/image/108296437-1776969246685-gettyimages-2208105957-r5__9498.jpeg?v=1776969251&w=1920&h=1080,COF,CNBC,Capital One miles offer a valuable mix of simplicity and flexibility.,https://finnhub.io/api/news?id=5188e9a8a63569e2c6794616f565a0f51a3edd557293b5f8eef7ab24915f4e07
company,1776948740,Judge approves $425 million Capital One settlement. Here's what to know.,139862825,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COF,Yahoo,The settlement stems from claims Capital One paid lower interest on older savings accounts while offering higher rates on a similar product.,https://finnhub.io/api/news?id=8db1ede7b30f38609b833b5d2cf368915eed270f1d841c53262245c4c1c5e117
company,1776936445,Axos to Acquire $3.2 Billion in IRA Accounts from Capital One,139862348,,COF,Finnhub,By Rob Curran Bank holding company Axos Financial agreed to acquire individual retirement accounts with an aggregate $3.2 billion balance from larger lender Capital One. Axos will receive...,https://finnhub.io/api/news?id=7c2ace62a98154acacaca8d707d38ef512039e39b39c00b5cd60db1054aeb043
company,1776934011,Jim Cramer's top 10 things to watch in the stock market Thursday,139865510,https://image.cnbcfm.com/api/v1/image/108243236-1766004042541-gettyimages-2251789258-TI_WAFER_PLANT.jpeg?v=1766004250&w=1920&h=1080,COF,CNBC,Texas Instruments is the star of the earnings show.,https://finnhub.io/api/news?id=24d31d9d8596ac46e7dfb5f409912c41267708a9dc7875eed453eeeb95b3c3d8
company,1776933584,"Truist Securities Maintains Buy on Capital One Financial, Lowers Price Target to $255",139868877,,COF,Benzinga,Truist Securities  analyst Brian Foran   maintains Capital One Financial (NYSE:COF) with a Buy and lowers the price target from $275 to $255.,https://finnhub.io/api/news?id=496c4e90bf88366bb2ec51a139d296d8492c742f1724e3c1b82aebc54e14ed54
company,1776903432,Is Capital One Financial (COF) Still Attractive After Its Recent Share Price Pullback,139856836,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COF,Yahoo,"If you are wondering whether Capital One Financial stock still offers value at its current price, this article lays out the key signals to watch before you commit fresh capital. The share price recently closed at US$199.43, with returns of 8.4% over 30 days, 14.6% over 1 year, 122.2% over 3 years and 51.2% over 5 years. However, the year to date return of a 19.6% decline highlights that sentiment has not moved in a straight line. Recent news coverage has focused on Capital One Financial in...",https://finnhub.io/api/news?id=d09b9b0db4468c71c645b21f52ab8a31b66b0dce0111a1846a3ba2d2b1f83f3a
