category,datetime,headline,id,image,related,source,summary,url
company,1776981860,"Bitcoin, Ethereum, XRP Retreat, Dogecoin Gains As Strait Of Hormuz Blockades Continue: Analyst Says BTC Crossing This Level Will Be 'Massive'",139877036,https://cdn.benzinga.com/files/images/story/2026/04/23/Cryptocurrency-Bitcoin-Coin-Over-Tablet-.jpeg?width=2048&height=1536,COIN,Benzinga,"Leading cryptocurrencies retreated alongside stocks on Thursday, amid lingering uncertainty over the Iran conflict.",https://finnhub.io/api/news?id=f69167f6944bc881685d9c7ff77f5b93885528e9c9fc33145a7cca569cd080b6
company,1776980703,"Coinbase Global, Inc. (COIN) Registers a Bigger Fall Than the Market: Important Facts to Note",139870662,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COIN,Yahoo,"In the latest trading session, Coinbase Global, Inc. (COIN) closed at $197.93, marking a -4.03% move from the previous day.",https://finnhub.io/api/news?id=c3fd575a521209f0b0e55f29330c7310921ec8009c41ea41f1df86335b65b322
company,1776958620,Blockchain Capital Seeks $700 Million for New Venture and Token Funds,139864528,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COIN,Yahoo,"Blockchain Capital is seeking to raise $700 million across two new funds, a move that would give one of crypto&rsqu...",https://finnhub.io/api/news?id=21b8144ec1239b3411a0a92942df6569fc9b02fe5f8bbfaf2c11bb688df4242d
company,1776958527,"Shares of companies in the broader financial sector are trading lower amid overall market weakness, as investors react to reports that air defenses were activated in Tehran and to President Trump's social media post.",139867610,,COIN,Benzinga,,https://finnhub.io/api/news?id=ef74d45fe02320fc07fcdacc8fd37eacff45e11cc64273fa092c99bab6e19258
company,1776951335,9 Financials Stocks With Whale Alerts In Today's Session,139866738,https://cdn.benzinga.com/files/images/story/2025/11/06/aggregated_options_1.jpg?width=2048&height=1536,COIN,Benzinga, ,https://finnhub.io/api/news?id=8e3797bd102948929db15e150cd9d95330ce65e94c3ffa437bcdb83c75691908
company,1776943200,"Bitcoin Price Falls From 11-Week High. Why, Ethereum, XRP, Cryptos Are Dropping.",139861301,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COIN,Yahoo,"If a negotiated peace settlement in Iran is achieved, investors may drive a sustained breakout in Bitcoin. It's falling for now.",https://finnhub.io/api/news?id=9985184f615ebd98a53898a4c63131b07ae36688925816d7948d57d634f2cfbc
company,1776940283,Kevin O'Leary Says 'Just Own Bitcoin And Ethereum' As Altcoins 'Never Came Back',139867154,https://cdn.benzinga.com/files/images/story/2026/04/23/OLeary-Advocates-Catastrophe-Fund.jpeg?width=2048&height=1536,COIN,Benzinga,Shark Tank star Kevin O’Leary said investors only need to own Bitcoin (CRYPTO: BTC) and Ethereum ,https://finnhub.io/api/news?id=201edcee892780250b54e88b47f50997d2e2a9c4a0a257637ac27d62b9a1b3a5
company,1776934399,"Coinbase, Ripple, Andreessen Horowitz Ring The Alarm Bell On The CLARITY Act",139867155,https://cdn.benzinga.com/files/images/story/2026/04/23/Senate-Eyes-DHS-Short-Term-Extension.jpeg?width=2048&height=1536,COIN,Benzinga,"A coalition including Coinbase (NASDAQ:COIN), Ripple ",https://finnhub.io/api/news?id=027f7d68bc5d6afc269d9bd73ba021f9c9c3c8c9b373cbb55d10594877593d44
company,1776932016,Coinbase: Bitcoin's Rising Tide Masks A Retail Moat In Structural Decline,139861637,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1329055819/image_1329055819.jpg?io=getty-c-w1536,COIN,SeekingAlpha,"Coinbase has underperformed both IBIT and the S&P 500 since January 2024, delivering crypto volatility. Find out why COIN stock is a hold.",https://finnhub.io/api/news?id=b184036721fd27a1d1c7dab8287c27bdf6883d055a6839792a8cb8234c694910
company,1776913654,A Look At Coinbase Global (COIN) Valuation After Recent Security Shock To The Crypto Sector,139857488,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COIN,Yahoo,"Coinbase Global (COIN) is back in focus for investors after recent share price moves, with the stock closing at US$206.24. This has put fresh attention on its crypto focused business model and recent fundamentals. See our latest analysis for Coinbase Global. The recent 5.25% 1-day share price return, alongside a 5.28% 7-day share price return, comes against a 12.81% year-to-date share price decline and a 5.87% total shareholder return over 1 year. This suggests that momentum has picked up in...",https://finnhub.io/api/news?id=39656fd8656a3e6e19e45b2d1352902c46a2335f6b1ccefbd265d656ebce37bf
company,1776905603,"Coinbase (COIN) Shares Skyrocket, What You Need To Know",139856858,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COIN,Yahoo,"Shares of blockchain infrastructure company Coinbase (NASDAQ:COIN) jumped 5.9% in the afternoon session after the company rebounded from a sell-off in the previous session, driven by a series of positive developments including a key bullish Bitcoin indicator on its platform and the listing of new digital assets.",https://finnhub.io/api/news?id=1bc4d1bac7975d6dc0be487ff1ace4572cf26763fd6b860635a21c403d55819c
