category,datetime,headline,id,image,related,source,summary,url
company,1776978086,"Nasdaq, S&P 500 Retreat From Record Highs as Tech Shares Fall, Oil Climbs",139869310,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"The Nasdaq Composite and the S&P 500 pulled back from record highs on Thursday, dragged down by a se",https://finnhub.io/api/news?id=cc3b8fa922c262187f26ed3f8bdda9566c38a083b4de94098b46e12a0f37d763
company,1776977479,ServiceNow Stock Has Worst Day Ever on Disappointing Sales,139869487,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"(Bloomberg) -- ServiceNow Inc. shares plunged the most ever after the provider of software for business tasks reported results that disappointed investors and said some sales deals have been delayed by the war in the Middle East.Most Read from BloombergAnthropic’s Mythos Model Is Being Accessed by Unauthorized UsersInside Alex Cooper’s Unwell: Tears, Screaming and Employees Looking for the ExitTrump Encourages Companies Not to Seek Tariff RefundsMicrosoft Offers Buyouts to About 7% of US Workers",https://finnhub.io/api/news?id=fd7da6ffbb0bdfe49018f0d5bfd9c7502bb58863878d12530d98ec11545d3ba0
company,1776972946,Jim Cramer Discusses Key Opinion Split About Salesforce (CRM),139867866,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"We recently shared Jim Cramer Rubbished Circular AI Deals & Commented On These 18 Stocks. Salesforce, Inc. (NYSE:CRM) is one of the stocks discussed by Jim Cramer. Customer relationship management software firm Salesforce, Inc. (NYSE:CRM)’s stock is down by 20% over the past year and by 25% year-to-date. Truist discussed the firm on April 16th, […]",https://finnhub.io/api/news?id=0e1d9094a718bd86339ee080addb138ccb01a32386ba2bf55ebe3de8581ed181
company,1776971104,These S&P500 stocks are moving in today's session,139867292,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,CRM,ChartMill,Stay informed about the performance of the S&P500 index one hour before the close of the markets on Thursday. Uncover the top gainers and losers in today's session for valuable insights.,https://finnhub.io/api/news?id=8eda1ce383590a051ac9038f0fb25bdebb55ec5285a404ddb0bc8d3c36092d4b
company,1776968282,Equities Fall Intraday Amid Tech Sell-Off; Oil Rises,139867696,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"US benchmark equity indexes were lower intraday as traders dumped technology stocks, while increased",https://finnhub.io/api/news?id=3d80e5ffae1f5befad4bca6ae4108be143cb9cde8fc52e56a8731dc32b54d194
company,1776966539,Dow Falls 600 Points. Oil Prices Just Spiked.,139867698,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"Stocks fell suddenly Thursday afternoon following a spike in oil prices. The Dow dropped 600 points, or 1%. The S&P 500 fell 1.3%. The Nasdaq dropped 1.8%. WTI crude oil futures jumped 4.6% to $97.27 a barrel, while Brent crude jumped 4.",https://finnhub.io/api/news?id=d90fd4015df27ba8a054eb5952cf3801334b3224ec60994bb6a6bc77ec75bc7c
company,1776964001,Salesforce Plummets 9% on Sector Panic. Is the Cloud Software King on Sale?,139866196,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"Salesforce (NYSE:CRM) stock is down 9% intraday to $172.55, caught in a sector-wide panic that’s gutting enterprise software valuations. The trigger came from ServiceNow‘s (NYSE:NOW) Q1 2026 report and the cascade of Wall Street price target cuts that followed, rather than any company-specific news at Salesforce. For retirement-focused investors, the question is whether the cloud ... Salesforce Plummets 9% on Sector Panic. Is the Cloud Software King on Sale?",https://finnhub.io/api/news?id=c2a219f08cbc32ae7efadf76357c6989c2f0106e14841c90845c6b19a5b60198
company,1776962104,What's going on in today's session: S&P500 movers,139865123,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,CRM,ChartMill,Curious about the S&P500 stocks that are in motion on Thursday? Join us as we explore the top movers within the S&P500 index during today's session.,https://finnhub.io/api/news?id=045c7b48b65007e164a85ff803fd33eecc2fc353fcd25256a546df5c8edcf0d2
company,1776960805,Legendary Investor Michael Burry Is Shrugging Off the Software Apocalypse (Sort of) and Buying Salesforce Stock. Should You?,139870588,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"Michael Burry’s move to buy Salesforce stock highlights a potential contrarian opportunity, but investors must weigh whether AI-driven disruption risks have fully played out.",https://finnhub.io/api/news?id=e94b022ae39a96a90eee20794f5f6ff3038dbb988d0f16afd223c34e1e40b1be
company,1776958078,ServiceNow Leads Software Stocks Lower After Warning The Iran War Is Holding Back Growth,139866354,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"Software stocks plunged Thursday, with ServiceNow shares leading the slump after the company said the Iran war is weighing on its business.",https://finnhub.io/api/news?id=7ab38f74f6b1327f71e5bd0946629a2486bfc2c9343821ff8665f935d4ff831e
company,1776955569,Shares of companies in the broader software sector are trading lower amid a pullback in sentiment after Q1 financial results and outlook comments from industry peers IBM and ServiceNow.,139867196,,CRM,Benzinga,,https://finnhub.io/api/news?id=c4542b3d5884690099229440ed7b0e819d4422abf345683f638d655bdbea81cf
company,1776937440,"These Stocks Are Today’s Movers: Tesla, ServiceNow, IBM, Lam Research, and More",139859914,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"Tesla shares fall after the EV maker raises its capital spending guidance, while ServiceNow plunges after so-so first-quarter earnings.",https://finnhub.io/api/news?id=5b30f57bc289b006bb476e2107f2ca68bc84e908a979366c537cad20658b86b5
company,1776954905,Thursday's session: gap up and gap down stock in the S&P500 index,139863460,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,CRM,ChartMill,Let's have a look at what is happening on the US markets on Thursday. Below you can find the S&P500 gap up and gap down stocks in today's session.,https://finnhub.io/api/news?id=3e77378a8303755471e1b6024163e0b35e5a58eb2c00b94f05f77d23bb01eea5
company,1776954893,OpenAI's Denise Dresser: Enterprise customers will be 50% of business by year-end,139878770,https://image.cnbcfm.com/api/v1/image/108296428-17769689831776968979-45462558281-1080pnbcnews.jpg?v=1776968982&w=1920&h=1080,CRM,CNBC,"Denise Dresser, OpenAI chief revenue officer, joins 'Power Lunch' to discuss the company's latest model, GPT 5.5, the enterprise part of the business and much more.",https://finnhub.io/api/news?id=6716cb356a86fbb0e0226c3bef3396d42253e81b3693efbd598d7fe57610c98c
company,1776953934,Salesforce Stock Is Plummeting Today: What's Happening?,139878922,https://cdn.benzinga.com/files/images/story/2026/04/23/Salesforce-AI-Partnership.jpeg?width=2048&height=1536,CRM,Benzinga,Salesforce (NYSE:CRM) shares are under pressure on Thursday as software stocks slid on weak ServiceNow guidance and geopolitical tensions.,https://finnhub.io/api/news?id=db154cf3c444e349a9c91cf4e3e0db75e6ba260db0a10fa0922814487c2d3bec
company,1776953218,Here’s Montaka’s Internal Assessment on Salesforce (CRM),139864318,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"Montaka Global Investments, an investment management company, released its first-quarter 2026 investor letter. A copy of the letter is available to download here. The March quarter was dominated by Iran’s geopolitical conflict, which sharply revised stocks’ valuation multiples. In Q1, the portfolio holdings declined due to valuation changes, but the firm trusts in the stocks’ […]",https://finnhub.io/api/news?id=c9774bfddd624e9507ce2e6c36f000eea57cc45163d5c2488e6e4b337c2dd6ba
company,1776950478,"Committed some capital to software stocks amid selloff, says First Eagle's Matt McLennan",139878703,https://image.cnbcfm.com/api/v1/image/108296365-17769645621776964559-45461423620-1080pnbcnews.jpg?v=1776964561&w=1920&h=1080,CRM,CNBC,"Matt McLennan, First Eagle Investments, joins 'The Exchange' to discuss McLennan's thoughts on software stocks, the stocks they favor and much more.",https://finnhub.io/api/news?id=0985b7c34599ba9f918b1e2fac4fda753270b1392014e1b716c102592ead48ef
company,1776949464,"Software stocks plunge on ServiceNow, IBM results as AI fears escalate",139865411,https://image.cnbcfm.com/api/v1/image/108194579-1757019770569-gettyimages-2233043798-SERVICENOW_HQ.jpeg?v=1776887249&w=1920&h=1080,CRM,CNBC,"Shares of ServiceNow sank over 16%, dragging down other software names like Salesforce, Workday and Oracle with it.",https://finnhub.io/api/news?id=b0631d32add5a60967d7ca2bcb9312f8518e3bceabff86a1f9c7f095149bc4d3
company,1776948754,Nasdaq 100 Eases From Records As Software Stocks Plunge: Stock Market Today,139865288,https://cdn.benzinga.com/files/images/story/2026/04/23/Business-Financial-Crisis--Stock-Market-_1.jpeg?width=2048&height=1536,CRM,Benzinga,"U.S. stocks dipped as Iran-Hormuz tensions lifted oil, IBM and ServiceNow cratered, and defensive sectors led a rotation",https://finnhub.io/api/news?id=a4c1add16fe777c2fc9b08a343c61165c87609cbfe3d6ae3e03dafd1622cb0a1
company,1776947891,Latest News In E-Commerce - South Korea's Social Commerce Boom Driven By Innovation,139862598,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"The South Korean social commerce market is experiencing robust growth, projected to reach USD 125.57 billion by 2026, marking a 12.1% annual increase. This expansion is driven by evolving consumer behaviors and the integration of live shopping formats and AI-driven platforms, which are enhancing engagement and personalization within the digital retail environment. Key platforms such as Naver, Kakao, and Coupang are pivotal in shaping this landscape, with trends focusing on live shopping, AI...",https://finnhub.io/api/news?id=5c70809c7228d7e5efd90c551391307b73ec6d2c3203f33a1a6ab0ea139ee637
company,1776947705,Get insights into the top movers in the S&P500 index of Thursday's pre-market session.,139861934,https://www.chartmill.com/images/uploads/CM_Premarket_Movers_Small_free_90289f6b81.webp,CRM,ChartMill,Curious about the S&P500 stocks that are showing activity before the opening bell on Thursday?,https://finnhub.io/api/news?id=797a75e76745e6c7b6ed23429da6b87bee212e8314f482a865435ce2d7a5a25e
company,1776947460,Why IBM’s Earnings Beat Spurred a Selloff in Software Stocks,139862754,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,Investors appear to be treating any results that aren’t perfect as a confirmation of their worst fears about AI disruption.,https://finnhub.io/api/news?id=9ba84e8096d7072b0222a0a2fd60e6f07bd9d9e8d7928bb5dfe459fd696657e4
company,1776947201,ServiceNow stock tumbles 17% as war in Iran impacts Q1 sales growth,139866315,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,ServiceNow stock tumbles after the Middle East war slowed down sales.,https://finnhub.io/api/news?id=ad5462d7044208f9351ee64bdb046748b2fd4db0bfd137719482dcda771087bd
company,1776947201,ServiceNow stock tumbles 17% as war in Iran impacts sales growth,139864257,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,ServiceNow stock tumbles after the Middle East war slowed down sales.,https://finnhub.io/api/news?id=32bd573191937f0bab6af9ec5c81a081c9b6e3324fed7fb74cb0457aede0e6b7
