category,datetime,headline,id,image,related,source,summary,url
company,1776973572,"CSX Turnaround Largely Reflected in Stock Valuation, Morgan Stanley Says in Downgrade",139867876,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,"CSX's (CSX) turnaround efforts are going well, but they are largely reflected in the stock's valuati",https://finnhub.io/api/news?id=f31d0170cd1617025e0818371308de8c82a4be7c6a08cc15f165b832cec30f07
company,1776965880,"CSX Q1 Earnings Beat Estimates, Revenues Lag, 2026 View Raised",139867926,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,"CSX posts Q1 earnings beat but revenue miss, with stronger margins and an upgraded 2026 outlook signaling improved growth and cash flow expectations.",https://finnhub.io/api/news?id=61915ae5a11255caaf8af300b6e8c3db39dabfb468cea272cc4fe493d7757b9c
company,1776963040,CSX Q1 Earnings Call Highlights,139866443,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,"CSX (NASDAQ:CSX) reported first-quarter 2026 results that company leaders said reflected early progress on safety, network performance, and a broad set of efficiency initiatives, while acknowledging that market conditions remain uncertain. Management highlighted year-over-year volume and revenue gro",https://finnhub.io/api/news?id=66d125af7c62b08a902811d3117832a3cdae9a9f026925511ccb0ee3e98c9f47
company,1776961713,"CSX Positioned for Further Revenue and Margin Growth, RBC Says",139866444,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,"CSX (CSX) has more room to grow revenue and margins as rail demand improves and cost controls hold,",https://finnhub.io/api/news?id=fbf7e418081dd85bf8887423840c0a839f1319d985dee1c6804058334c7aa7d7
company,1776955746,"CSX Turnaround Going Well, but Valuation Looks Stretched, Morgan Stanley Says",139864441,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,"CSX (CSX) stands to gain from an improving industry cycle, but the positives appear to be reflected",https://finnhub.io/api/news?id=e211ead747392a8a64e357aacca9e9b2df468c58a7a92af0ea53cadcdbb57260
company,1776954905,Thursday's session: gap up and gap down stock in the S&P500 index,139863460,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,CSX,ChartMill,Let's have a look at what is happening on the US markets on Thursday. Below you can find the S&P500 gap up and gap down stocks in today's session.,https://finnhub.io/api/news?id=3e77378a8303755471e1b6024163e0b35e5a58eb2c00b94f05f77d23bb01eea5
company,1776952049,Stock Market Today: Dow Falls After Jobless Claims Surprise; Tesla Drops On Musk Comments (Live Coverage),139862646,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSX,Yahoo,Stock Market Today: The Dow Jones index drops Thursday after an unexpected result in jobless claims. Tesla stock sells off on Elon Musk's comments.,https://finnhub.io/api/news?id=9cc12e9109636d1d071acaa8e26bafaba1bfee06ef024730e20d3eadf03f8820
company,1776949946,"Stocks making the biggest moves midday: Texas Instruments, United Rentals, Wex, Penn Entertainment & more",139865504,https://image.cnbcfm.com/api/v1/image/108243235-1766004043638-gettyimages-2251789238-TI_WAFER_PLANT.jpeg?v=1776964233&w=1920&h=1080,CSX,CNBC,These are the stocks posting the largest moves midday.,https://finnhub.io/api/news?id=58536ec5b75132ed4cdf410647ccf1372d6cd6f792802281fdd34cc4b1211c65
company,1776949895,"RBC Capital Maintains Outperform on CSX, Raises Price Target to $47",139867374,,CSX,Benzinga,RBC Capital  analyst Walter Spracklin   maintains CSX (NASDAQ:CSX) with a Outperform and raises the price target from $43 to $47.,https://finnhub.io/api/news?id=7528333947cd26852ded88ef599d59e993c21e5cb00d339db0097a2ef614a6b7
company,1776947705,Get insights into the top movers in the S&P500 index of Thursday's pre-market session.,139861934,https://www.chartmill.com/images/uploads/CM_Premarket_Movers_Small_free_90289f6b81.webp,CSX,ChartMill,Curious about the S&P500 stocks that are showing activity before the opening bell on Thursday?,https://finnhub.io/api/news?id=797a75e76745e6c7b6ed23429da6b87bee212e8314f482a865435ce2d7a5a25e
