category,datetime,headline,id,image,related,source,summary,url
company,1776978305,Top gainers and losers in the S&P500 index during Thursday's after-hours session.,139868966,https://www.chartmill.com/images/uploads/CM_Aftermarket_Movers_Small_free_e077945a19.webp,DHR,ChartMill,"After the closing bell on Thursday, let's take a glimpse of the US markets and explore the top S&P500 gainers and losers in today's after-hours session.",https://finnhub.io/api/news?id=474f9719a63f2cf5e533e58b0e536b186c53c96194e1e0278b99430c7ca4aced
company,1776978300,"Avantor® Announces Ludovic Brellier as Executive Vice President, Bioscience & Medtech Products (BMP) & Chief Transformation Officer",139869532,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DHR,Yahoo,"Avantor, Inc. (NYSE: AVTR), a leading global provider of mission-critical products and services to customers in the life sciences and advanced technology industries, today announced that Ludovic Brellier will join the company as Executive Vice President, Bioscience & Medtech Products (BMP) & Chief Transformation Officer on May 1, 2026.",https://finnhub.io/api/news?id=22dadbc6275dd44532f175c403ef8c2dc41d9200f9096216989343ad1bb6d9cd
company,1776978000,Thursday's after hours session: top gainers and losers,139868946,https://www.chartmill.com/images/uploads/CM_Aftermarket_Movers_Small_free_e077945a19.webp,DHR,ChartMill,"The regular session of the US market on Thursday is now over, but let's get a preview of the after-hours session and explore the top gainers and losers driving the post-market movements.",https://finnhub.io/api/news?id=ac8200ca9565dc8edc5f3851d63dc32c19364be73e789e62a1013b13ae86f795
company,1776958440,"HON's Q1 Earnings Top Estimates, Aerospace Technologies Sales Up Y/Y",139866388,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DHR,Yahoo,"Honeywell tops Q1 profit estimates as aerospace and building units drive growth, but the revenue miss and margin pressure temper results.",https://finnhub.io/api/news?id=6ea36fb4dc63ba3a7ad9ebbae9d1d28b2011232722e36e11ce5eeeb1193dda0a
company,1776955084,Danaher shares are trading lower after Morgan Stanley lowered its price target on the stock from $270 to $255.,139876729,,DHR,Benzinga,,https://finnhub.io/api/news?id=c854746c543c0adbd8ba0418ab9237ab8bac7e685c12e79ece7cc3f9f69ac5ca
company,1776952377,"Morgan Stanley Maintains Overweight on Danaher, Lowers Price Target to $255",139866989,,DHR,Benzinga,Morgan Stanley  analyst Kallum Titchmarsh   maintains Danaher (NYSE:DHR) with a Overweight and lowers the price target from $270 to $255.,https://finnhub.io/api/news?id=8d0c1ccff728501703c77f47541a3490f4868beb8a68d8b5816939438387a120
company,1776950972,Danaher reaches $172.5 million settlement with shareholders over post-pandemic outlook,139865687,,DHR,Finnhub,Danaher reached a $172.5million settlement with shareholders who accused the diagnosticsand life-sciences company of defrauding them by overstatingdemand for its equipment as the worst of the...,https://finnhub.io/api/news?id=d236b5ccb25d590e6b4090a65ae13ac94e21b8ec2dc4a85cf1cb13d97af0abae
company,1776935913,Thermo Fisher posts quarterly results beat on lab products strength,139862230,,DHR,Finnhub,"Thermo Fisher Scientific onThursday reported better-than-expected quarterly results, asgrowth in its laboratory products and biopharma servicesbusiness helped offset softness in analytical...",https://finnhub.io/api/news?id=2b70ea760f66387b0d06e60c073cf1f080602e8e7b1e61ac7246d4e7417360e4
company,1776934779,Danaher Corporation: Masimo Deal Adds Long-Term Potential But Near-Term Pressure,139862197,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1440512414/image_1440512414.jpg?io=getty-c-w1536,DHR,SeekingAlpha,"Danaher maintains strong FCF and profitability, but revenue growth remains stagnant, especially in Life Sciences and Diagnostics. See why DHR stock is downgraded to hold.",https://finnhub.io/api/news?id=ac8e3eb89e518c91a2b21d67842e3a0a176cae3bc3cef4e3ef5edf2dc801f74b
company,1776927794,"Thermo Fisher posts quarterly results beat as lab products, biopharma services grow",139860591,,DHR,Finnhub,"Thermo Fisher Scientific onThursday reported first-quarter profit and revenue above WallStreet estimates, as growth in its laboratory products andbiopharma services business helped offset softness...",https://finnhub.io/api/news?id=f5f810b4b7466d3f2d7551b8297a04490fc99b8bbc81dabd3c56e0aedda9485f
company,1776914868,"Reported Earlier, Danaher Raises ~€2.98B Via Euro Senior Notes Comprising €500M Floating Rate Due 2028, €750M At 3.250% Due 2030, €750M At 3.625% Due 2034 And €1B At 4.000% Due 2038 To Finance Masimo Buyout",139866990,,DHR,Benzinga,,https://finnhub.io/api/news?id=a20688c8d088b8439939206cacc13d366fae1e5e9b561912a805482f8fb4949a
company,1776907244,"Danaher Corporation Prices ?500,000,000 Principal Amount of Floating Rate Senior Notes Due 2028, ?750,000,000 Principal Amount of 3.250% Senior Notes Due 2030, ?750,000,000 Principal Amount of 3.625% Senior Notes Due 2034, ?1,000,000,000 Principal Amount of 4.000% Senior Notes Due 2038",139857910,,DHR,Finnhub,"Danaher Corporation announced that it has priced an offering of the following euro-denominated senior notes : ?500,000,000 principal amount of floating rate senior notes due 2028 at an offering price...",https://finnhub.io/api/news?id=b71761072f29b0bff3f439b683d411f01ee23b2145735b509e44a3cc4add7828
