category,datetime,headline,id,image,related,source,summary,url
company,1776984713,Digital Realty (DLR) Q1 2026 Earnings Transcript,139870643,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DLR,Yahoo,"Second, the zero to one megawatt signings boosted our 2026 outlook, while the greater-than-a-megawatt leasing increased our total backlog to 1.8 billion, or 1.0 billion at Digital Realty Trust, Inc.'s share, providing strong visibility for our growth into 2027 and 2028.  Third, our development pipeline increased by over 50% sequentially to 1.2 gigawatts under construction and is now 61% preleased at an 11.4% average expected yield, mainly driven by successful leasing and our continued efforts to position capacity to support our customers' growing requirements.  With that, I would like to turn the call over to our President and CEO, Andrew P. Power.",https://finnhub.io/api/news?id=a321e157397db8a807c6b60a9b6fcd2dd6b13c262cd169aabdcc6eeeed6eac3a
company,1776984093,"Digital Realty Trust, Inc. (DLR) Q1 2026 Earnings Call Transcript",139871627,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,DLR,SeekingAlpha,"Digital Realty Trust, Inc. (DLR) Q1 2026 Earnings Call April 23, 2026 5:00 PM EDTCompany ParticipantsJordan Sadler - Senior VP of Public & Private...",https://finnhub.io/api/news?id=000123526b5ef813e1e6e6f6764edebeb1e6ff87fd05087ce854af2b003d2e63
company,1776981602,Digital Realty Trust (DLR) Q1 Earnings: How Key Metrics Compare to Wall Street Estimates,139870644,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DLR,Yahoo,"The headline numbers for Digital Realty Trust (DLR) give insight into how the company performed in the quarter ended March 2026, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://finnhub.io/api/news?id=7cb5951e069b7dc20bde31a2881a637d536cce0947f9c484867a976687db5c2d
company,1776979502,Digital Realty Trust (DLR) Beats Q1 FFO and Revenue Estimates,139870645,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DLR,Yahoo,"Digital Realty Trust (DLR) delivered FFO and revenue surprises of +5.22% and +1.60%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=5946eaf82341d4b6f0971dc7d008103bfea15b731ebe3c9c3ab33f95b56c0dd4
company,1776978066,"Digital Realty Trust, Inc. 2026 Q1 - Results - Earnings Call Presentation",139870989,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,DLR,SeekingAlpha,"2026-04-23. The following slide deck was published by Digital Realty Trust, Inc.",https://finnhub.io/api/news?id=c06a4c129375bebf3a0c9c168c931b1d3a556003aadbdcc3e33a3e11031ec704
company,1776976821,"Digital Realty Trust Inc (NYSE:DLR) Crushes Q1 Estimates, Lifts Guidance on Record Hyperscale Demand",139868655,https://www.chartmill.com/images/uploads/THUMBNAILS_CHARTMILL_1000_528_16_065e226ebd.webp,DLR,ChartMill,"Digital Realty crushes Q1 estimates, lifts 2026 guidance on record hyperscale AI demand, with Core FFO of $2.04 beating $1.80 consensus and shares rising 2.5%.",https://finnhub.io/api/news?id=0725d2091ce279aa5358651c1358dee9a917c12fcf1cdf18f111219316b46675
company,1776974700,Digital Realty Reports First Quarter 2026 Results,139869580,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DLR,Yahoo,"AUSTIN, Texas, April 23, 2026 (GLOBE NEWSWIRE) -- Digital Realty (NYSE: DLR), the world’s largest cloud- and carrier-neutral data center platform, announced today financial results for the first quarter of 2026. All per share results are presented on a fully diluted basis. Highlights Reported net income available to common stockholders of $0.46 per share in 1Q26, compared to $0.27 in 1Q25Reported FFO per share of $1.99 in 1Q26, compared to $1.67 in 1Q25Reported Core FFO per share of $2.04 in 1Q2",https://finnhub.io/api/news?id=87235da36ac92ee770fcd4cc69290be6e6027ef11414f78027400308022980b5
company,1776972019,"Transcript : Digital Realty Trust, Inc., Q1 2026 Earnings Call, Apr 23, 2026",139870563,,DLR,Finnhub,"Presenter SpeechJordan Sadler Thank you, operator, and welcome, everyone, to Digital Realty Trust's First Quarter 2026 Earnings Conference Call. Joining me on today's call are President and CEO,",https://finnhub.io/api/news?id=0a8474e266e99c9e154f73ede142a72c7ef7d3badb0cddce25804b8a80b89f17
company,1776968620,Full Transcript: Digital Realty Trust Q1 2026 Earnings Call,139879243,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_4.jpg?width=2048&height=1536,DLR,Benzinga, ,https://finnhub.io/api/news?id=8208ed5a00cd0ce34bcc9fb3afec3f7623b1aa18e29496967beaa375f2392d6a
company,1776965364,Digital Realty Trust : 1Q26 Earnings Presentation FINAL,139869076,,DLR,Finnhub,"‌1Q26 FINANCIAL RESULTS April 23, 2026 Global. Connected. Sustainable. The meeting place for companies, technologies and data ...",https://finnhub.io/api/news?id=3ab6071f47d33d7bbc8d4267213141dda13826565c23914ada004213e7dfd63d
company,1776965364,Digital Realty Trust : 1Q26 Earnings Press Release 4232026,139869075,,DLR,Finnhub,"‌Digital Realty Reports First Quarter 2026 Results Austin, TX - April 23, 2026 - Digital Realty , the world's largest cloud- and carrier-neutral data center platform, announced...",https://finnhub.io/api/news?id=c57e56114c46ceb0da71463c84b490dbf5025496b92109a8586f2535fba614a1
company,1776963652,CORRECTION: Digital Realty Trust Raises FY2026 FFO Guidance from $7.90-$8.00 to $8.00-$8.10 vs $7.92 Est; Raises FY2026 Sales Guidance from $6.600B-$6.700B to $6.650B-$6.750B vs $6.691B Est,139879244,,DLR,Benzinga,Digital Realty Trust (NYSE:DLR) raises FY2026 FFO guidance from $7.90-$8.00 to $8.00-$8.10 vs $7.92 analyst estimate. Raises FY2026 sales outlook from $6.600 billion-$6.700 billion to $6.650 billion-$6.750 billion vs,https://finnhub.io/api/news?id=8288c9bcd78f13b2e49b2c0973d3de83f630d24acdffd30e4e3ffae69080df69
company,1776963200,"Digital Realty boosts annual core FFO, revenue forecasts on strong data center demand",139868720,,DLR,Finnhub,"April 23 - Digital Realty Trust raised itsannual funds from operations and revenue forecasts on Thursday,signaling strong demand for data center services driven by theboom in artificial...",https://finnhub.io/api/news?id=aca8989e4e0ab9ba3fe3e84fffa62e35a38a7cd389455857f6eb77b852cc83da
company,1776961467,Digital Realty Trust shares are trading higher after the company reported better-than-expected Q1 financial results and raised its FY26 guidance.,139879245,,DLR,Benzinga,,https://finnhub.io/api/news?id=fa71ba4d320efbe73e86fb68c1c48d7ddb861f3f093f75ee6cac1a07f310a883
