category,datetime,headline,id,image,related,source,summary,url
company,1776965760,"Dover Q1 Earnings Beat Estimates, Rise Y/Y on Solid Demand",139868000,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DOV,Yahoo,"DOV tops Q1 estimates as strong demand, rising bookings, and solid segment growth drive double-digit earnings and revenue gains.",https://finnhub.io/api/news?id=b8c7f91ae5622d760ea9931f67db1b62ace3d07c2eb2de41409a51f3917aba1c
company,1776963702,Dover Corporation (DOV) Q1 2026 Earnings Call Transcript,139868803,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,DOV,SeekingAlpha,"Dover Corporation (DOV) Q1 2026 Earnings Call April 23, 2026 9:30 AM EDTCompany ParticipantsJack Dickens - Vice President of Investor RelationsRichard Tobin...",https://finnhub.io/api/news?id=72c98cd0e737d0a3e4104b51e6db8514812c561735de0d52ceab5998f98b31fb
company,1776962948,Dover Corporation Q1 2026 Earnings Call Summary,139866554,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DOV,Yahoo,Moby summary of Dover Corporation's Q1 2026 earnings call,https://finnhub.io/api/news?id=316e7e5f822fd24b3580005578afd9aeaf6f5e2cec4ba6d31d5a3ebeb91e9742
company,1776961348,Dover (DOV) Q1 2026 Earnings Call Transcript,139866555,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DOV,Yahoo,"Revenue grew double digits in the quarter, driven by continued strength in our secular growth exposed end markets acquired company performance and constructive demand conditions across the portfolio.  Segment margins remained strong with some foreign currency translation headwinds in the quarter that should abate as the year progresses.",https://finnhub.io/api/news?id=f036303c88406b524e80826dbea28d63c3be2d9d6a59eccf7c180a6cf883d4c0
company,1776951006,Dover (DOV) Reports Q1 Earnings: What Key Metrics Have to Say,139864574,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DOV,Yahoo,"The headline numbers for Dover (DOV) give insight into how the company performed in the quarter ended March 2026, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://finnhub.io/api/news?id=b8d4d5441f96570f01b224937f9a85f485548537d029fe24dbb539a18d74ad2b
company,1776947879,Dover tops Q1 forecasts on solid demand trends,139863001,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DOV,Yahoo,"Dover Corp. (NYSE:DOV) reported first-quarter results on Thursday that slightly exceeded analyst expectations, supported by strong demand across key end markets.",https://finnhub.io/api/news?id=f5879224a78a77993c8ba8b19574086f58267b296c49aa040494ee98bba840a7
company,1776947471,Dover Corporation 2026 Q1 - Results - Earnings Call Presentation,139864986,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,DOV,SeekingAlpha,2026-04-23. The following slide deck was published by Dover Corporation in conjunction with their 2026 Q1 earnings call.,https://finnhub.io/api/news?id=bd2126fbdfa5ebb4f2ab405ae76aa488f9f66a6d1bece3e3df475cd0be682cbe
company,1776946968,Dover Corp (NYSE:DOV) Revenue Beat Overshadowed by Slight EPS Miss in Q1,139861764,https://www.chartmill.com/images/uploads/earnings_article_1_defce97180.webp,DOV,ChartMill,"Dover Corp surpassed Q1 2026 revenue estimates with $2.054B but narrowly missed EPS at $2.28. Stock rose ~1.77% pre-market, showing cautious optimism.",https://finnhub.io/api/news?id=baa90d16e86fdccd2e18d66678fadff4e9e4a4bec30a82ec19b9567a716e5ae8
company,1776946203,Dover Corporation (DOV) Q1 Earnings and Revenues Surpass Estimates,139863002,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DOV,Yahoo,"Dover (DOV) delivered earnings and revenue surprises of +0.29% and +2.09%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=1d58c7c12680b7616b3c35ffb9c68393afdd7d051d92ebf2446da14ef138a983
company,1776944155,"Transcript : Dover Corporation, Q1 2026 Earnings Call, Apr 23, 2026",139863879,,DOV,Finnhub,"Presentation Operator MessageOperator Good morning, and welcome to Dover's First Quarter 2026 Earnings Conference Call. Speaking today are Richard J. Tobin, President and Chief Executive Officer;...",https://finnhub.io/api/news?id=9b839b6775e46cad2845c7871c7389f1f68f82ab65df877949ed7d0a3d86d3de
