category,datetime,headline,id,image,related,source,summary,url
company,1776972510,Dow CEO Jim Fitterling goes one-on-one with Jim Cramer,139878756,https://image.cnbcfm.com/api/v1/image/108296603-5ED3-MM-B-BLOCK-042326.jpg?v=1776986250&w=1920&h=1080,DOW,CNBC,Dow CEO Jim Fitterling joins 'Mad Money' host Jim Cramer to talk the state of the global oil markets amid the Iran war and the shipping backlog caused by it.,https://finnhub.io/api/news?id=ab202b51ba8484af25f4a7b722359c56790a86457eb742e88ef8a64a61f0571a
company,1776972460,Dow CEO says clearing the Strait of Hormuz logjam will take almost a year,139879116,https://image.cnbcfm.com/api/v1/image/108296599-5ED3-MM-B-BLOCK-SHORT-042326.jpg?v=1776986059&w=1920&h=1080,DOW,CNBC,Dow CEO Jim Fitterling joins 'Mad Money' host Jim Cramer to talk the state of the global oil markets amid the Iran war and the shipping backlog caused by it.,https://finnhub.io/api/news?id=7b681c9955f55dd873fdb049f00fbe14893eb53057de7d8501a892f9b668bbb4
company,1776972250,"We know parts of the market are hot, says Jim Cramer",139878618,https://image.cnbcfm.com/api/v1/image/108296592-5ED3-MM-A-BLOCK-042326.jpg?v=1776984173&w=1920&h=1080,DOW,CNBC,'Mad Money' host Jim Cramer looks at the day's market action.,https://finnhub.io/api/news?id=8e819e7f751abaa2bc519358b10fb5be0ac0aff06f568c4ea5142acd30852fa3
company,1776967674,Conference Call: Dow Sees Q2 Sales $12.000B vs $11.071B Est,139870287,,DOW,Benzinga,Dow (NYSE:DOW) sees Q2 sales of $12.000 billion vs $11.071 billion analyst estimate.,https://finnhub.io/api/news?id=714d9f8c81faa111200bb0a83b989e6e9b00c1baffe7c8b7da6c9b349e62c729
company,1776962851,Dow Inc. Q1 2026 Earnings Call Summary,139866562,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DOW,Yahoo,Moby summary of Dow Inc.'s Q1 2026 earnings call,https://finnhub.io/api/news?id=f89c921f117186d2cf35f1eed02cc7d5bf8646c3de60c8844e455be2203c2b55
company,1776959292,Dow : First Quarter 2026 Transcript,139867515,,DOW,Finnhub,"Dow Inc. NYSE:DOW FQ1 2026 Earnings Call Transcripts Thursday, April 23, 2026 12:00 PM GMT S&P Global Market Intelligence...",https://finnhub.io/api/news?id=20b4c06c02501fee645004fe6f60a4c509ec14a937250eba65dd4a23cf720763
company,1776954916,Nuclear company X-Energy expected to raise $814M in latest IPO,139879118,https://image.cnbcfm.com/api/v1/image/108296449-17769702211776970218-45462873827-1080pnbcnews.jpg?v=1776970220&w=1920&h=1080,DOW,CNBC,CNBC's Pippa Stevens reports on news regarding X-Energy.,https://finnhub.io/api/news?id=b78616938af9673840d385db36680ec66811f8e302a1f87f3b78e5ee35c430d0
company,1776953040,Dow Stock Is Down After Earnings. The Outlook Is Improving.,139864587,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DOW,Yahoo,The chemicals company reported a first-quarter per-share loss of 14 cents from sales of $9.8 billion. Wall Street was looking for a 29-cent loss from sales of $9.7 billion.,https://finnhub.io/api/news?id=522d141046d1ad8c315e507692f6a7b041920a220518d990cff359f93dcbff41
company,1776951979,Dow (DOW) Q1 2026 Earnings Call Transcript,139863011,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DOW,Yahoo,"James R. Fitterling and Karen S. Carter will start with a summary of our first quarter performance, including details on each of our three operating segments.  Karen S. Carter will then provide an update on current industry dynamics, including how global supply disruptions are influencing market conditions.  Following the prepared remarks, we will open the call for Q&A. I will now turn the call over to James R. Fitterling.",https://finnhub.io/api/news?id=1169756b0cf1807695b0f446ed039947cce52d188e9b3ff0ab651868022f457f
company,1776951006,Here's What Key Metrics Tell Us About Dow Inc. (DOW) Q1 Earnings,139864588,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DOW,Yahoo,"Although the revenue and EPS for Dow Inc. (DOW) give a sense of how its business performed in the quarter ended March 2026, it might be worth considering how some key metrics compare with Wall Street estimates and the year-ago numbers.",https://finnhub.io/api/news?id=75fc712135bbccbcdae9dbfe98f60ad2fdbc16a2df662224fcef5ef4ca3de87a
