category,datetime,headline,id,image,related,source,summary,url
company,1776985167,The 'Standout' From Edwards Lifesciences' Broad-Based Sales Beat,139870659,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,EW,Yahoo,Edwards Lifesciences stock advanced late Thursday on better-than-expected first-quarter sales and earnings.,https://finnhub.io/api/news?id=97ae0c2d21189e5546f9747e9ded35bce64744026325cbb4d28074af9acf12a1
company,1776981602,"Compared to Estimates, Edwards Lifesciences (EW) Q1 Earnings: A Look at Key Metrics",139870660,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,EW,Yahoo,"While the top- and bottom-line numbers for Edwards Lifesciences (EW) give a sense of how the business performed in the quarter ended March 2026, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://finnhub.io/api/news?id=7f74e48d7b36e54bc68f7b84e0c3f53166df0abd25621d794bbe413e79bb80ef
company,1776980491,Edwards Lifesciences Corporation (EW) Q1 2026 Earnings Call Transcript,139871188,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,EW,SeekingAlpha,"Edwards Lifesciences Corporation (EW) Q1 2026 Earnings Call April 23, 2026 5:00 PM EDTCompany ParticipantsGerianne SarteBernard Zovighian - CEO &...",https://finnhub.io/api/news?id=e231319fef10ed79d1f7571546f95994e1aaef91bc84d940290c36d7177d1ac3
company,1776978305,Top gainers and losers in the S&P500 index during Thursday's after-hours session.,139868966,https://www.chartmill.com/images/uploads/CM_Aftermarket_Movers_Small_free_e077945a19.webp,EW,ChartMill,"After the closing bell on Thursday, let's take a glimpse of the US markets and explore the top S&P500 gainers and losers in today's after-hours session.",https://finnhub.io/api/news?id=474f9719a63f2cf5e533e58b0e536b186c53c96194e1e0278b99430c7ca4aced
company,1776978299,Edwards Lifesciences Corp (NYSE:EW) Shares Surge After Q1 Earnings Beat and Raised Guidance,139868965,https://www.chartmill.com/images/uploads/THUMBNAILS_CHARTMILL_1000_528_16_065e226ebd.webp,EW,ChartMill,"Edwards Lifesciences beat Q1 2026 earnings estimates, with EPS of $0.78 and revenue of $1.65B. Shares surged 4.7% after-hours as the company raised full-year guidance, driven by strong TAVR and TMTT sales growth.",https://finnhub.io/api/news?id=00618b7bc4134d499bc0c3cb92418cffe5d7a4ded3af02bda52c871841a36c7a
company,1776976214,Heart-Valve Maker Edwards Lifesciences Pops On First-Quarter Beat,139869603,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,EW,Yahoo,Edwards Lifesciences stock advanced late Thursday on better-than-expected first-quarter sales and earnings.,https://finnhub.io/api/news?id=c613d9ede191d8e50a1b44d4a945d11de9bbc8bf39eef4a6b346d443a70bb920
company,1776975300,Edwards Lifesciences Reports First Quarter Results,139869604,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,EW,Yahoo,"IRVINE, Calif., April 23, 2026--Edwards Lifesciences (NYSE: EW) today reported financial results for the quarter ended March 31, 2026.",https://finnhub.io/api/news?id=da574db8e96325960a77bba627b19d5dd81ad3a96b6a3d161fba9b246bb9d7ee
company,1776970843,"Transcript : Edwards Lifesciences Corporation, Q1 2026 Earnings Call, Apr 23, 2026",139870593,,EW,Finnhub,"Presentation Operator MessageOperator Greetings, and welcome to the Edwards Lifesciences First Quarter 2026 Results. [Operator Instructions] A question-and-answer session will follow the formal...",https://finnhub.io/api/news?id=e99f9dee870b691677acf21db942ae8ef36de414a91e8f0b47386e228140e9bf
company,1776967540,Transcript: Edwards Lifesciences Q1 2026 Earnings Conference Call,139879887,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_4.jpg?width=2048&height=1536,EW,Benzinga, ,https://finnhub.io/api/news?id=827bd3139c187a0ec3cbdfe5b89ef4dc1d87089d4e2deddcf2a714b694991777
company,1776966568,Edwards Lifesciences beats quarterly estimates on robust demand for artificial heart valves,139869256,,EW,Finnhub,"Edwards Lifesciences beatWall Street first-quarter estimates on Thursday, driven byrobust demand for its artificial valves used in complex cardiacprocedures, sending its shares up over 4% in...",https://finnhub.io/api/news?id=d044842c3a258f1b0244f5ef9712cdfe87bbbd49c8ca586e2e486366d1588c9d
company,1776961903,Edwards Lifesciences shares are trading higher after the company reported better-than-expected Q1 financial results and raised its FY26 adjusted EPS guidance above estimates.,139879888,,EW,Benzinga,,https://finnhub.io/api/news?id=9a8dd004495749b7fc27c95bb2794130c9ec5cb03ce67db3b0667a47486fd3ae
company,1776961130,Edwards Lifesciences Sees Q2 Adj EPS $0.70-$0.76 vs $0.75 Est; Sees Sales $1.660B-$1.740B vs $1.684B Est,139879889,,EW,Benzinga,Edwards Lifesciences (NYSE:EW) is looking for Q2 Adj EPS of $0.70-$0.76 vs $0.75 analyst estimate. sees sales of $1.660 billion-$1.740 billion vs $1.684 billion analyst estimate.,https://finnhub.io/api/news?id=95378e3f51e635f8e83ef9d28e8ca9a0a1837770f9dd57b3e0aa8bb6964ae232
company,1776961076,Edwards Lifesciences Raises FY2026 Adj EPS Guidance from $2.90-$3.05 to $2.95-$3.05 vs $2.93 Est; Widens FY2026 Sales Guidance from $6.553B-$6.674B to $6.500B-$6.900B vs $6.679B Est,139879890,,EW,Benzinga,Edwards Lifesciences (NYSE:EW) raises FY2026 Adj EPS guidance from $2.90-$3.05 to $2.95-$3.05 vs $2.93 analyst estimate. Widens FY2026 sales outlook from $6.553 billion-$6.674 billion to $6.500 billion-$6.900 billion vs,https://finnhub.io/api/news?id=3a53b7adb7b15bcfefa9528cfa98f7277f8581677a11724767034c4a3c7d55bf
company,1776960986,"Edwards Lifesciences Q1 Adj. EPS $0.78 Beats $0.73 Estimate, Sales $1.649B Beat $1.596B Estimate",139879891,,EW,Benzinga,Edwards Lifesciences (NYSE:EW) reported quarterly earnings of $0.78 per share which beat the analyst consensus estimate of $0.73 by 6.85 percent. This is a 21.88 percent increase over earnings of $0.64 per share from the,https://finnhub.io/api/news?id=51af7d0c261a62035958c9ca85265bb7def5fde18164fda86a389242ecef4cd9
company,1776928289,"Earnings Scheduled For April 23, 2026",139863224,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,EW,Benzinga, ,https://finnhub.io/api/news?id=8c563fc2379fa00c5d61da639c5622b1afb5e4f0e546029b6c462f78a95936f6
