category,datetime,headline,id,image,related,source,summary,url
company,1776979347,"CNBC Daily Open: Truce on land, storm at sea — markets are counting the cost",139878572,https://image.cnbcfm.com/api/v1/image/108288964-1775687517946-108288964-1775687378605-gettyimages-2248969384-nikoubazl-iranianp251202_npN8U.jpeg?v=1775687551&w=1920&h=1080,FDX,CNBC,"The vital maritime passage has been under a ""double-blockade"" with neither Iran nor the U.S. allowing vessels to enter or exit the strait. ",https://finnhub.io/api/news?id=b07439b7886fa5428b444430d00a44254f1baee66fce80350472c6b5114a950c
company,1776966608,"Democratic lawmakers urge retail, shipper CEOs to pass Trump tariff refunds to consumers",139869301,,FDX,Finnhub,A group of 15 Democrats in the U.S. House of Representatives on Thursday urged CEOs of major retailers and shippers to give back any refunds they receive from President Donald Trump's illegal tariffs...,https://finnhub.io/api/news?id=3cbbd2690316260867c164b9c12e64e2e133e0657e4157ec8d2e7257ed72511f
company,1776958200,"Delivering Impact Where It Counts, With Futurpreneur",139864432,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDX,Yahoo,"How FedEx and Futurpreneur are powering Canada's young entrepreneurs NORTHAMPTON, MA / ACCESS Newswire / April 23, 2026 / When young entrepreneurs have the right support at the right time, ideas turn into businesses. That belief underpins the collaboration ...",https://finnhub.io/api/news?id=aa7345cf53f28b2464b8f62c25ce88c20c8387b4eb7071ebd409422c78bccd2e
company,1776955733,"FedEx Corporation: Valuation, Technical, And Macro Downsides Still Outweigh Fundamental Soundness",139867230,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2197279401/image_2197279401.jpg?io=getty-c-w1536,FDX,SeekingAlpha,"FedEx Corporation demonstrates operational resilience and strategic B2B focus, but current valuation limits further upside. Read more on FDX stock here.",https://finnhub.io/api/news?id=69a4d6822545831663a56a5ea5d1541f0b79df5fedee855f90663b11efbc6f8c
company,1776949200,"UPS, FedEx, DHL Set to Reimburse Customers as CBP Tariff Portal Goes Live",139864433,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDX,Yahoo,"The IEEPA refund portal puts the carriers at the center of repayment process, with the logistics firms expecting to pay customers back in 60 to 90 days.",https://finnhub.io/api/news?id=92c85ca15af355b902610ad0dcf45a3b148ebff8a56d012e92151d156b7e2f11
company,1776948660,"PNK Group Expands Its Presence in Pennsylvania with Land Acquisition in Reading, Berks County",139862597,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDX,Yahoo,"Industrial developer PNK Group has acquired a 24-acre site in Reading, Berks County, Pennsylvania, opening a new submarket for the company and continuing its expansion across key logistics regions of the state. The site is planned for the development of PNK Reading at Route 222, a modern industrial facility totaling approximately 220,000 square feet. Construction is expected to begin in the second quarter of 2026.",https://finnhub.io/api/news?id=67efb984a877b4ad3f52275523a8e4031cf83c8d3539ddf0b45cb9b749ceaabc
company,1776929160,Viettel Post and FedEx Announce Strategic Partnership to Strengthen Cross-Border Logistics in Vietnam,139859134,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDX,Yahoo,"Viettel Post, a member of Viettel Group, and FedEx today announced a strategic partnership in Vietnam aimed at enhancing cross-border logistics capabilities and strengthening the connection between Vietnamese businesses and global supply chains.",https://finnhub.io/api/news?id=086f6da438fe9fcbb252a3101a9e7a2fdbeef7da3c4eaee8790272a0cc89cf59
company,1776920254,Viettel Group says Viettel Post & Fedex announce strategic partnership to strengthen cross-border logistics in Vietnam,139859509,,FDX,Finnhub,"Viettel Group: Viettel Group: Viettel Post & Fedex announce strategic partnership to strengthen cross-border logistics in Vietnam Viettel Group: Under agreement, effective April 26, Viettel Post...",https://finnhub.io/api/news?id=ef0831442d8d865894eea37bfdc483386adab1b774be3487861dd3347b6ee45c
company,1776919295,"Viettel Post And FedEx Launch Strategic Partnership In Vietnam To Handle Nearly 2M Shipments And 26,000 Tons Annually Across 220-Plus Countries",139865289,,FDX,Benzinga,,https://finnhub.io/api/news?id=f342b0bd7c04593acbea6a849a21b3e78c178ccc6f12e08aa5d0a1f6108aa286
company,1776903203,3 Hyped Up  Stocks Walking a Fine Line,139856847,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDX,Yahoo,"Each stock in this article is trading near its 52-week high. These elevated prices usually indicate some degree of investor confidence, business improvements, or favorable market conditions.",https://finnhub.io/api/news?id=1e81603be72862096fef11fca12dadeaf06a001aeca520eb27a7fa30aa9d819d
company,1776902465,FedEx : Deepens Asia Pacific Trade Connectivity through Strategic Partnership in Vietnam,139857480,,FDX,Finnhub,"L-R - Senior leadership from Viettel Group, Viettel Post, and FedEx with distinguished guests at the partnership announcement ceremony SINGAPORE, April 23, 2026 - Federal Express Corporation , one of...",https://finnhub.io/api/news?id=79eac3b8c175104f92c5a37789f91fce94f4a81f25a42d1e7fa8834f873845a7
