category,datetime,headline,id,image,related,source,summary,url
company,1776980056,"Dow Jones Futures: Stocks Fall On Iran, ServiceNow, Tesla; Intel Soars Late",139869370,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FIX,Yahoo,"Stocks fell on Iran news, ServiceNow and Tesla. AI plays Intel and Comfort Systems reported earnings late.",https://finnhub.io/api/news?id=a36fde24b62b3d75cb305caee307e8824cfa89d3134f4161694aefc40386c0eb
company,1776979503,Comfort Systems (FIX) Q1 Earnings and Revenues Beat Estimates,139870650,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FIX,Yahoo,"Comfort Systems (FIX) delivered earnings and revenue surprises of +46.18% and +18.12%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=47283f3bce5eb9714a3faa9b53c8806624f85977f65ef066848d4038bbacce77
company,1776978305,Top gainers and losers in the S&P500 index during Thursday's after-hours session.,139868966,https://www.chartmill.com/images/uploads/CM_Aftermarket_Movers_Small_free_e077945a19.webp,FIX,ChartMill,"After the closing bell on Thursday, let's take a glimpse of the US markets and explore the top S&P500 gainers and losers in today's after-hours session.",https://finnhub.io/api/news?id=474f9719a63f2cf5e533e58b0e536b186c53c96194e1e0278b99430c7ca4aced
company,1776977161,Comfort Systems (NYSE:FIX) Reports Upbeat Q1 CY2026,139869590,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FIX,Yahoo,"HVAC and electrical contractor Comfort Systems (NYSE:FIX) reported Q1 CY2026 results beating Wall Street’s revenue expectations, with sales up 56.5% year on year to $2.87 billion. Its GAAP profit of $10.51 per share was 54.4% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=11a2f9113a32d0975984fef00f509f49b3dfb31264ba4caecc85f05c8b428294
company,1776974640,Comfort Systems USA Reports First Quarter 2026 Results,139869591,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FIX,Yahoo,"HOUSTON, April 23, 2026--Comfort Systems USA, Inc. (NYSE: FIX) (the ""Company"") today reported results for the quarter ended March 31, 2026.",https://finnhub.io/api/news?id=974751f3bf4b3808ff4ad72c2f529e77954dc3f87579c6d828781e73b8522d53
company,1776965319,Comfort USA : Q1 2026 Earnings Release Summary,139869012,,FIX,Finnhub,"QUALITY PEOPLE. BUILDING SOLUTIONS. Q1 2026 Earnings Call NYSE: FIX April 24, 2026 Q1 2026 FINANCIAL RESULTS...",https://finnhub.io/api/news?id=461e4a6ad9b561fd0dcb7e43bc509081149ffa81471c40a73671ce9d27b7adb2
company,1776964891,"Stocks making the biggest moves after hours: Intel, SAP, Boyd Gaming, MaxLinear and more",139878820,https://image.cnbcfm.com/api/v1/image/108255965-1769112419539-gettyimages-2257634611-_75a0021_qugpstfo.jpeg?v=1776977397&w=1920&h=1080,FIX,CNBC,See which stocks are posting big moves after the bell.,https://finnhub.io/api/news?id=b8855ab58b675f05a33a4c3f51767315125528cbb09092f74aa70982a025001f
company,1776963940,12 Industrials Stocks Moving In Thursday's After-Market Session,139868904,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_3.jpg?width=2048&height=1536,FIX,Benzinga, ,https://finnhub.io/api/news?id=b7a97cda3d385a85ff679d96719bbbefdfd30d2f76581ada0fb77bad3b42b8cb
company,1776960731,Comfort Systems: Q1 Earnings Snapshot,139868166,,FIX,Finnhub,"HOUSTON — HOUSTON — Comfort Systems USA Inc. on Thursday reported first-quarter net income of $370.4 million. On a per-share basis, the Houston-based company said it had profit of $10.51. ...",https://finnhub.io/api/news?id=a51691bfdc1fd45d14040b1e8ac1cf0e55bee73bb127fdb7a6f4f0a93dfab0c1
company,1776960625,Comfort Systems USA shares are trading higher after the company reported better-than-expected Q1 financial results.,139878904,,FIX,Benzinga,,https://finnhub.io/api/news?id=d633440aa7dfa0f0dc2bd7eaf8736a83145ef071792cdbbb49c787116afec06b
