category,datetime,headline,id,image,related,source,summary,url
company,1776988500,Review & Preview: Earnings Storm,139871280,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,"Disappointing results from IBM and ServiceNow weighed on tech stocks. Chip stocks managed to still thrive, though.",https://finnhub.io/api/news?id=1118fa60c939a763e7773c24004bb4d380a8bd920176722f175e88c1516b6d10
company,1776983773,VeriSign Q1 Earnings Call Highlights,139870490,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,"VeriSign (NASDAQ:VRSN) reported what it called a strong start to 2026, citing record levels in its combined .com and .net domain name base and higher year-over-year revenue and earnings. Executives also announced a forthcoming .com wholesale price increase effective Nov. 1, 2026 and raised the compa",https://finnhub.io/api/news?id=d9d255206836b1b68ddc4f6a184b9c900826a6bfb00cd4139eefef2f5128a820
company,1776983771,Intel Q1 Earnings Call Highlights,139870486,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,"Intel (NASDAQ:INTC) executives said first-quarter results topped the high end of guidance as demand for the company’s products continued to run ahead of supply, led by strength in server CPUs tied to AI infrastructure build-outs. CEO Lip-Bu Tan said revenue, gross margin and earnings per share all e",https://finnhub.io/api/news?id=fda7ad88af71b367da2651d8ba64f0275e20348285e6683df3df24955faa1d09
company,1776978000,Bret Taylor’s Sierra buys YC-backed AI startup Fragment,139869338,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,"Sierra, the AI customer service agent startup founded by technologist Bret Taylor, announced today that it has acquired the YC-backed French startup Fragment.",https://finnhub.io/api/news?id=e9eb0fc40a359e519e3ede88032d8174e74d973d932ffeddff99bbf32daa9903
company,1776977505,Zuckerberg cuts thousands of jobs to ‘offset’ AI spending spree,139869340,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,Mark Zuckerberg’s Meta is cutting thousands of jobs to “offset” the cost of its multibillion-dollar spending spree on artificial intelligence (AI).,https://finnhub.io/api/news?id=781ad65d24666cb1c9715c97f842ad2cdbc5f66f551d02e9d9d372e0ad266bfd
company,1776976811,Bezos’ Physical AI Lab Has Closed Round at $38 Billion Value,139869331,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,"(Bloomberg) -- Project Prometheus, the artificial intelligence lab that Amazon.com Inc. founder Jeff Bezos is leading with Google veteran Vik Bajaj, has closed a $10 billion funding round that values the company at roughly $38 billion, according to a person familiar with the situation.Most Read from BloombergAnthropic’s Mythos Model Is Being Accessed by Unauthorized UsersInside Alex Cooper’s Unwell: Tears, Screaming and Employees Looking for the ExitTrump Encourages Companies Not to Seek Tariff",https://finnhub.io/api/news?id=7cc5d20e8d11507801ac9abad32fbe521a2fc31fbd378828644f0be81ab6c53a
company,1776974869,Kyndryl’s Expanded Google Cloud AI Partnership Might Change The Case For Investing In Kyndryl Holdings (KD),139869342,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,"Kyndryl recently expanded its Distributed Cloud services with Google Cloud to help enterprises modernize applications with AI across hybrid, multicloud, and edge environments while maintaining data sovereignty and consistent governance. This move underscores how Kyndryl is positioning itself as a key integrator for complex, regulated IT estates that need flexible cloud placement and control over where sensitive data resides. We’ll now examine how Kyndryl’s deeper Google Cloud Distributed...",https://finnhub.io/api/news?id=c759ddad01f326c3dd1fcb0d5f4ad5f5b235c6bf98ce990d59e8a7f55a477c9c
company,1776974503,Nasdaq Slides. Earnings Fail to Save the Day.,139869320,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,"The Nasdaq slipped from record highs on Thursday after the first big wave of tech earnings failed to save the day.  The Dow dropped 180 points, or 0.4%.  The S&P and Nasdaq finished Wednesday at closing highs.",https://finnhub.io/api/news?id=465a553370f8ebdd4a76a711768d167d918fb6116c9011c80734f53f476e46e2
company,1776974088,Why Microsoft is offering its first voluntary employee buyout,139869328,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,Microsoft (MSFT) is planning its first-ever voluntary employee buyout for up to 7% of its US workforce. Yahoo Finance Tech Editor Dan Howley discusses the news in the video above.,https://finnhub.io/api/news?id=fe22bca947d3db2f7d4a30aab5496387d15d8ef2e5c2ed95b79b26aacc35a743
company,1776973860,SpaceX Is Going to Make Elon Musk a Tesla-Sized Boatload of Money,139869345,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,"Anyone concerned about Elon Musk’s compensation for running SpaceX can rest easy—he’ll do just fine.  Details of SpaceX’s confidential initial public offering registration statement continue to leak out as bankers and analysts meet with the company ahead of its IPO roadshow, during which those bankers will argue that SpaceX deserves a massive valuation of up to $2 trillion.  The point is, the SpaceX number is big.",https://finnhub.io/api/news?id=733097c6e743bf7169bbde8ad99a20ee5128d036e17ad396d52593f00e0e031a
company,1776972993,Meta plans 10% layoffs as AI spending soars: source,139867691,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,"Meta plans to cut a tenth of its workforce, looking for productivity gains from its remaining workers as it invests heavily in artificial intelligence.Meta is locked in a bitter rivalry with other tech behemoths racing to invest heavily in AI, aiming to ensure the technology generates profits in the not-so-distant future.",https://finnhub.io/api/news?id=7364ebb2d69d3880f5003c1ddada27443c4b379b07ba0d36fadea3fddc18e413
company,1776972600,"Alphabet set to report modest beat for Q1 driven by AI, Cloud growth",139867711,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,"Bank of America has reiterated its “Buy” rating on Google’s parent company Alphabet Inc (NASDAQ:GOOG) ahead of the company’s first quarter earnings report on April 29, highlighting artificial intelligence integration and resilient search demand as key drivers of near-term stock...",https://finnhub.io/api/news?id=28fa6dd058a4c5716fb1619992b0ed713f1337b50ebb5103a7ac14c7730a8397
company,1776970200,"Alphabet Has a Massive Advantage in the AI Race -- and No, It's Not Gemini",139867712,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,Most investors focus on which company has the best AI. But the better question is which company is best positioned to capture the most value from AI over the next decade? And that's probably Alphabet.,https://finnhub.io/api/news?id=1ca3d681c2512df0afaecffa9e9131bff886d5fcb740c6b89202d93cc836e99b
company,1776967309,Will 8th-Generation TPUs Move the Needle for Google Stock?,139870692,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,Alphabet’s new 8th‑generation TPUs are positioned as the backbone of its next AI growth phase.,https://finnhub.io/api/news?id=3305d743d3453ed71753971a6f4832e383e2fbd58ca021bcdbb5116eeeabcdb7
company,1776967142,EU Draft Findings Pressure Google To Open Android AI Access,139866212,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,Regulators may require equal access for rival AI tools like ChatGPT and Claude under Digital Markets Act rules.,https://finnhub.io/api/news?id=8c133f00c7b81902a9340a29b8a0a8d529d08382c3ddec60d621defe7ba86a3c
company,1776967034,Brazil regulator approves deeper probe into Google's news content use,139871295,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GOOG,Yahoo,"Brazil's antitrust watchdog CADE approved on Thursday a recommendation to deepen ‌investigations into the use of journalistic content ‌by Alphabet's Google, which would assess potential abuse of the company's ​dominant market position. CADE's members backed a proposal from its interim chief Diogo Thomson de Andrade to return the case to its general superintendence for formal administrative proceedings, citing ‌the evolution of ⁠Google's conduct since the 2019 inquiry began. CONTEXT • The case began following CADE's 2019 determination ⁠to examine competitive conditions in search and news markets.",https://finnhub.io/api/news?id=e6190db598dfad876f5c9346909eae318d1d697300a8cee77d5ad6c7a1dae89a
