category,datetime,headline,id,image,related,source,summary,url
company,1776971104,These S&P500 stocks are moving in today's session,139867292,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,HAS,ChartMill,Stay informed about the performance of the S&P500 index one hour before the close of the markets on Thursday. Uncover the top gainers and losers in today's session for valuable insights.,https://finnhub.io/api/news?id=8eda1ce383590a051ac9038f0fb25bdebb55ec5285a404ddb0bc8d3c36092d4b
company,1776962104,What's going on in today's session: S&P500 movers,139865123,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,HAS,ChartMill,Curious about the S&P500 stocks that are in motion on Thursday? Join us as we explore the top movers within the S&P500 index during today's session.,https://finnhub.io/api/news?id=045c7b48b65007e164a85ff803fd33eecc2fc353fcd25256a546df5c8edcf0d2
company,1776954905,Thursday's session: gap up and gap down stock in the S&P500 index,139863460,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,HAS,ChartMill,Let's have a look at what is happening on the US markets on Thursday. Below you can find the S&P500 gap up and gap down stocks in today's session.,https://finnhub.io/api/news?id=3e77378a8303755471e1b6024163e0b35e5a58eb2c00b94f05f77d23bb01eea5
company,1776948241,Hasbro shares jump on preliminary Q1 revenue beat despite cyber incident,139863081,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HAS,Yahoo,"Hasbro (NASDAQ:HAS) reported preliminary first-quarter revenue that came in above analyst expectations, even as the company dealt with a recent cybersecurity breach. The toymaker said net revenue is expected to fall in a range of $970 million to $985 million, exceeding the consensus estimate of $908.",https://finnhub.io/api/news?id=86141106029b3653a2eacaa063b2689e7214023579b6446291c0876e282ce2a5
company,1776947705,Get insights into the top movers in the S&P500 index of Thursday's pre-market session.,139861934,https://www.chartmill.com/images/uploads/CM_Premarket_Movers_Small_free_90289f6b81.webp,HAS,ChartMill,Curious about the S&P500 stocks that are showing activity before the opening bell on Thursday?,https://finnhub.io/api/news?id=797a75e76745e6c7b6ed23429da6b87bee212e8314f482a865435ce2d7a5a25e
company,1776942000,"Hasbro Announces Preliminary First Quarter 2026 Financial Results with Growth Across Revenue and Operating Profit, Reiterates 2026 Guidance, and Provides Update on Unauthorized Network Access",139861456,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HAS,Yahoo,"PAWTUCKET, R.I., April 23, 2026--Hasbro, Inc. (NASDAQ: HAS), a leading games, IP and toy company, today announced preliminary results for the first quarter ended March 29, 2026, with growth behind continued strength in MAGIC: THE GATHERING. The Company reiterated its full-year guidance. The Company plans to release full first quarter results before the market open on May 20, 2026.",https://finnhub.io/api/news?id=91032c198154537bd6858fd77bfe1d6102a52471604360cedea9922ba0154ba8
company,1776938692,"Comcast, Molina Healthcare, STMicroelectronics And Other Big Stocks Moving Higher On Thursday",139864005,https://cdn.benzinga.com/files/images/story/2026/04/23/Tucson--Ariz----usa-8---5---19-Comcast-C.jpeg?width=2048&height=1536,HAS,Benzinga,"U.S. stocks were lower on Thursday, with the Dow Jones dropping over 200 points. Comcast&#39;s strong earnings caused its shares to rise 6.7%.",https://finnhub.io/api/news?id=da45a7636cd30825593d0bc075e7ef5c7b12a3eb84b671469d112810a46e1703
company,1776938182,Why Hasbro Shares Are Surging On Thursday?,139863273,https://cdn.benzinga.com/files/images/story/2026/04/23/Kyiv--Ukraine---November-15--2019-Top-Vi.jpeg?width=2048&height=1536,HAS,Benzinga,"Hasbro shares gain after preliminary Q1 results show revenue above estimates, driven by strong MAGIC: THE GATHERING performance.",https://finnhub.io/api/news?id=f55c17e62b058d16b5af53e1ae0f48e5687df263db939d0485e7b7971217c8d1
company,1776937443,"Hasbro sees strong quarterly sales, delays results after cyber incident",139862488,,HAS,Finnhub,"Hasbro on Thursday delayed its quarterly results due to a cybersecurity incident, but forecast first-quarter sales above analysts' expectations, sending its shares up about 6% in premarket trading. ...",https://finnhub.io/api/news?id=9177e52e65fccc73d3b84da897cc54518e037c8de1c3b1ca5d50b4a924f59e10
company,1776934295,"Hasbro, Inc. Reiterates Earnings Guidance for the Full Year 2026",139862018,,HAS,Finnhub,"Hasbro, Inc. reiterated earnings guidance for the full year 2026. For the year, the company expects Total Hasbro revenue up +3%-5% in constant currency....",https://finnhub.io/api/news?id=f2f2d5f8205d1e3ff225e75220c6128157431218da52161c0e2308e4aa61bbd1
company,1776933330,Hasbro delays quarterly results after cybersecurity incident,139861865,,HAS,Finnhub,Hasbro said on Thursday it would delay its quarterly earnings report due to a cybersecurity incident involving an unauthorized access to the toymaker's network. Hasbro forecast...,https://finnhub.io/api/news?id=62d6341bd942a0364ab4ffb51435acdda9714cbf6c109b55142071153b40d0e3
company,1776928819,Hasbro shares are trading higher after the company reported better-than-expected preliminary Q1 revenue.,139869184,,HAS,Benzinga,,https://finnhub.io/api/news?id=39b0264bc39f8ee0c1b76a5f4a08015a4d26b402d800b152d425056fd7a33844
company,1776928718,Hasbro Reaffirms FY2026 Sales Outlook $4.842B-$4.936B vs $4.904B Est,139869185,,HAS,Benzinga,"Reiterates Full-Year 2026 GuidanceFor the full year, the Company continues to expect:Total Hasbro revenue up +3-5% in constant currencyAdjusted operating margin of 24-25%Adjusted EBITDA of $1.40 billion to $1.45 billion",https://finnhub.io/api/news?id=34dea39466e0bd0e4ad51440fe2f1c84eebe154778b0013a6631b9224cd580b0
company,1776928641,"Hasbro Q1 Prelim Revenue $970M-$985M Vs. $908.9M Estimate, Adj. Op Profit $250M-$260M",139869186,,HAS,Benzinga,"Preliminary Q1 2026 Expected Financial Results

Today, the Company announced certain unaudited preliminary financial information for the first quarter ended March 29, 2026:",https://finnhub.io/api/news?id=26586771d0c2e36b448e6e5587e8431a51766294ba30b959c2f6bbe332392e59
