category,datetime,headline,id,image,related,source,summary,url
company,1776978305,Top gainers and losers in the S&P500 index during Thursday's after-hours session.,139868966,https://www.chartmill.com/images/uploads/CM_Aftermarket_Movers_Small_free_e077945a19.webp,HIG,ChartMill,"After the closing bell on Thursday, let's take a glimpse of the US markets and explore the top S&P500 gainers and losers in today's after-hours session.",https://finnhub.io/api/news?id=474f9719a63f2cf5e533e58b0e536b186c53c96194e1e0278b99430c7ca4aced
company,1776975884,Hartford (NYSE:HIG) Exceeds Q1 CY2026 Expectations,139869611,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HIG,Yahoo,"Insurance and financial services company The Hartford (NYSE:HIG) reported Q1 CY2026 results exceeding the market’s revenue expectations, with sales up 6.1% year on year to $7.23 billion. Its non-GAAP profit of $3.09 per share was 8.8% below analysts’ consensus estimates.",https://finnhub.io/api/news?id=0ab21457cf1ea15d5406e21123402e507251530f004f58945756db8f7324b895
company,1776974700,The Hartford Reports First Quarter 2026 Financial Results,139869612,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HIG,Yahoo,"HARTFORD, Conn., April 23, 2026--The Hartford (NYSE: HIG) today announced financial results for the first quarter ended March 31, 2026.",https://finnhub.io/api/news?id=b0f938afff1e619e38af7afc1fa5a70eee02dd2a0ddf449d617d19c401a15ad0
company,1776965843,The Hartford's quarterly profit jumps on rising business insurance demand,139869117,,HIG,Finnhub,The Hartford posted a 36%rise in first-quarter profit on Thursday as the property andcasualty insurance firm benefited from strong growth inpremiums. Insurance spending has held up...,https://finnhub.io/api/news?id=b1b8233b52d36f9d84ab85b09675b524f2dc76ed3a0eb016e345d3b081b8bf14
company,1776965364,Hartford Financial Services : First Quarter 2026 First Quarter 2026 Results,139869074,,HIG,Finnhub,‌NEWS RELEASE The Hartford Reports First Quarter 2026 Financial Results First quarter 2026 net income available to common stockholders of...,https://finnhub.io/api/news?id=752c81e9bc1eaa89a5f913b9ed6a58aaa3602a80b38c4015d33b73b8ac994d12
company,1776965335,Hartford Financial Services : 1Q26 Financial Results Presentation Slides,139869104,,HIG,Finnhub,The Hartford Dlversllled Insurer Wlth Core Underwrltln Strenphs And Marl‹et Leadershlp Marl‹et leader in desirable...,https://finnhub.io/api/news?id=011e4834d0f8f0146a80e6a04b58c50091542328034684e8bf570956d1a4c46e
company,1776964891,"Stocks making the biggest moves after hours: Intel, SAP, Boyd Gaming, MaxLinear and more",139878820,https://image.cnbcfm.com/api/v1/image/108255965-1769112419539-gettyimages-2257634611-_75a0021_qugpstfo.jpeg?v=1776977397&w=1920&h=1080,HIG,CNBC,See which stocks are posting big moves after the bell.,https://finnhub.io/api/news?id=b8855ab58b675f05a33a4c3f51767315125528cbb09092f74aa70982a025001f
company,1776961836,Hartford Insurance Group shares are trading lower after the company reported worse-than-expected Q1 financial results.,139880139,,HIG,Benzinga,,https://finnhub.io/api/news?id=e9043e471cdc3051772c7c33af5fa064fac2a7909843259666685ea94d57bd04
company,1776960400,"Hartford Finl Servs Gr Q1 Adj. EPS $3.09 Misses $3.40 Estimate, Sales $7.226B Miss $7.349B Estimate",139880140,,HIG,Benzinga,Hartford Finl Servs Gr (NYSE:HIG) reported quarterly earnings of $3.09 per share which missed the analyst consensus estimate of $3.40 by 9.12 percent. This is a 40.45 percent increase over earnings of $2.20 per share,https://finnhub.io/api/news?id=ffe3cfbaab64981041aceed53a766a20e7daf91d942ca4884e302c22cf115b85
company,1776928289,"Earnings Scheduled For April 23, 2026",139863224,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,HIG,Benzinga, ,https://finnhub.io/api/news?id=8c563fc2379fa00c5d61da639c5622b1afb5e4f0e546029b6c462f78a95936f6
