category,datetime,headline,id,image,related,source,summary,url
company,1776968487,Inside GE Vernova’s 90% Surge,139867831,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HON,Yahoo,GE Vernova (NYSE: GEV) stock has had a massive run.,https://finnhub.io/api/news?id=32af37ae2d708028fcebdc87f920fdd536e1d51d65623ae56d95c291a6f7f1f5
company,1776965975,Honeywell International Q1 Earnings Call Highlights,139866373,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HON,Yahoo,"Honeywell International (NASDAQ:HON) reported what executives described as a strong start to 2026, highlighting organic order growth, margin expansion and progress on its multi-year portfolio transformation, while also flagging near-term disruption tied to the conflict in the Middle East and tempora",https://finnhub.io/api/news?id=7ab9d4074042db4ab6fede509a57d84708ba9b30054688ec2ccf31f23c40cadb
company,1776965433,Industrials Up Amid Mixed Earnings -- Industrials Roundup,139869064,,HON,Finnhub,Shares of industrial and transportation companies rose amid mixed earnings in the sector. American Airlines estimated that its fuel costs would jump by $4 billion after conflict in the Middle East...,https://finnhub.io/api/news?id=faea1f2d409e625d48250e161bbdd6dfcaec6a5b73a08f71ce17f3cd7d7c2a0a
company,1776962980,Honeywell International Inc. Q1 2026 Earnings Call Summary,139866374,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HON,Yahoo,Moby summary of Honeywell International Inc.'s Q1 2026 earnings call,https://finnhub.io/api/news?id=d0eb9a11f5ff136d0703a01a4f0dbf3f173ac2c51493f97c5740a48c137fa8c7
company,1776957300,Honeywell shares slip on first quarter revenue miss,139864345,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HON,Yahoo,"Honeywell International Inc (NYSE:HON, XETRA:ALD) shares fell almost 3% in early trading on Thursday after the industrial conglomerate delivered mixed first quarter 2026 results, with investors weighing stronger-than-expected earnings against a revenue miss. Honeywell International Inc. (HON)...",https://finnhub.io/api/news?id=41ffb086ec9f28a06332e988cc97688a1a28109fb2012bf1aacd047f0be1a36e
company,1776955297,Honeywell International Inc. (HON) Q1 2026 Earnings Call Transcript,139867086,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,HON,SeekingAlpha,"Honeywell International Inc. (HON) Q1 2026 Earnings Call April 23, 2026 8:30 AM EDTCompany ParticipantsMark MacalusoVimal Kapur - Chairman & CEOMike...",https://finnhub.io/api/news?id=28544ba9061edd94cebdf92ea91efe150d17ab701b7f3a89d078fdb217ca8320
company,1776951007,"Compared to Estimates, Honeywell International (HON) Q1 Earnings: A Look at Key Metrics",139864346,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HON,Yahoo,"Although the revenue and EPS for Honeywell International (HON) give a sense of how its business performed in the quarter ended March 2026, it might be worth considering how some key metrics compare with Wall Street estimates and the year-ago numbers.",https://finnhub.io/api/news?id=e37241d26d6124fda35bf3f3ef505ace20883c1428303e60d1be72143d023088
company,1776949946,"Stocks making the biggest moves midday: Texas Instruments, United Rentals, Wex, Penn Entertainment & more",139865504,https://image.cnbcfm.com/api/v1/image/108243235-1766004043638-gettyimages-2251789238-TI_WAFER_PLANT.jpeg?v=1776964233&w=1920&h=1080,HON,CNBC,These are the stocks posting the largest moves midday.,https://finnhub.io/api/news?id=58536ec5b75132ed4cdf410647ccf1372d6cd6f792802281fdd34cc4b1211c65
company,1776949163,Honeywell Restructuring Nears Finish as Iran War Clouds Outlook -- Update,139865199,,HON,Finnhub,By Connor Hart Honeywell International is entering the final stages of a multi-year restructuring that will carve the industrial conglomerate into three publicly traded companies. Honeywell...,https://finnhub.io/api/news?id=5215cccf4f584e3d25b80d49cce97df3b978f1ab95ec091c24c2defa79457f24
company,1776948032,"A fund managed by AIP, LLC signed a definitive agreement to acquire Honeywell International Inc.'s Warehouse and Workflow Solutions business from Honeywell International Inc.",139865010,,HON,Finnhub,"A fund managed by AIP, LLC signed a definitive agreement to acquire Honeywell International Inc.'s Warehouse and Workflow Solutions business from Honeywell International Inc. on April 23, 2026. The...",https://finnhub.io/api/news?id=cd2ff884ea48a9f83616707ed7591b24630e447da465c0d93a791081dbfb9486
company,1776947705,Get insights into the top movers in the S&P500 index of Thursday's pre-market session.,139861934,https://www.chartmill.com/images/uploads/CM_Premarket_Movers_Small_free_90289f6b81.webp,HON,ChartMill,Curious about the S&P500 stocks that are showing activity before the opening bell on Thursday?,https://finnhub.io/api/news?id=797a75e76745e6c7b6ed23429da6b87bee212e8314f482a865435ce2d7a5a25e
company,1776944143,"Honeywell International Inc. Reports Earnings Results for the First Quarter Ended March 31, 2026",139863880,,HON,Finnhub,"Honeywell International Inc. reported earnings results for the first quarter ended March 31, 2026. For the first quarter, the company reported revenue was USD 9,143 million compared to USD 8,925...",https://finnhub.io/api/news?id=09797332bdbe8f4c7c2a57736a659fd188e9f4a15dd6a8240b93def69bbf204f
company,1776943892,Stocks Fall Pre-Bell as US-Iran Peace Talks Stall; Traders Parse Tesla's Results,139861121,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HON,Yahoo,"US equity futures were tracking in the red on Thursday, with no apparent signs of progress in peace",https://finnhub.io/api/news?id=f8960bc9f074e846946ab4121736c1ec413db12818fa3cb85affafbba52903bb
company,1776943266,Honeywell International Inc (NASDAQ:HON) Revenue Miss Triggers Pre-Market Slide Despite Q1 Earnings Beat,139860820,https://www.chartmill.com/images/uploads/THUMBNAILS_CHARTMILL_1000_528_16_065e226ebd.webp,HON,ChartMill,"Honeywell reported Q1 earnings beating EPS estimates but missing revenue targets, causing pre-market stock declines. Key updates include a $1.4B WWS sale and Aerospace spin-off timeline.",https://finnhub.io/api/news?id=8891ccd1d83cf25aa9c40523ac3447ebad15130e7cedc6d253a1baaa77b5ed0e
company,1776942540,Honeywell Beat Earnings Expectations. Why the Stock Is Sliding.,139861243,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HON,Yahoo,"Honeywell reported first-quarter earnings per share of $2.45, up 11% year over year, from sales of $9.1 billion, up 2%.",https://finnhub.io/api/news?id=98a32cc9f48fe341b325cc61881bc85316728c35661cc06b8d6b92f3700bc5b3
company,1776942540,Inflation Fears Grip Markets as Earnings Crutch Pulled Away. Surging Oil Lays Bare Iran Risk.,139861123,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HON,Yahoo,Stocks are set to give back some of their extraordinary April gains. The next few days could prove crucial.,https://finnhub.io/api/news?id=afed85bc0e5a8baab6a57e68abb290a1d650cda1d6821a1c013bd297de635463
company,1776942000,American Industrial Partners to Acquire Honeywell's Warehouse and Workflow Solutions Business,139861244,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HON,Yahoo,"American Industrial Partners (""AIP""), an operationally oriented industrials investor, today announced that a fund managed by it has signed a definitive agreement to acquire the Warehouse and Workflow Solutions (""WWS"" or ""the Company"") business of Honeywell (NASDAQ: HON). Terms of the transaction were not disclosed.",https://finnhub.io/api/news?id=c8672ef2ea4a1ccee4db5c6e57f8e481cd87bc64780daf74692bbec86ef54038
