category,datetime,headline,id,image,related,source,summary,url
company,1776988500,Review & Preview: Earnings Storm,139871280,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,"Disappointing results from IBM and ServiceNow weighed on tech stocks. Chip stocks managed to still thrive, though.",https://finnhub.io/api/news?id=1118fa60c939a763e7773c24004bb4d380a8bd920176722f175e88c1516b6d10
company,1776983234,"With the Iran War In a Stalemate, Software Takes Center Stage",139870553,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,"President Trump seems willing to let the ceasefire sit, while control of the Strait of Hormuz hangs in the balance.",https://finnhub.io/api/news?id=f7764df9564d8b22192dedd0e660edb0f3f3f0e5945ee6748fc1194fc1307b87
company,1776979440,SAP Stock Rebounds From Software Slaughter. The Cloud Boosted Europe’s Tech Titan.,139869484,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,"SAP shares are moving higher after reporting first-quarter earnings and reiterating full-year cloud revenue guidance. However, there’s a catch.",https://finnhub.io/api/news?id=1c775c83d6bc0908c29ec0aa175962655797e606aa4524f2495bb1b7fa91b8ff
company,1776979347,"CNBC Daily Open: Truce on land, storm at sea — markets are counting the cost",139878572,https://image.cnbcfm.com/api/v1/image/108288964-1775687517946-108288964-1775687378605-gettyimages-2248969384-nikoubazl-iranianp251202_npN8U.jpeg?v=1775687551&w=1920&h=1080,IBM,CNBC,"The vital maritime passage has been under a ""double-blockade"" with neither Iran nor the U.S. allowing vessels to enter or exit the strait. ",https://finnhub.io/api/news?id=b07439b7886fa5428b444430d00a44254f1baee66fce80350472c6b5114a950c
company,1776978086,"Nasdaq, S&P 500 Retreat From Record Highs as Tech Shares Fall, Oil Climbs",139869310,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,"The Nasdaq Composite and the S&P 500 pulled back from record highs on Thursday, dragged down by a se",https://finnhub.io/api/news?id=cc3b8fa922c262187f26ed3f8bdda9566c38a083b4de94098b46e12a0f37d763
company,1776977965,"US Equity Indexes Drop as Growth Sectors Dampen Sentiment, Hormuz Deadlock Continues",139869376,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,US equity indexes fell as technology and consumer discretionary stocks weighed on investor sentiment,https://finnhub.io/api/news?id=621758d7141514a266f0ae29bbf8c69223e1d304941e3b04eb2e66cda0b59995
company,1776977479,ServiceNow Stock Has Worst Day Ever on Disappointing Sales,139869487,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,"(Bloomberg) -- ServiceNow Inc. shares plunged the most ever after the provider of software for business tasks reported results that disappointed investors and said some sales deals have been delayed by the war in the Middle East.Most Read from BloombergAnthropic’s Mythos Model Is Being Accessed by Unauthorized UsersInside Alex Cooper’s Unwell: Tears, Screaming and Employees Looking for the ExitTrump Encourages Companies Not to Seek Tariff RefundsMicrosoft Offers Buyouts to About 7% of US Workers",https://finnhub.io/api/news?id=fd7da6ffbb0bdfe49018f0d5bfd9c7502bb58863878d12530d98ec11545d3ba0
company,1776977220,"4 Financial Pros Offer 5 Stocks, 3 ETFs to Play the Software Bust",139869436,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,Software stocks tumbled again after IBM and ServiceNow earnings. But cybersecurity and data stocks may be bargains.,https://finnhub.io/api/news?id=b7b29e9f253016153657f463e5b28db76c5028dc342bf615a450912ab245c967
company,1776976641,SEI Investments Q1 Earnings Call Highlights,139869489,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,"SEI Investments (NASDAQ:SEIC) reported what executives repeatedly described as a “defining” first quarter of 2026, highlighting sharp year-over-year earnings growth, record sales activity, and continued margin expansion tied to strategic initiatives across the company. Chief Executive Officer Ryan",https://finnhub.io/api/news?id=9902fc894cf765cf20fdc7ef28f56ae4c1d0353e0ca7382a7dd8b08e653ee5dc
company,1776975000,"Software stocks plunge as ServiceNow, IBM results renew AI concerns",139869490,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,Market Domination Host Josh Lipton is joined by Yahoo Finance Senior Reporters Brooke DiPalma and Ines Ferré to take a closer look at how shares of software companies IBM (IBM) and ServiceNow (NOW) sank following their respective earnings reports and forecasts around AI.,https://finnhub.io/api/news?id=e08fbc290d5e310aff596e6faede56c97670f02af8fe61fad586dbc1d579ba89
