category,datetime,headline,id,image,related,source,summary,url
company,1776981005,Intuit (INTU) Suffers a Larger Drop Than the General Market: Key Insights,139870614,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"Intuit (INTU) closed at $383.3 in the latest trading session, marking a -6.21% move from the prior day.",https://finnhub.io/api/news?id=aa06f4d63f6a08826f3235e853d474d3a5c4c5e247d09c4747c299805f597f3b
company,1776958078,ServiceNow Leads Software Stocks Lower After Warning The Iran War Is Holding Back Growth,139866354,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"Software stocks plunged Thursday, with ServiceNow shares leading the slump after the company said the Iran war is weighing on its business.",https://finnhub.io/api/news?id=7ab38f74f6b1327f71e5bd0946629a2486bfc2c9343821ff8665f935d4ff831e
company,1776956760,Cadence Expands TSMC Alliance to Boost Advanced AI Chip Design,139866404,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"CDNS expands TSMC tie-up to accelerate AI chip design with advanced nodes, silicon-proven IP and AI-driven tools boosting speed, efficiency and adoption.",https://finnhub.io/api/news?id=09f9b8322665210aa334c9ed0c0cafab29555400de0ee8e5c9125cce61b279ce
company,1776955569,Shares of companies in the broader software sector are trading lower amid a pullback in sentiment after Q1 financial results and outlook comments from industry peers IBM and ServiceNow.,139867196,,INTU,Benzinga,,https://finnhub.io/api/news?id=c4542b3d5884690099229440ed7b0e819d4422abf345683f638d655bdbea81cf
company,1776952049,Stock Market Today: Dow Falls After Jobless Claims Surprise; Tesla Drops On Musk Comments (Live Coverage),139862646,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,Stock Market Today: The Dow Jones index drops Thursday after an unexpected result in jobless claims. Tesla stock sells off on Elon Musk's comments.,https://finnhub.io/api/news?id=9cc12e9109636d1d071acaa8e26bafaba1bfee06ef024730e20d3eadf03f8820
company,1776949817,How do I choose scalable accounting software for growth?,139865786,https://image.cnbcfm.com/api/v1/image/108295356-1776866800561-gettyimages-1397511868-3b7a67444.jpeg?v=1776866813&w=1920&h=1080,INTU,CNBC,"A growing business needs scalable software with bookkeeping, compliance and analysis tools that work for today and tomorrow.",https://finnhub.io/api/news?id=285a81af8710ad257f4d2bb7f946340a13c5e25500a5443135adfeb461b99ed6
company,1776949464,"Software stocks plunge on ServiceNow, IBM results as AI fears escalate",139865411,https://image.cnbcfm.com/api/v1/image/108194579-1757019770569-gettyimages-2233043798-SERVICENOW_HQ.jpeg?v=1776887249&w=1920&h=1080,INTU,CNBC,"Shares of ServiceNow sank over 16%, dragging down other software names like Salesforce, Workday and Oracle with it.",https://finnhub.io/api/news?id=b0631d32add5a60967d7ca2bcb9312f8518e3bceabff86a1f9c7f095149bc4d3
company,1776949208,Intuit Inc. (INTU) is Attracting Investor Attention: Here is What You Should Know,139864378,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"Recently, Zacks.com users have been paying close attention to Intuit (INTU). This makes it worthwhile to examine what the stock has in store.",https://finnhub.io/api/news?id=2a24c3313ec5357ef2b3bbd8176bcd289af3b2b01bb7005acbae348948f19f7e
company,1776947460,Why IBM’s Earnings Beat Spurred a Selloff in Software Stocks,139862754,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,Investors appear to be treating any results that aren’t perfect as a confirmation of their worst fears about AI disruption.,https://finnhub.io/api/news?id=9ba84e8096d7072b0222a0a2fd60e6f07bd9d9e8d7928bb5dfe459fd696657e4
company,1776944927,"ServiceNow and IBM earnings reignite AI fears, sending software shares lower",139862708,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"Investing.com -- Concerns about ServiceNow and IBM’s quarterly results have triggered a broad selloff across enterprise software on Thursday, with shares in the sector falling sharply in premarket trading.",https://finnhub.io/api/news?id=e3199a5b64bcd402166535d34cf620e4d8d40ce785a3dea3e08e9c132ad9f107
