category,datetime,headline,id,image,related,source,summary,url
company,1776970689,Friday's big stock stories: What’s likely to move the market in the next trading session,139878683,https://image.cnbcfm.com/api/v1/image/108292564-1776352463079-Traders-Photo-20260416-KK-PRESS-006.jpg?v=1776352733&w=1920&h=1080,KKR,CNBC,"Both the S&P 500 and Nasdaq Composite scored all-time intraday highs on Thursday, but ultimately ended the session in the red, respectively losing 0.4% and 0.9%.",https://finnhub.io/api/news?id=b1d17b65062c62fadea52cc2327887a79b4731e1ae6cbc9f92a4347d81df7f22
company,1776958527,"Shares of companies in the broader financial sector are trading lower amid overall market weakness, as investors react to reports that air defenses were activated in Tehran and to President Trump's social media post.",139867610,,KKR,Benzinga,,https://finnhub.io/api/news?id=ef74d45fe02320fc07fcdacc8fd37eacff45e11cc64273fa092c99bab6e19258
company,1776954060,Thoma Bravo Faces $5 Billion Wipeout As Medallia Heads To Lenders,139868335,https://cdn.benzinga.com/files/images/story/2026/04/23/Software-As-A-Service-Saas--Software-Con_0.jpeg?width=2048&height=1536,KKR,Benzinga,"Thoma Bravo is inching closer to a deal that would transfer control of Medallia to its lenders, effectively erasing $5.1 billion.",https://finnhub.io/api/news?id=be7b37c6cd3e10ab52916eca86c7bbe820b4ec88669a1e5691ebe1df10dd08ff
company,1776953343,KKR (KKR) is Expected to Grow by More Than 20% P.A.,139864457,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KKR,Yahoo,"Montaka Global Investments, an investment management company, released its first-quarter 2026 investor letter. A copy of the letter is available to download here. The March quarter was dominated by Iran’s geopolitical conflict, which sharply revised stocks’ valuation multiples. In Q1, the portfolio holdings declined due to valuation changes, but the firm trusts in the stocks’ […]",https://finnhub.io/api/news?id=1364088779cf1b44eae605494dd05f1f77e3bace08a474c7953aaceaa71f5ca6
company,1776950745,Sector Update: Energy Stocks Edge Higher Premarket Thursday,139862891,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KKR,Yahoo,"Energy stocks were edging higher premarket Thursday, with the State Street Energy Select Sector SPDR",https://finnhub.io/api/news?id=8624b2a5d9d80809d618a61b054f2b01c9d3d99d4b838e93f3574c559fb4479c
company,1776947426,JPMorgan Readies Fresh Private Credit Push After Needling Market,139862665,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KKR,Yahoo,"(Bloomberg) -- After years weighing how to dive deeper into private credit, JPMorgan Chase & Co.’s $4.3 trillion asset manager is committing to a strategy that will plow tens of billions of dollars into loans sourced by the firm’s commercial bankers.Most Read from BloombergAnthropic’s Mythos Model Is Being Accessed by Unauthorized UsersInside Alex Cooper’s Unwell: Tears, Screaming and Employees Looking for the ExitTrump Encourages Companies Not to Seek Tariff RefundsAlex Cooper, Husband Skip Tea",https://finnhub.io/api/news?id=f6c04a8753460a1d8fc9bb6b9b079d2b7de2ed1cb48e87522cd1bee8095c2df7
company,1776940252,Blackstone Secured Lending: My Top Pick Among BDCs,139863371,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1162452867/image_1162452867.jpg?io=getty-c-w1536,KKR,SeekingAlpha,"Blackstone Secured Lending Fund (BXSL) analysis: low 0.6% non-accruals, first-lien focus, 10% NAV discountâsee if itâs a buy now or wait.",https://finnhub.io/api/news?id=2b0969a9d9ca4433bf5cd198b115669fa7e476d236edb813e5a467c562af460f
company,1776933901,Apollo Buys KKR's 40% Stake in Pembina Gas Infrastructure,139861922,,KKR,Finnhub,By Adriano Marchese Apollo Global Management said it would acquire a 40% stake in gas-processing company Pembina Gas Infrastructure from funds managed by investment firm KKR for an undisclosed...,https://finnhub.io/api/news?id=e1dc48c484d97b22a6506baf8676b18e7a9242db41c69b3c2c86c7255d1bf4bd
company,1776932827,"Apollo Acquires 40% Stake In Pembina Gas Infrastructure From KKR, Terms Not Disclosed",139863280,,KKR,Benzinga,"Apollo (NYSE:APO) today announced that Apollo-managed funds (&#34;Apollo Funds&#34;) have agreed to acquire a 40% stake in Pembina Gas Infrastructure Inc. (&#34;PGI&#34; or the &#34;Company&#34;), a premier gas processing entity in Western",https://finnhub.io/api/news?id=42f4f09e26caab5106a409a4c8a9319b342d8796339efe61742de55fde5a06e6
company,1776916125,KKR: A Compounding Machine Hidden Behind Private Markets Complexity,139859080,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2211586711/image_2211586711.jpg?io=getty-c-w1536,KKR,SeekingAlpha,KKR's strategic positioning in AI infrastructure and private wealth channels underpins sustainable earnings. Read why KKR stock is a Buy.,https://finnhub.io/api/news?id=4a9953dcef4c2fae8ff8fc375e7e0b662098ecccfe0b2d58385795cef5405036
