category,datetime,headline,id,image,related,source,summary,url
company,1776974695,These 5 Stocks Pay You Even When You’re Sleeping,139869409,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,"Market volatility in 2026 has reminded investors that earned income alone is fragile. When tariff fears rattle equities and economic uncertainty clouds the outlook, dividend investors sleep better. Passive income from dividend stocks requires only that you own the right companies. A well-constructed dividend portfolio generates cash flow every quarter, whether markets rise or fall. ... These 5 Stocks Pay You Even When You’re Sleeping",https://finnhub.io/api/news?id=0d51b5f40e898e361935ce3db15ff6815db6effcc01ad734e1d03993f01aab5f
company,1776967200,Groceries Cost $741 More Than 6 Year Ago — and You’re Getting Less,139867833,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,Shrinkflation is raising grocery bills as products get smaller and prices climb. Here’s how much more you’re paying — and which brands are affected.,https://finnhub.io/api/news?id=fa571a2128a98e3b5b0b62cd4988584bcefb397046de35814df6cde2160e816c
company,1776963696,Why Is The Coca-Cola Company (KO) Part Of Warren Buffett’s Portfolio Since 1988?,139866316,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,"The Coca-Cola Company (NYSE:KO) is among the best Warren Buffett stocks. The Coca-Cola Company (NYSE:KO) remains one of Warren Buffett’s longest-held positions, with the billionaire adding the stock to his portfolio back in 1988. Warren Buffett, a longtime advocate of Coca-Cola, once joked, “I’m one-quarter Coca-Cola,” reflecting his love for the brand. As of Q4 […]",https://finnhub.io/api/news?id=1637563456e3e225bba159bb44d1c0f2dbe0c4c77f8699b9d7a6d24607ee6590
company,1776960360,TAP's Q1 Earnings Coming Up: Will the Stock Extend Its Beat Streak?,139866317,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,"Molson Coors' Topo Chico pivot and Beyond Beer push drive share gains, backed by strong cash flow and cost savings to support growth.",https://finnhub.io/api/news?id=48433ae4c505363a71af60cd8e0f3afb374dbb9b03e83263be534b80e5205737
company,1776960100,"US EEOC Chair violated ethics rules halting LGBTQ cases, complaint alleges",139867947,,KO,Finnhub,U.S. Equal Employment OpportunityCommission Chair Andrea Lucas allegedly violated professionalconduct rules of the Virginia State Bar by refusing to enforcekey provisions of federal civil rights...,https://finnhub.io/api/news?id=9605f48875880a4e96cd879cbc72ef477b85602b5e7ceb15d47ff9161cf3e120
company,1776954643,"Got 5,000? Coca-Cola vs. PepsiCo – One Has Quietly Outperformed for a Decade",139864258,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,"Coca-Cola (NYSE:KO) closed full-year 2025 with steady organic growth and a Zero Sugar brand accelerating. PepsiCo (NASDAQ:PEP) followed with a Q1 2026 beat showing international momentum and North America foods stabilizing. Willing to invest $5,000? Let’s see which has built the stronger decade-long case for investors. Zero Sugar Carries Coke. International Rescues Pepsi. Coca-Cola’s growth ... Got 5,000? Coca-Cola vs. PepsiCo – One Has Quietly Outperformed for a Decade",https://finnhub.io/api/news?id=d192d78ba1684c4817baf6577002d83bb3f473fcba20674a664700859d75ad15
company,1776950884,Bottler Arca's stock jumps as volumes hold steady despite Mexican health tax,139865604,,KO,Finnhub,"Shares in Mexicanbottler Arca Continental jumped over 4% in early tradingon Thursday after its volumes surpassed expectations and keptcore profits steady, even after Mexico implemented a new...",https://finnhub.io/api/news?id=640f1d7cf86568ee2bdd92da5b1deef5b6dfd9e9658c60e3a465973808666c3a
company,1776950103,"Exploring Analyst Estimates for Coca-Cola (KO) Q1 Earnings, Beyond Revenue and EPS",139864259,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,"Evaluate the expected performance of Coca-Cola (KO) for the quarter ended March 2026, looking beyond the conventional Wall Street top-and-bottom-line estimates and examining some of its key metrics for better insight.",https://finnhub.io/api/news?id=92b420099541872d6ebd3992f2d98bad9ddfbaccb5021a212ff06b8595cf7490
company,1776946204,"Keurig Dr Pepper, Inc (KDP) Surpasses Q1 Earnings and Revenue Estimates",139862734,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,"Keurig Dr Pepper (KDP) delivered earnings and revenue surprises of +5.98% and +3.73%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=a2d422f3abb54e46347e47faf27fd79947aaf6ad5d5782c28fc6bc3809fed3ec
company,1776938571,Bottler Arca Continental's core earnings hold steady in Q1,139862956,,KO,Finnhub,"Mexican bottler Arca Continental on Thursday posted core earnings for the first quarter of 2026 at 10.63 billion pesos, nearly flat compared to the same period a year earlier.Arca, which sells soft...",https://finnhub.io/api/news?id=0df835111b0982d03004fa4c2e0d2299834046ae109288a12b1dcc535d94e76a
company,1776935301,"Coca Cola : Powerade® Unveils ""Power Your Fate"" campaign for FIFA World Cup 26™",139862182,,KO,Finnhub,"ATLANTA, GEORGIA - Powerade, a proud brand of The Coca-Cola Company, today announced the launch of its FIFA World Cup 26™ campaign, Power Your Fate™ A global movement, Power Your Fate inspires...",https://finnhub.io/api/news?id=9061c54d5d45636efb23def0ae591ca731f16904118e8d64a4e43061b15ba20e
company,1776925500,Now Even Volvo Is Putting Tesla in the Rearview Mirror?,139859041,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,"A number of competitors have passed Tesla in a number of its big ambitions. The question is what does success look like for Tesla's semi, and can it catch back up?",https://finnhub.io/api/news?id=a462a9d8c8ea864790b11f3068fab786d0f863bebb933efd6bb6398ceeb23954
company,1776918240,Coca-Cola India's First-Ever Activation at BLR Airport Blends Digital Convenience with Refreshment,139858187,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,"Coca-Cola India and Bangalore International Airport Ltd (BIAL) have come together for the first time to create an engaging, experiential activity for passenger experience at Kempegowda International Airport Bengaluru (BLR Airport). The collaboration brings together two category leaders, Coca-Cola, India's leading beverage company, and BLR Airport, one of the country's fastest-growing airports with a shared belief that travel should feel rewarding.",https://finnhub.io/api/news?id=0a0406e35fe3e0ffaddd26d9de02ff92cb1b5783bca9075bc408ecd3ba91fde6
