category,datetime,headline,id,image,related,source,summary,url
company,1776972342,Chip stocks just added $3 trillion in market value — but are the most overextended in decades: Chart of the Day,139867670,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"The PHLX Semiconductor Index is on track for a 17-day winning streak, but the group is now the most overextended since 2000.",https://finnhub.io/api/news?id=99301a8c9e34b0c7db014ce6c281e018f868af1c12551dceba75ffc5879c117d
company,1776971207,‘DRAM Will Double or Triple From Here’ as AI Demand Outpaces Supply Chain Capacity,139867771,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"Dylan Patel, founder and chief analyst at SemiAnalysis, laid out a blunt thesis on the Invest Like the Best podcast (EP.468): “People are like, oh, the memory story is overplayed. Everyone gets it. And it’s like, no, no, no, you don’t get it. DRAM will double or triple from here still, because that’s how much ... ‘DRAM Will Double or Triple From Here’ as AI Demand Outpaces Supply Chain Capacity",https://finnhub.io/api/news?id=648e73368337689d64b6ca6ca1a399256d2ad05bdda8b7fb9b50672e4e0157e2
company,1776969506,Lam Research Q3 Earnings Call Highlights,139867805,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"Lam Research (NASDAQ:LRCX) reported March 2026 quarter results that came in at the upper end of guidance ranges, with earnings per share exceeding the top end of the company’s outlook. President and CEO Timothy Archer said the company is “off to a solid start in calendar year 2026,” citing record re",https://finnhub.io/api/news?id=b4c0d0d378004bf08f4fb91f1dbe0893b208ff448b4fe960ebcd86b156648980
company,1776962048,JPMorgan Just Crowned Lam Research With a $315 Target. Is the Chip Equipment Supercycle Just Getting Started?,139866287,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"JPMorgan analyst Harlan Sur raised his price target on Lam Research (NASDAQ:LRCX) stock to $315 from $300 and reiterated an Overweight rating, arguing that the latest earnings report has reset both the near-term bar and the multi-year wafer fab equipment (WFE) framework. Lam Research now sits at the center of a widening analyst upgrade cycle tied ... JPMorgan Just Crowned Lam Research With a $315 Target. Is the Chip Equipment Supercycle Just Getting Started?",https://finnhub.io/api/news?id=8a39d95fd09e609e76aaef72bb5eca4ad31b22d51b2847b408f8370e0878fdb5
company,1776959107,Shares of companies in the broader tech sector are trading lower amid possible sympathy with ServiceNow and IBM.,139867620,,LRCX,Benzinga,,https://finnhub.io/api/news?id=07505da7f757ef9cdebcfe124aae296dc659a8a9b64b138d963c6b84396a86fb
company,1776953938,"JP Morgan Maintains Overweight on Lam Research, Raises Price Target to $315",139868398,,LRCX,Benzinga,JP Morgan  analyst Harlan Sur   maintains Lam Research (NASDAQ:LRCX) with a Overweight and raises the price target from $300 to $315.,https://finnhub.io/api/news?id=a69ede7eedad9a64a5fa03b3ff1ac4ec61ee8435085a9256df82c1b347fab056
company,1776952985,"Lam Research: The AI Upcycle Is Real, But The Price Is Too Expensive",139866753,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2175801658/image_2175801658.jpg?io=getty-c-w1536,LRCX,SeekingAlpha,"Lam Research Corporation's Q3 beats on AI and memory demand, but valuation looks stretched. Click to read this earnings update of LRCX stock.",https://finnhub.io/api/news?id=a02c23c46bdb84de199dc79ee475818b9c4cea9483bc7e2c6e6cbde451bf8f0a
company,1776951004,Here's What Key Metrics Tell Us About Lam Research (LRCX) Q3 Earnings,139864228,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"Although the revenue and EPS for Lam Research (LRCX) give a sense of how its business performed in the quarter ended March 2026, it might be worth considering how some key metrics compare with Wall Street estimates and the year-ago numbers.",https://finnhub.io/api/news?id=ecc787be4bde2f8778be8739c60043c80e9dc2af03881c2bca6b5ebccde8b554
company,1776950470,"RBC Capital Maintains Outperform on Lam Research, Raises Price Target to $310",139868399,,LRCX,Benzinga,RBC Capital  analyst Srini Pajjuri   maintains Lam Research (NASDAQ:LRCX) with a Outperform and raises the price target from $290 to $310.,https://finnhub.io/api/news?id=a501fb63cb721906c9d54db3fc33123e2021fc04fcfd2e2d62436144bd01bec1
company,1776949200,"Lam Research Q3 Earnings Surpass Expectations, Revenues Rise Y/Y",139864229,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"LRCX beats Q3 FY26 estimates as revenues rise 24%, fueled by AI chip demand and record support sales, while Q4 guidance topped expectations.",https://finnhub.io/api/news?id=c8d4814867e6d68264890afad4fd2a93d3e484658905501fbd3f8616119116d4
company,1776948767,"TD Cowen Maintains Buy on Lam Research, Raises Price Target to $340",139868400,,LRCX,Benzinga,TD Cowen  analyst Krish Sankar   maintains Lam Research (NASDAQ:LRCX) with a Buy and raises the price target from $290 to $340.,https://finnhub.io/api/news?id=ed2ea6084711f71319875c2f131ff93ac23b28ba1b41c40534ae094cd7515d06
company,1776946600,"Cantor Fitzgerald Reiterates Overweight on Lam Research, Maintains $320 Price Target",139868401,,LRCX,Benzinga,Cantor Fitzgerald  analyst C.J. Muse   reiterates Lam Research (NASDAQ:LRCX) with a Overweight and maintains $320 price target.,https://finnhub.io/api/news?id=58f20e7352ea7e4fc776e595beee0d59905e2a87350d1421fa736e4d1a6a55dd
company,1776946089,"Citigroup Maintains Buy on Lam Research, Raises Price Target to $315",139868402,,LRCX,Benzinga,Citigroup  analyst Atif Malik   maintains Lam Research (NASDAQ:LRCX) with a Buy and raises the price target from $300 to $315.,https://finnhub.io/api/news?id=29eeb8617d110ec3bb500a3c5aead0973c8ff81a08d4dad9fba5759c07cdd186
company,1776945255,"Jim Cramer on Applied Materials: “It’s Not a Good Buy, It’s a Great Buy”",139862709,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"Applied Materials, Inc. (NASDAQ:AMAT) was among Jim Cramer’s stock calls on Mad Money recently. A caller asked if the stock is a “good buy,” and here’s what Cramer had to say: No, it’s not a good buy, it’s a great buy. Applied Materials, Lam Research, KLA, of those, I’m going to order them, Lam, AMAT, […]",https://finnhub.io/api/news?id=17000aa26d35285a53193e627586e06c5890ddae8a74bf1cdf963fb53fe07181
company,1776944964,Dow Jones Futures Fall; Tesla Stock Sinks On Elon Musk Comments,139861103,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"The Nasdaq hit a new high as techs led Wednesday. Tesla fell late on Elon Musk comments. Lam Research, CSX, Texas Instruments and IBM were big earnings movers overnight.",https://finnhub.io/api/news?id=e36e69b86a33a9d45a16651616ec63dfce7dcd8ec8cf27877687856e2629abe9
company,1776944546,"Stifel Maintains Buy on Lam Research, Raises Price Target to $325",139868403,,LRCX,Benzinga,Stifel  analyst Brian Chin   maintains Lam Research (NASDAQ:LRCX) with a Buy and raises the price target from $300 to $325.,https://finnhub.io/api/news?id=b553d8002895f34be03c496ceba5b62cabe86a979ea04f76e8f1bf37e21831a8
company,1776943233,"Barclays Maintains Equal-Weight on Lam Research, Raises Price Target to $275",139868404,,LRCX,Benzinga,Barclays  analyst Tom O&#39;Malley   maintains Lam Research (NASDAQ:LRCX) with a Equal-Weight and raises the price target from $255 to $275.,https://finnhub.io/api/news?id=3eeac90dcde3cb55ffe59a5ff3954bd2da471bc2213fd852b32ca868fe538080
company,1776941214,"Wells Fargo Maintains Overweight on Lam Research, Raises Price Target to $320",139868405,,LRCX,Benzinga,Wells Fargo  analyst Joseph Quatrochi   maintains Lam Research (NASDAQ:LRCX) with a Overweight and raises the price target from $290 to $320.,https://finnhub.io/api/news?id=995bd58619976291e23bb3dd0816b373fc58da851e8473d9708f989275f9b323
company,1776941123,LRCX Q1 Deep Dive: AI Demand Fuels Revenue Growth and Margin Expansion,139861159,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"Semiconductor equipment maker Lam Research (NASDAQ:LRCX) reported Q1 CY2026 results exceeding the market’s revenue expectations, with sales up 23.8% year on year to $5.84 billion. On top of that, next quarter’s revenue guidance ($6.6 billion at the midpoint) was surprisingly good and 9.4% above what analysts were expecting. Its non-GAAP profit of $1.47 per share was 7.9% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=d0098ecb4db42b3b7071fde9da70bd93ca4044fe81ea91e8aa33cd8b29e33e24
company,1776940747,"Evercore ISI Group Maintains Outperform on Lam Research, Raises Price Target to $300",139868406,,LRCX,Benzinga,Evercore ISI Group  analyst Mark Lipacis   maintains Lam Research (NASDAQ:LRCX) with a Outperform and raises the price target from $275 to $300.,https://finnhub.io/api/news?id=3f5a3e68f98fcf92cc479499018e48708e143d38a904bc8cfe3e8bf5165cb7b2
company,1776937440,"These Stocks Are Today’s Movers: Tesla, ServiceNow, IBM, Lam Research, and More",139859914,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"Tesla shares fall after the EV maker raises its capital spending guidance, while ServiceNow plunges after so-so first-quarter earnings.",https://finnhub.io/api/news?id=5b30f57bc289b006bb476e2107f2ca68bc84e908a979366c537cad20658b86b5
company,1776935627,"B of A Securities Maintains Buy on Lam Research, Raises Price Target to $330",139868407,,LRCX,Benzinga,B of A Securities  analyst Vivek Arya   maintains Lam Research (NASDAQ:LRCX) with a Buy and raises the price target from $285 to $330.,https://finnhub.io/api/news?id=8a0125fe3f6fe4d1072c7a11a6b4da87541198382b2e55443e8e77952935412d
company,1776934011,Jim Cramer's top 10 things to watch in the stock market Thursday,139865510,https://image.cnbcfm.com/api/v1/image/108243236-1766004042541-gettyimages-2251789258-TI_WAFER_PLANT.jpeg?v=1766004250&w=1920&h=1080,LRCX,CNBC,Texas Instruments is the star of the earnings show.,https://finnhub.io/api/news?id=24d31d9d8596ac46e7dfb5f409912c41267708a9dc7875eed453eeeb95b3c3d8
company,1776928602,"Stocks making the biggest moves premarket: Honeywell, Nokia, Netflix, IBM, Tesla & more",139865556,https://image.cnbcfm.com/api/v1/image/108138700-1746025104905-gettyimages-2211630242-img_8122.jpeg?v=1776942886&w=1920&h=1080,LRCX,CNBC,These are the stocks posting the largest moves before the bell.,https://finnhub.io/api/news?id=916efbf8f7b0750d74ad97ab6bdbb9d7b6f82c6125c9423044ccadb7899f7547
company,1776928101,"We're very bullish on equities, says Clough Capital's Vince Lorusso",139865399,https://image.cnbcfm.com/api/v1/image/108296044-17769411861776941183-45455294492-1080pnbcnews.jpg?v=1776941185&w=1920&h=1080,LRCX,CNBC,"Vince Lorusso, Clough Capital president and CEO, joins 'Squawk Box' to discuss the latest market trends, state of the economy, impact of the Iran war, and more.",https://finnhub.io/api/news?id=2e2f4fe0edf883e0e8c5734f18aa4a74e8c1ee603b83f62b4d906c70fccdb7eb
company,1776928050,Lam Research Corp (LRCX) Q3 2026 Earnings Call Highlights: Record Revenue and Strategic Growth ...,139859058,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"Lam Research Corp (LRCX) surpasses earnings expectations with robust revenue growth and strategic positioning in the AI-driven market, despite facing future challenges.",https://finnhub.io/api/news?id=b50272e0a41b8c46d86c4f41159042a831b0fa3d7abdce6b915d5178dba2c89c
company,1776927302,"Needham Reiterates Buy on Lam Research, Maintains $300 Price Target",139868408,,LRCX,Benzinga,Needham  analyst Charles Shi   reiterates Lam Research (NASDAQ:LRCX) with a Buy and maintains $300 price target.,https://finnhub.io/api/news?id=f551566aaaf741410925d03e9400372b930d804350dc1bace3508f89dbbbbd3b
company,1776920795,Assessing Lam Research (LRCX) Valuation After Record AI Driven Earnings And Guidance,139858181,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"Record earnings put Lam Research (LRCX) under the spotlight Lam Research (LRCX) just reported record quarterly revenue and profitability at the upper end of guidance, with management tying the performance to strong AI driven demand for semiconductor manufacturing equipment. See our latest analysis for Lam Research. The record quarter has come alongside strong share price momentum, with a 30 day share price return of 13.82% and a year to date share price return of 43.49%. The 1 year total...",https://finnhub.io/api/news?id=ba63b2e70f17c0a06268e348ee85a2378ba29e6f2708e2f2ec686c9aee649d8a
