category,datetime,headline,id,image,related,source,summary,url
company,1776980704,Lululemon (LULU) Declines More Than Market: Some Information for Investors,139870687,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LULU,Yahoo,"Lululemon (LULU) closed at $141.66 in the latest trading session, marking a -13.33% move from the prior day.",https://finnhub.io/api/news?id=2aa6233a25910d880ca004f5e4ca3c4ecaabd805f9d93dd1dae109a0426dec63
company,1776979956,"Stock Market Today, April 23: Markets Dip As Strait of Hormuz Conflict Intensifies",139869371,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LULU,Yahoo,"Reports of new mines in the Strait of Hormuz have geopolitical risk rising and Wall Street on edge, today, April 23, 2026.",https://finnhub.io/api/news?id=eb773994d5e787cba61a4ff03d23d595ce36e30960972c5a4c250f2fe9e85dd8
company,1776979800,"Nike Cutting 1,400 More Jobs. The Stock Is Rising.",139869594,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LULU,Yahoo,"Nike  told its employees worldwide that it is cutting more jobs as part of the final stretch of its Win Now action plan.  The footwear and athletic apparel company has been taking “deliberate steps to strengthen our foundation, sharpen how we compete, and build a model designed to deliver long-term profitable growth,” including aligning its teams, capabilities, and footprint for its future needs.  Nike’s shares were up 0.7% at $45.08 in late Thursday trading, after closing down 2% in regular trading.",https://finnhub.io/api/news?id=dec8acbf4b22acaf712011ef10322cb2a6a9c83f8f6a4f40bd084424f4273625
company,1776976094,"Lululemon Is Sinking on New CEO Pick. Should You Buy, Sell, or Hold LULU Stock?",139872043,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LULU,Yahoo,Lululemon stock sinks as retailer names Heidi O’Neill its next CEO. Here’s why the market seems to dislike her appointment as top executive.,https://finnhub.io/api/news?id=9cc3449e180af87b4d7ef08f96332d7d96350eb79233aac9a82d53fd99390f2e
company,1776972912,Lululemon CEO Pick Heidi O’Neill Faces Skeptical Wall Street,139867969,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LULU,Yahoo,Shares of the company fell sharply as the market digested the Nike veteran’s planned ascent to the top spot.,https://finnhub.io/api/news?id=04306ab50184568d13ea11bd0883d4ce5d907b3ee24461b0933410405647a1f3
company,1776971104,These S&P500 stocks are moving in today's session,139867292,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,LULU,ChartMill,Stay informed about the performance of the S&P500 index one hour before the close of the markets on Thursday. Uncover the top gainers and losers in today's session for valuable insights.,https://finnhub.io/api/news?id=8eda1ce383590a051ac9038f0fb25bdebb55ec5285a404ddb0bc8d3c36092d4b
company,1776963902,Which S&P500 stocks have an unusual volume on Thursday?,139865363,https://www.chartmill.com/images/uploads/CM_Unusual_Volume_Small_free_b9d2e60841.webp,LULU,ChartMill,Let's have a look at the S&P500 stocks with an unusual volume in today's session.,https://finnhub.io/api/news?id=df73972f3fcf952d217d996f75895d88b595e94fa7135124974b296d6d163346
company,1776962220,Lululemon shares drop after CEO change amplifies ongoing brand reset efforts,139866505,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LULU,Yahoo,"Shares of Lululemon Athletica Inc (NASDAQ:LULU) fell nearly 12% on Thursday after the athletic apparel maker named former Nike executive Heidi O’Neill as its new CEO, as the company looks to revive its US business amid weakening sales and rising investor pressure. O’Neill previously served as...",https://finnhub.io/api/news?id=0a0e569c0d3492e958d1f3cfec24aa17de4fb9437518ae6297dd656d2b8bd2dd
company,1776962104,What's going on in today's session: S&P500 movers,139865123,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,LULU,ChartMill,Curious about the S&P500 stocks that are in motion on Thursday? Join us as we explore the top movers within the S&P500 index during today's session.,https://finnhub.io/api/news?id=045c7b48b65007e164a85ff803fd33eecc2fc353fcd25256a546df5c8edcf0d2
company,1776960780,lululemon Declines 15% in 3 Months: A Buy Opportunity or Value Trap?,139866603,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LULU,Yahoo,"LULU stock's dip reflects soft North America demand, heavier markdowns and tariff-driven margin pressure, even as brand strength and global growth remain intact.",https://finnhub.io/api/news?id=2960434afd0789cf96383cee3f3719d0af0acb41b7fa6a1d903016c8085d405c
