category,datetime,headline,id,image,related,source,summary,url
company,1776960375,"UBS Maintains Buy on Masco, Raises Price Target to $97",139877348,,MAS,Benzinga,UBS  analyst John Lovallo   maintains Masco (NYSE:MAS) with a Buy and raises the price target from $96 to $97.,https://finnhub.io/api/news?id=5d92108cacb89d2bed49485f628f769227c81975cb52b077f807c56d508dcff8
company,1776953040,United Rentals Q1 Earnings & Revenues Beat on Strong Rental Demand,139864512,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MAS,Yahoo,What helped URI deliver a strong Q1 beat as rental demand and higher fleet productivity drove growth?,https://finnhub.io/api/news?id=0554dfcb8f63cfd4bc5a3fc5f0e39335a3cf245c89745f9faabce7b7435e5d23
company,1776950569,"RBC Capital Maintains Sector Perform on Masco, Raises Price Target to $72",139877349,,MAS,Benzinga,RBC Capital  analyst Mike Dahl   maintains Masco (NYSE:MAS) with a Sector Perform and raises the price target from $67 to $72.,https://finnhub.io/api/news?id=b24fc1a6ccd600b956771784c48027271cdae4a0bf6e893612b9e9bc333e863e
company,1776948892,"Truist Securities Maintains Buy on Masco, Raises Price Target to $90",139877350,,MAS,Benzinga,Truist Securities  analyst Keith Hughes   maintains Masco (NYSE:MAS) with a Buy and raises the price target from $85 to $90.,https://finnhub.io/api/news?id=7c9948bab98eae8ac6f0f1d7bd9f9a4a6932262613d5579b01dea353543417dc
company,1776945853,"Citigroup Maintains Neutral on Masco, Lowers Price Target to $79",139877351,,MAS,Benzinga,Citigroup  analyst Anthony Pettinari   maintains Masco (NYSE:MAS) with a Neutral and lowers the price target from $84 to $79.,https://finnhub.io/api/news?id=115fdd2e869e11d78c4502b49406725ed211495d9df61a0597da1ec81ade67e8
company,1776944483,"MAS Q1 Deep Dive: Volume Gains, Cost Actions, and Product Expansion Drive Outperformance",139861454,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MAS,Yahoo,"Home-building design and manufacturing company Masco Corporation (NYSE:MAS) reported Q1 CY2026 results exceeding the market’s revenue expectations, with sales up 6.5% year on year to $1.92 billion. Its non-GAAP profit of $1.04 per share was 18.4% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=6ff3885fb8f4545acf6ae013242cbf6cbbe32726a8c64ee76d1bd27a8f70fe22
company,1776943538,"Barclays Maintains Equal-Weight on Masco, Raises Price Target to $78",139877352,,MAS,Benzinga,Barclays  analyst Matthew Bouley   maintains Masco (NYSE:MAS) with a Equal-Weight and raises the price target from $65 to $78.,https://finnhub.io/api/news?id=a0a5cd5ce06b428280fc24a0997d880213ab5ef4c8e6cf46a13bbea1a4e546d9
company,1776940901,"Evercore ISI Group Maintains Outperform on Masco, Raises Price Target to $86",139863774,,MAS,Benzinga,Evercore ISI Group  analyst Stephen Kim   maintains Masco (NYSE:MAS) with a Outperform and raises the price target from $78 to $86.,https://finnhub.io/api/news?id=014279df8dc26331494359854b2a831e1bcca192d27cb921d8ac522722ec4ce6
company,1776937447,"Wells Fargo Maintains Overweight on Masco, Raises Price Target to $82",139863775,,MAS,Benzinga,Wells Fargo  analyst Sam Reid   maintains Masco (NYSE:MAS) with a Overweight and raises the price target from $70 to $82.,https://finnhub.io/api/news?id=b92e023aee69d9b7f432cf71f371389f1c2674236c8f10339747861f085e86f7
company,1776936063,Masco Analysts Increase Their Forecasts Following Strong Q1 Results,139863776,https://cdn.benzinga.com/files/images/story/2026/04/23/Analysts-Compare-Overvaluation-To-Previo.jpeg?width=2048&height=1536,MAS,Benzinga,"Masco Corp (MAS) reported strong Q1 results, beating estimates for earnings and revenue. Share repurchases and dividends also returned $267M to shareholders.",https://finnhub.io/api/news?id=814910125a833e91e8352862c9f4894725d99293aebc8c1ff44b6716efd0fce4
company,1776934295,GE Vernova To Rally More Than 24%? Here Are 10 Top Analyst Forecasts For Thursday,139863218,https://cdn.benzinga.com/files/images/story/2026/04/23/GE-Vernova-Inc-.jpeg?width=2048&height=1536,MAS,Benzinga,"Top Wall Street analysts changed their outlook on top names. See analyst ratings page for all changes. H raised, SYF, PEGA, HSY lowered, NOW, WEX, MAS raised.",https://finnhub.io/api/news?id=71c591082660b88d2faf8899b4034dc61decd7f3833760ee8080f11a9560960e
