category,datetime,headline,id,image,related,source,summary,url
company,1776981306,MaxLinear (MXL) Beats Q1 Earnings and Revenue Estimates,139870661,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCHP,Yahoo,"MaxLinear (MXL) delivered earnings and revenue surprises of +22.22% and +1.59%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=ed47bfa22f3aa16ec56bdd537040649b88d1ff5e128d651cecf9d003d1f23a8c
company,1776971104,These S&P500 stocks are moving in today's session,139867292,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,MCHP,ChartMill,Stay informed about the performance of the S&P500 index one hour before the close of the markets on Thursday. Uncover the top gainers and losers in today's session for valuable insights.,https://finnhub.io/api/news?id=8eda1ce383590a051ac9038f0fb25bdebb55ec5285a404ddb0bc8d3c36092d4b
company,1776965040,On Semi and Analog Devices Stocks Head for Record Highs. Thank Texas Instruments.,139867853,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCHP,Yahoo,An upbeat outlook from Texas Instruments boosts investors’ confidence in a handful of semiconductor stocks.,https://finnhub.io/api/news?id=dece95795879af0d36b9d6d80661a67b25acb5a76e7c42a431d106bddcc23dd7
company,1776962104,What's going on in today's session: S&P500 movers,139865123,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,MCHP,ChartMill,Curious about the S&P500 stocks that are in motion on Thursday? Join us as we explore the top movers within the S&P500 index during today's session.,https://finnhub.io/api/news?id=045c7b48b65007e164a85ff803fd33eecc2fc353fcd25256a546df5c8edcf0d2
company,1776954905,Thursday's session: gap up and gap down stock in the S&P500 index,139863460,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,MCHP,ChartMill,Let's have a look at what is happening on the US markets on Thursday. Below you can find the S&P500 gap up and gap down stocks in today's session.,https://finnhub.io/api/news?id=3e77378a8303755471e1b6024163e0b35e5a58eb2c00b94f05f77d23bb01eea5
company,1776951443,What to watch for in Intel's Q1 earnings,139866057,https://image.cnbcfm.com/api/v1/image/108296378-1776965719417-1776965622-45461700562-hd.jpg?v=1776965720&w=1920&h=1080,MCHP,CNBC,CNBC's Kristina Partsinevelos reports the latest news surrounding Intel.,https://finnhub.io/api/news?id=dd9fa9e10883756eefdff46c79ac802aa472759338ae00f09152d0d1d14140ca
company,1776947705,Get insights into the top movers in the S&P500 index of Thursday's pre-market session.,139861934,https://www.chartmill.com/images/uploads/CM_Premarket_Movers_Small_free_90289f6b81.webp,MCHP,ChartMill,Curious about the S&P500 stocks that are showing activity before the opening bell on Thursday?,https://finnhub.io/api/news?id=797a75e76745e6c7b6ed23429da6b87bee212e8314f482a865435ce2d7a5a25e
company,1776947460,Sidus Space Advances its Fortis Next-Generation Command and Data Handling (C&DH) System,139862950,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCHP,Yahoo,"Sidus Space, Inc. (NASDAQ: SIDU) (""Sidus"" or the ""Company""), an innovative space and defense technology company, today announced continued advancements to its Fortis Command and Data Handling (C&DH) platform, a modular 3U OpenVPX system designed to support rapid development, configuration flexibility, and long-term scalability across next-generation space and defense missions.",https://finnhub.io/api/news?id=fd2755e7ef2b9565c256d9e4ada7f311974bb328551f6356671b34ab2eea0a2d
company,1776946628,What to Expect From Microchip Technology's Q4 2026 Earnings Report,139867979,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCHP,Yahoo,"Microchip Technology is scheduled to post its fourth-quarter results soon, and analysts predict a triple-digit surge in the company’s bottom-line figure.",https://finnhub.io/api/news?id=c0b0c21e3ca3d902e080f6e9bdb9803e51f46de44d59c99f7b828796eea056c5
company,1776945600,"New Plug-In Timing Module Delivers Precise, Reliable Synchronization for Data Centers and 5G Networks to Meet the Demands of AI and Next-Generation Connectivity",139862725,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCHP,Yahoo,"Microchip’s MD-990-0011-B timing module redefines the role of timing in transformative markets, making it possible for customers to seamlessly integrate advanced synchronization at any stage of developmentCHANDLER, Ariz., April 23, 2026 (GLOBE NEWSWIRE) -- As data centers and 5G networks become the backbone of AI-driven innovation and digital transformation, the need for precise, resilient timing solutions has never been more critical. Timing is not just a technical requirement, but rather a str",https://finnhub.io/api/news?id=f33463d24e88b9a1cc9eff1427d157268df6656fdf0b1810003d2ecacac49072
company,1776943699,"Intel earnings on deck as ServiceNow, IBM tumble: What you need to know",139865393,https://image.cnbcfm.com/api/v1/image/108296263-1776957170320-1776957039-45459456029-hd.jpg?v=1776957171&w=1920&h=1080,MCHP,CNBC,CNBC's Seema Mody and Kristina Partsinevelos break down the latest news surrounding tech earnings.,https://finnhub.io/api/news?id=418d1cb498e7b0bcaa629ab3d4ba7d5fc6e93bb6876218d70f5c48b08c1f8efe
