category,datetime,headline,id,image,related,source,summary,url
company,1776988500,Review & Preview: Earnings Storm,139871280,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,"Disappointing results from IBM and ServiceNow weighed on tech stocks. Chip stocks managed to still thrive, though.",https://finnhub.io/api/news?id=1118fa60c939a763e7773c24004bb4d380a8bd920176722f175e88c1516b6d10
company,1776988163,2 of Wall Street’s Favorite Stocks to Target This Week and 1 We Brush Off,139870501,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,"Wall Street has set ambitious price targets for the stocks in this article. While this suggests attractive upside potential, it’s important to remain skeptical because analysts face institutional pressures that can sometimes lead to overly optimistic forecasts.",https://finnhub.io/api/news?id=6c2df2f83fb04d16ba872b313a68517c867ed96ef66bce0c7f6616c25b330c2c
company,1776984291,"Meta informs staff of layoffs affecting 8,000 employees amid AI push",139871287,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,"As AI spending booms, Meta announces 8,000 layoffs while Microsoft offers voluntary retirement to thousands of employees amid tech reductions.",https://finnhub.io/api/news?id=ddbbd98c95aa10d3bcd9d2689ff1169496f738e23dce0aba0609391e4f9b801a
company,1776981730,Meta to lay off 10% of employees just days after announcing workplace tracking decision,139870502,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,"Earlier this week, social giant Meta Platforms made headlines after a memo to its employees said it would install software on employees' computers to train AI tools. Internally, it was understandably controversial, as there's no way to ""opt out"" of task tracking. Externally, it's likely to become a ...",https://finnhub.io/api/news?id=d5b5f1ea05cec4b539c6fbbf66e57427f2b07d515a90b4608b9a8e812bac11e6
company,1776980704,Here's Why Meta Platforms (META) Fell More Than Broader Market,139870503,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,"In the most recent trading session, Meta Platforms (META) closed at $659.15, indicating a -2.31% shift from the previous trading day.",https://finnhub.io/api/news?id=faa2eb445e499c4a9d0e51609c82f93cb84e79a3bc4ac0137c26e87922d84154
company,1776979418,Microsoft and Meta announce sweeping layoffs as they spend big on AI,139869324,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,Meta said it would cut 10% of it employees while Microsoft will offer voluntary retirement to about 7% of workers,https://finnhub.io/api/news?id=d1e9ea9a87e6cb431197a31990636bef2eaf4969eb34309f80d045d9e1592976
company,1776977760,Meta Stock Slides After Announcing 10% Job Cuts,139869359,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,"“We’re doing this as part of our continued effort to run the company more efficiently and to allow us to offset the other investments we’re making,”  Meta’s  chief people officer, Janelle Gale, wrote in a memo announcing the news to staff.  Much of those “other investments” involve building out Meta’s artificial-intelligence infrastructure, including its data centers.",https://finnhub.io/api/news?id=245b763676d133c73787f952b4753e73a37c973a9c909142e74a2cd14be516fe
company,1776977505,Zuckerberg cuts thousands of jobs to ‘offset’ AI spending spree,139869340,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,Mark Zuckerberg’s Meta is cutting thousands of jobs to “offset” the cost of its multibillion-dollar spending spree on artificial intelligence (AI).,https://finnhub.io/api/news?id=781ad65d24666cb1c9715c97f842ad2cdbc5f66f551d02e9d9d372e0ad266bfd
company,1776976226,Singapore emerging as neutral ground as AI firms navigate Sino-US rivalry,139870863,,META,Finnhub,"Singapore istransforming from East-West gateway to neutral ground for the AIsector, with Chinese startups hoping to operate beyondgovernment reach while U.S. firms seek foreign talent withoutthe...",https://finnhub.io/api/news?id=ff2f7605c31e81ffa83795b668f7a20c1dec7230656888906650df0611cdd441
company,1776976200,Meta AI introduces parental supervision feature for teen accounts,139869361,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,Market Domination Host Josh Lipton is joined by Yahoo Finance Senior Reporters Brooke DiPalma and Ines Ferré to take a closer look at Meta Platforms' (META) new supervision settings that will allow parents to see the topics that their children are asking Meta AI about.,https://finnhub.io/api/news?id=897c039350292aa9e9e4a55bd2d89b28e0140dd22a1edfe368239cfba0d55b3c
company,1776976184,"Meta Will Lay Off 8,000 Employees as AI Focus Intensifies",139869362,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,Social media giant Meta is redirecting resources toward AI as CEO Mark Zuckerberg predicts the tech will continue to revolutionize work.,https://finnhub.io/api/news?id=b53ad95ef7821777659d9d57ad76cdd46a05188ef9fda7b283665c29815fcdcf
company,1776976080,"Why Meta's Layoffs, as Unfortunate as They Are, May Be a Buy Signal for the Stock",139869363,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,The social media giant plans to cut its workforce. But this difficult move could be exactly what the market needs to see to buy into the company's heavy spending plans.,https://finnhub.io/api/news?id=38baaf180acb61a92018ef58f9e9be5e33e751b99968227403c115d3042d05d6
company,1776976008,Meta set to layoff 10% of its staff as it pushes for AI,139869332,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,"This is expected to be the first round of sweeping layoffs, set for May 20, with a second round scheduled for the second half of the year.",https://finnhub.io/api/news?id=bba54d6992ecb633351823a77f22d1bfa3771079c4f2717ec08a1ec1999048ce
company,1776974700,Lumen Technologies to Participate in Upcoming Investor Conferences,139869365,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,"DENVER, April 23, 2026--Lumen Technologies (NYSE: LUMN), the trusted network for AI, will attend the following investor conferences during the second quarter of 2026:",https://finnhub.io/api/news?id=d3cefa4f64907cbf3d588296b7fb1f18ed612e64221b50055c22d5646b65cd64
company,1776974503,Nasdaq Slides. Earnings Fail to Save the Day.,139869320,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,"The Nasdaq slipped from record highs on Thursday after the first big wave of tech earnings failed to save the day.  The Dow dropped 180 points, or 0.4%.  The S&P and Nasdaq finished Wednesday at closing highs.",https://finnhub.io/api/news?id=465a553370f8ebdd4a76a711768d167d918fb6116c9011c80734f53f476e46e2
company,1776974301,Meta to cut 10% of staff as it pours billions into AI,139869367,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,"Meta said on Thursday it plans to lay off roughly 10% of its workforce, or about 8,000 people, the latest in a string of tech industry layoffs fueled in part by artificial intelligence.",https://finnhub.io/api/news?id=d69929e32ab6e8bb54d3b2e4791732fd0a67f2e46f9b53e25c888b2a8053e47a
company,1776973770,Meta plans to cut about 8K jobs amid ramped-up AI spending,139867665,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,"Meta (META) confirmed it will be cutting 10% of its workforce — about 8,000 employees. Yahoo Finance Tech Editor Dan Howley explains what we know so far.",https://finnhub.io/api/news?id=4fe14748d890a6a0f088ae44fa493700986acf598959bfafe84c72d722951fe2
company,1776973762,"Meta to cut 8,000 jobs as it charges into AI",139867727,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,Meta plans to lay off roughly 10% of its workforce as the technology giant steps up its spending on artificial intelligence.,https://finnhub.io/api/news?id=682ff27a3380633b861c022b373376ae56ff0acefcdf91f458873cbcb7a9025b
company,1776973544,Sector Update: Tech Stocks Mixed Late Afternoon,139867728,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,"Tech stocks were mixed late Thursday afternoon, with the State Street Technology Select Sector SPDR",https://finnhub.io/api/news?id=e1527f3649a0089d6c5d38a03cf18b4b167b943d54777dd688679427df6f1931
company,1776973059,Jim Cramer Shares Why He’s a Fan of Meta (META) CEO Mark Zuckerberg,139867729,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,"We recently shared Jim Cramer Rubbished Circular AI Deals & Commented On These 18 Stocks. Meta Platforms, Inc. (NASDAQ:META) is one of the stocks discussed by Jim Cramer. Social media giant Meta Platforms, Inc. (NASDAQ:META) is one of Cramer’s top stocks when it comes to going against the narrative. While the firm has come under […]",https://finnhub.io/api/news?id=f6c504fd532b70a70b04c3cfb58baa883badf01398a0f919857d51dfdc8943e0
company,1776972993,Meta plans 10% layoffs as AI spending soars: source,139867691,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,"Meta plans to cut a tenth of its workforce, looking for productivity gains from its remaining workers as it invests heavily in artificial intelligence.Meta is locked in a bitter rivalry with other tech behemoths racing to invest heavily in AI, aiming to ensure the technology generates profits in the not-so-distant future.",https://finnhub.io/api/news?id=7364ebb2d69d3880f5003c1ddada27443c4b379b07ba0d36fadea3fddc18e413
company,1776972955,Jim Cramer Spills The Beans on CoreWeave (CRWV) and Short Sellers,139867668,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,"We recently shared Jim Cramer Rubbished Circular AI Deals & Commented On These 18 Stocks. CoreWeaveInc. (NASDAQ:CRWV) is one of the stocks discussed by Jim Cramer. AI infrastructure firm CoreWeaveInc. (NASDAQ:CRWV)’s shares are up by a strong 199% over the past year and by 45% year-to-date. Since April 9th, the stock is up by 25%. […]",https://finnhub.io/api/news?id=b31e15addd60684f7f5ccc6f56d934e69b3d9f68375985f11e19ff46fe8aaa3a
company,1776972942,"Meta slashes 8,000 jobs, or 10% of its workforce, as Microsoft offers buyouts",139867692,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,"Meta is laying off about 8,000 workers, or about 10% of its workforce, the company said Thursday as it continues to ramp up spending on artificial intelligence infrastructure and highly paid AI-expert hires.  Also Thursday, Microsoft said it was offering voluntary buyouts to thousands of its U.S. employees.  While an alternative to the sudden layoffs removing tech workers from peers like Meta and Oracle, the savings are likely tied to a similar industry upheaval that is requiring huge spending on the costs of artificial intelligence.",https://finnhub.io/api/news?id=3d6da973d54e841b9a09575db91287a191c79b98f82f3b5547817dc291958eb0
company,1776972042,Why Meta is laying off 10% of its workforce,139867705,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,The social media giant is planning to slash about 10% of its workforce even as its digital ad revenue continues to climb.,https://finnhub.io/api/news?id=09fec9540254a815b3c4358bbf3c915d2e9032a01c36acd4c17423997349dfec
company,1776952049,Stock Market Today: Dow Falls After Jobless Claims Surprise; Tesla Drops On Musk Comments (Live Coverage),139862646,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,Stock Market Today: The Dow Jones index drops Thursday after an unexpected result in jobless claims. Tesla stock sells off on Elon Musk's comments.,https://finnhub.io/api/news?id=9cc12e9109636d1d071acaa8e26bafaba1bfee06ef024730e20d3eadf03f8820
company,1776970937,Meta To Cut 10% Of Its Workforce To Offset AI Spending. Stock Falls.,139867735,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,Meta stock was lower as the Facebook parent told employees it will cut 10% of jobs to focus its investments on AI.,https://finnhub.io/api/news?id=b8c15aca21cca5d71bc0161e4929c597dbfe1cb7cfccfccc6def0297a2d6355f
company,1776968201,"Meta to cut 8,000 jobs in efficiency push amid AI spending surge",139867736,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,"Investing.com -- Meta Platforms Inc. plans to cut 10% of its workforce, or roughly 8,000 employees, in an effort to boost efficiency and offset heavy spending on artificial intelligence, according to a Bloomberg report on Thursday.",https://finnhub.io/api/news?id=1850da79b5bd9d8ff908347d239b224fe2c0a315f86f1bac474af096755446c5
company,1776967860,Meta Stock Slides on Report of Memo Announcing 10% Job Cuts,139867737,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,"Shares of tech giant  Meta  fell 3% Thursday after Bloomberg released what it said was a memo from the company’s chief people office, Janelle Gale, announcing cuts of thousands of workers.  The company is eliminating 10% of workers, which works out to about 8,000 people based on the company’s latest headcount of 78,865 as of December 31.",https://finnhub.io/api/news?id=30eef55771ae1fea8b4a3e964867ae181b23fb147f2e2072169f266fdb8f0526
company,1776967196,Meta layoffs will hit 10% of workforce in big AI push,139867738,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,META,Yahoo,"Meta CEO Mark Zuckerberg has poured resources into building out AI capabilities, directing spending toward model development, chatbot products, and engineering",https://finnhub.io/api/news?id=9df611f05de32575c9217e5e7056196a2dc431d23b1ef28fc7e55c0ddde6a03e
