category,datetime,headline,id,image,related,source,summary,url
company,1776973774,SanDisk Climbs 295% YTD as AI Fuels Memory Mania: Can Q1 Results Justify the Run?,139869410,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,"Shares of SanDisk (NASDAQ:SNDK) are trading near $930 in Thursday’s session, down roughly 5% on the day. The pullback cools an extraordinary 295% year-to-date (YTD) rally that has made SNDK one of the hottest AI-exposed names in the technology sector. The current SNDK share price sits almost directly on top of the $928 analyst consensus ... SanDisk Climbs 295% YTD as AI Fuels Memory Mania: Can Q1 Results Justify the Run?",https://finnhub.io/api/news?id=dc1d5b6894b7983e0802dd79459a75275f69a82bfd92e2c8f111e81d22e6efd8
company,1776972342,Chip stocks just added $3 trillion in market value — but are the most overextended in decades: Chart of the Day,139867670,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,"The PHLX Semiconductor Index is on track for a 17-day winning streak, but the group is now the most overextended since 2000.",https://finnhub.io/api/news?id=99301a8c9e34b0c7db014ce6c281e018f868af1c12551dceba75ffc5879c117d
company,1776971207,‘DRAM Will Double or Triple From Here’ as AI Demand Outpaces Supply Chain Capacity,139867771,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,"Dylan Patel, founder and chief analyst at SemiAnalysis, laid out a blunt thesis on the Invest Like the Best podcast (EP.468): “People are like, oh, the memory story is overplayed. Everyone gets it. And it’s like, no, no, no, you don’t get it. DRAM will double or triple from here still, because that’s how much ... ‘DRAM Will Double or Triple From Here’ as AI Demand Outpaces Supply Chain Capacity",https://finnhub.io/api/news?id=648e73368337689d64b6ca6ca1a399256d2ad05bdda8b7fb9b50672e4e0157e2
company,1776970436,Micron Is Up 68% YTD as HBM Demand Explodes. Is the Memory Rally Sustainable?,139867675,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,"Shares of Micron Technology (NASDAQ:MU) are changing hands around $480 midday Thursday, off 2% on the session but still sitting near record territory. MU stock is up 68% year-to-date, making Micron one of the standout names in the AI infrastructure rally. The catalyst is structural. Every AI GPU from NVIDIA (NASDAQ:NVDA) and Advanced Micro Devices ... Micron Is Up 68% YTD as HBM Demand Explodes. Is the Memory Rally Sustainable?",https://finnhub.io/api/news?id=f3362d96a4e4d90bc0b655daefaefec7963736c3b33fa683b1219c6406044eae
company,1776967503,What's going on in today's session: S&P500 most active stocks,139866867,https://www.chartmill.com/images/uploads/CM_Most_Active_Stocks_Small_free_fec0650b7f.webp,MU,ChartMill,Looking for the most active S&P500 stocks in today's session? Join us as we dive into the US markets on Thursday and discover the stocks that are dominating the trading activity and setting the pace for the market.,https://finnhub.io/api/news?id=30e9cff0551a57c44735b990b40d5f194b02f8522aeb9f9c65e6d6beaaa71fe5
company,1776962168,Questions arising around how long narrowing market upswing can last: NewEdge Wealth's Cameron Dawson,139878635,https://image.cnbcfm.com/api/v1/image/108296512-17769758781776975873-45464392566-1080pnbcnews.jpg?v=1776975877&w=1920&h=1080,MU,CNBC,"Cameron Dawson, NewEdge Wealth CIO, and Steve Sosnick, Interactive Brokers, joins 'Closing Bell Overtime' to talk the day's market action.",https://finnhub.io/api/news?id=fa74247112f15fec1da8e5c424b3ce4fb715b4ec3456de080cc5cc095921cf0e
company,1776961807,D.A. Davidson's Gil Luria: Intel's CPU chips a 'bottleneck' for AI,139878573,https://image.cnbcfm.com/api/v1/image/108296507-17769755461776975543-45464304063-1080pnbcnews.jpg?v=1776975546&w=1920&h=1080,MU,CNBC,D.A. Davidson's Gil Luria joins 'Closing Bell Overtime' to talk Intel Q1 results and what is driving the big move up in the stock.,https://finnhub.io/api/news?id=d10e65606f41af95a1d0305f942c07e25a66bedf3c130cc75e0c88babcff94d0
company,1776960300,Will Micron Technology Stock Split in 2026?,139866260,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,"Micron's stock has risen sharply recently, which may encourage management to undertake a stock split.",https://finnhub.io/api/news?id=bcf67e3f186be8fec5a19eaaa897b0014d20623f7eaf06bd9a04a6ec47b85d86
company,1776960248,Micron: The AI-Driven Structural Revaluation Unlocks Further Upside,139868100,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2260318012/image_2260318012.jpg?io=getty-c-w1536,MU,SeekingAlpha,"Micron Technology, Inc. stock: AI-driven memory demand may shift valuation, with tight DRAM/NAND supply beyond 2026. Click for more on MU stock prospects.",https://finnhub.io/api/news?id=89eb25d8485867bcdc5315fcd90790c56ff91c73870198fc0527e90a3ee8ec2c
company,1776959966,Micron Stock Just Set New All-Time Highs. Again. Should You Chase MU Here?,139870512,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,Micron is maintaining a strong rally driven by a demand-supply imbalance. Should investors consider entering the stock at current levels?,https://finnhub.io/api/news?id=ed2c4176c5b05647b3fd08db6f455feb35646888394c53480e92041d561320d8
company,1776959681,Micron Technology Shares Climb Over 3% After Key Trading Signal,139882499,https://cdn.benzinga.com/files/images/story/2026/04/23/image.png?width=2048&height=1536,MU,Benzinga,"A key trading signal flashed for Micron Technology shares at a price of $477.59, after which MU rose over 3%",https://finnhub.io/api/news?id=5ba1d3f212e8e71fe95af25477953a51bf05f25be5dcba4c60abf7c1ddc342d5
company,1776956907,Semiconductor stocks like Nvidia and Micron are on a remarkable streak,139864090,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,It's a wow moment for semiconductor stocks.,https://finnhub.io/api/news?id=7a961d7127142e2eec2a75e0e6f48660148e29a5bd0bd662a6f1381af810dc36
company,1776956386,Cramer Names 'The Stocks That Got Away' — SanDisk Is Number 1,139867581,https://cdn.benzinga.com/files/images/story/2026/04/23/Jim-Cramer--AI-Is-Bigger-Than-Rate-Cuts.jpeg?width=2048&height=1536,MU,Benzinga,"Jim Cramer names stocks that he regrets not buying, with SanDisk at the top of the list.",https://finnhub.io/api/news?id=804fe64420346f65b13912530a93e03141c24f37bda0212b3591410c2bd164e6
company,1776951730,"Samsung Faces 30,000 Protesters As Union Demands 15% Profit Share",139862676,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,"Workers rally near key chip hub, pushing for payouts that could exceed 40 trillion won amid rising AI-driven semiconductor profits",https://finnhub.io/api/news?id=cf4740ddc6df7f37c8b7bd95a49e51aab22976a2586694b6fc8679521045d212
company,1776950751,AI Memory Shortage Sparking 'Red-Hot' Rally: Why Jim Cramer Says Micron is Just Getting Started,139867627,https://cdn.benzinga.com/files/images/story/2026/04/23/Micron-Technology-Logo-Displayed-On-A-Mo.jpeg?width=2048&height=1536,MU,Benzinga,Micron shares hover near 52-week highs as a global AI memory shortage sends the stock up over 574% in a year.,https://finnhub.io/api/news?id=00d340bbb37a74051258b17aff357bcc73805fb3e80183cce93ea0e739facdcd
company,1776950363,Trade Tracker: Malcolm Ethridge and Bill Baruch share their latest portfolio moves,139865538,https://image.cnbcfm.com/api/v1/image/108296327-17769611611776961156-45460528667-1080pnbcnews.jpg?v=1776961160&w=1920&h=1080,MU,CNBC,"Malcolm Ethridge, managing partner at Capital Area Planning Group, and Bill Baruch, founder & president of Blue Line Capital, join CNBC’s 'Halftime Report' to detail their latest portfolio moves in Nvidia, Arm Holdings, ASML and Entegris. The Committee debate their moves.",https://finnhub.io/api/news?id=0cb10e6dff03711e2ac6b6815bb3f0a6d543710b7d0cca326abcd50bdf662ad8
company,1776950280,Zacks.com featured highlights include Micron and Vicor,139864196,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,Micron and Vicor have been highlighted in this Screen of The Week article.,https://finnhub.io/api/news?id=86387a2c69e7dd18ad0e417970b821f0e25949bfe9b0cc189297f390212c7d7a
company,1776950102,"Micron Technology, Inc. (MU) Hits Fresh High: Is There Still Room to Run?",139864197,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,"Micron (MU) is at a 52-week high, but can investors hope for more gains in the future? We take a look at the company's fundamentals for clues.",https://finnhub.io/api/news?id=8f471fd8aea8c393f83221f02797977af09a1e9973cf87cb463e396350ad1919
company,1776950100,Invesco Large Cap ETF (PWB) Touches Fresh 52-Week High,139864136,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,"Invesco Large Cap Growth ETF hits a 52-week high, surging 53% from lows as tech-driven momentum.",https://finnhub.io/api/news?id=b0be7559dd2c6c451feaded5079d5ec44e6a82196e60909dde50eb9ea6153347
company,1776949602,Micron's Rally Is Missing The Bigger Shift,139865225,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1689227296/image_1689227296.jpg?io=getty-c-w1536,MU,SeekingAlpha,"Micron Technology stock is a Buy as HBM/DRAM scarcity boosts pricing, margins, and multi-year deals. Click here to read my latest analysis of MU stock.",https://finnhub.io/api/news?id=30114d1643d2615320af80d08bca83e9a1e11b6e06582a1e21a5a68a67363f65
company,1776947385,5 Downsides To The AI Revolution,139864987,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2249144801/image_2249144801.jpg?io=getty-c-w1536,MU,SeekingAlpha,"The AI revolution, led by companies like NVIDIA (NVDA), is driving equity gains but poses significant economic and societal risks. Read the full analysis here.",https://finnhub.io/api/news?id=d1c770a665ea4745b99bc190149fe6cea7ae638d07c675693742f631e9a3b934
company,1776945651,Investors Plow $1 Billion Into This ETF In Just 10 Days,139862677,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,Roundhill Memory ETF did something few ETFs can pull off. It hauled in $1 billion in investors' cash in just 10 days.,https://finnhub.io/api/news?id=b85689d0a8a6bf761723b7ea7ee4e6c96d732212968868bb897feef922f17981
company,1776945246,Jim Cramer on Micron: “The Demand Is the Strongest I’ve Ever Seen”,139862678,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,"Micron Technology, Inc. (NASDAQ:MU) was among Jim Cramer’s stock calls on Mad Money recently. Cramer highlighted the company’s stock price action during the year, as he stated: What we’re measuring is what was up the most since the close on March 30th. That was the day that the broader market bottomed until the close last […]",https://finnhub.io/api/news?id=7f758bbd6c96343a4300457bf98ccf1db1bb69790f0ffdfab4188cd71de1f061
company,1776944964,Dow Jones Futures Fall; Tesla Stock Sinks On Elon Musk Comments,139861103,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,"The Nasdaq hit a new high as techs led Wednesday. Tesla fell late on Elon Musk comments. Lam Research, CSX, Texas Instruments and IBM were big earnings movers overnight.",https://finnhub.io/api/news?id=e36e69b86a33a9d45a16651616ec63dfce7dcd8ec8cf27877687856e2629abe9
