category,datetime,headline,id,image,related,source,summary,url
company,1776973774,Nasdaq Q1 Earnings Call Highlights,139867983,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NDAQ,Yahoo,"Nasdaq (NASDAQ:NDAQ) reported first-quarter 2026 results that Chair and CEO Adena Friedman described as “one of the strongest starts to a year in our company's history,” pointing to broad-based client engagement across the company’s market services and solutions platform. First-quarter financial pe",https://finnhub.io/api/news?id=83dbaf8be986f15166c87874617067be6f3083a7c035c96969b160cc7512f998
company,1776965700,"Nasdaq Q1 Earnings & Revenues Beat Estimates, Dividend Raised",139867922,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NDAQ,Yahoo,Nasdaq beats Q1 estimates as Solutions and FinTech lift revenues by 13.7%. Its board raises quarterly dividend by 14.8% to 31 cents.,https://finnhub.io/api/news?id=98ba76808a2230497775be6672e7b31437e144890a34f30d1743ee5650c7c166
company,1776963135,"Nasdaq, Inc. Q1 2026 Earnings Call Summary",139866530,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NDAQ,Yahoo,"Moby summary of Nasdaq, Inc.'s Q1 2026 earnings call",https://finnhub.io/api/news?id=39cd471ceb89cee647e76c88491340669c770536d72b769a71c585f2e08bb335
company,1776957695,"Nasdaq, Inc. (NDAQ) Q1 2026 Earnings Call Transcript",139867435,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,NDAQ,SeekingAlpha,"Nasdaq, Inc. (NDAQ) Q1 2026 Earnings Call April 23, 2026 8:00 AM EDTCompany ParticipantsAto Garrett - Senior VP & Investor Relations OfficerAdena...",https://finnhub.io/api/news?id=851a64d0855a425199540f50eb40dbe76b11a82453f501c10710786b4660e7fc
company,1776953638,Nasdaq Hikes Dividend After Strong Quarter,139869738,https://cdn.benzinga.com/files/images/story/2026/04/23/New-York--Ny--Usa---August-21--2022-The-.jpeg?width=2048&height=1536,NDAQ,Benzinga,"Nasdaq beats Q1 2026 estimates with 14% revenue growth, strong fintech gains, and a dividend hike as momentum builds.",https://finnhub.io/api/news?id=962e1866c630a86af838017a88dc1ce424e52f0320daf7ab9dcadcc54020877c
company,1776951624,Nasdaq to launch new products ahead of extended trading hours plan,139865908,,NDAQ,Finnhub,"Nasdaq said on Thursday itwill roll out a suite of products to support its plannedextension of U.S. equities trading to 23 hours a day, five daysa week, as a push to expand global access to...",https://finnhub.io/api/news?id=0496d9b149e9145d9d63ec62c9ae70c37df48a6df01d835ea67a6ed82804188a
company,1776951006,"Compared to Estimates, Nasdaq (NDAQ) Q1 Earnings: A Look at Key Metrics",139864538,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NDAQ,Yahoo,"Although the revenue and EPS for Nasdaq (NDAQ) give a sense of how its business performed in the quarter ended March 2026, it might be worth considering how some key metrics compare with Wall Street estimates and the year-ago numbers.",https://finnhub.io/api/news?id=74fe6f82af4a794b79793c9b59173c138b2666d41683dc3d26949baab4c9b2ff
company,1776946878,NASDAQ INC (NASDAQ:NDAQ) Surges on Q1 Earnings and Revenue Beat,139861758,https://www.chartmill.com/images/uploads/THUMBNAILS_CHARTMILL_1000_528_17_c249efcc18.webp,NDAQ,ChartMill,"Nasdaq beat Q1 2026 estimates with $1.407B revenue and $0.96 EPS, driving a 2.2% pre-market stock surge alongside a dividend increase to $0.31 per share.",https://finnhub.io/api/news?id=9d2814ff814d39a97bcab306f0a210a426e0354401f3d8b6f049b4c9f42a06b4
company,1776946204,Nasdaq (NDAQ) Tops Q1 Earnings and Revenue Estimates,139862970,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NDAQ,Yahoo,"Nasdaq (NDAQ) delivered earnings and revenue surprises of +3.23% and +2.96%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=009564dcb0b12fb74cdbbc3661e86772830afb00e7a5585add226d4d8d67528a
company,1776943765,Nasdaq’s (NASDAQ:NDAQ) Q1 CY2026: Strong Sales,139861350,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NDAQ,Yahoo,"Global exchange operator Nasdaq (NASDAQ:NDAQ) reported Q1 CY2026 results exceeding the market’s revenue expectations, with sales up 72.8% year on year to $2.14 billion. Its non-GAAP profit of $0.96 per share was 3.1% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=d8c688973cfe5554c412ef3c51290e00701be2ecde1d463c6835539173e73b27
