category,datetime,headline,id,image,related,source,summary,url
company,1776979800,"Nike Cutting 1,400 More Jobs. The Stock Is Rising.",139869594,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NKE,Yahoo,"Nike  told its employees worldwide that it is cutting more jobs as part of the final stretch of its Win Now action plan.  The footwear and athletic apparel company has been taking “deliberate steps to strengthen our foundation, sharpen how we compete, and build a model designed to deliver long-term profitable growth,” including aligning its teams, capabilities, and footprint for its future needs.  Nike’s shares were up 0.7% at $45.08 in late Thursday trading, after closing down 2% in regular trading.",https://finnhub.io/api/news?id=dec8acbf4b22acaf712011ef10322cb2a6a9c83f8f6a4f40bd084424f4273625
company,1776979529,"Nike Cuts 1,400 Jobs in Operations and Tech in Latest Round of Layoffs",139870652,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NKE,Yahoo,Roles were cut at Nike's Beaverton headquarters in Oregon as well as in Europe and Asia.,https://finnhub.io/api/news?id=26a66b8cb87a0a12e2ed5f6c1f740ba5f0cdf4b82b438845e139e8e7b7cd4743
company,1776979347,"CNBC Daily Open: Truce on land, storm at sea — markets are counting the cost",139878572,https://image.cnbcfm.com/api/v1/image/108288964-1775687517946-108288964-1775687378605-gettyimages-2248969384-nikoubazl-iranianp251202_npN8U.jpeg?v=1775687551&w=1920&h=1080,NKE,CNBC,"The vital maritime passage has been under a ""double-blockade"" with neither Iran nor the U.S. allowing vessels to enter or exit the strait. ",https://finnhub.io/api/news?id=b07439b7886fa5428b444430d00a44254f1baee66fce80350472c6b5114a950c
company,1776979095,"Nike cutting 1,400 jobs in latest round of layoffs",139869595,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NKE,Yahoo,"Nike (NKE) announced that it will be cutting 1,400 jobs in its latest round of layoffs in 2026.",https://finnhub.io/api/news?id=7dcc73f12d96b7bf252a397f1b7528a46f775bd83102f914219b155cd022a61e
company,1776977493,Is Nike’s Next Focus an Expanded Presence in Team Sports?,139869596,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NKE,Yahoo,Professional team sponsorships in soccer and lacrosse will help Nike expand and build out its presence in other sports categories separate from its rejuvenation of Nike Running.,https://finnhub.io/api/news?id=0af8e5fe7e7f30ee7259e4b483eff9906f56570b4deb338ce5db7e445550128a
company,1776976094,"Lululemon Is Sinking on New CEO Pick. Should You Buy, Sell, or Hold LULU Stock?",139872043,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NKE,Yahoo,Lululemon stock sinks as retailer names Heidi O’Neill its next CEO. Here’s why the market seems to dislike her appointment as top executive.,https://finnhub.io/api/news?id=9cc3449e180af87b4d7ef08f96332d7d96350eb79233aac9a82d53fd99390f2e
company,1776973043,Jim Cramer Shares Hot Take on Nike (NKE) & Elliott Vs Elliott,139867968,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NKE,Yahoo,"We recently shared Jim Cramer Rubbished Circular AI Deals & Commented On These 18 Stocks. NIKE, Inc. (NYSE:NKE) is one of the stocks discussed by Jim Cramer. Athletic apparel giant NIKE, Inc. (NYSE:NKE)’s shares are down by 18.7% over the past year and by 26.7% year-to-date. HSBC discussed the firm on April 13th as it […]",https://finnhub.io/api/news?id=70d0990d01c884cc15039b4027a938694443f3a104d35195b0adbf13c01c6095
company,1776972912,Lululemon CEO Pick Heidi O’Neill Faces Skeptical Wall Street,139867969,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NKE,Yahoo,Shares of the company fell sharply as the market digested the Nike veteran’s planned ascent to the top spot.,https://finnhub.io/api/news?id=04306ab50184568d13ea11bd0883d4ce5d907b3ee24461b0933410405647a1f3
company,1776965314,NIKE : Announces Global Operations Changes,139869019,,NKE,Finnhub,Magazine Mission Company Newsroom ...,https://finnhub.io/api/news?id=3f82272ef6c1dc24b9f8bd41aa23d4c1f4f179d36e0bccb514104047463f8d00
company,1776964891,"Stocks making the biggest moves after hours: Intel, SAP, Boyd Gaming, MaxLinear and more",139878820,https://image.cnbcfm.com/api/v1/image/108255965-1769112419539-gettyimages-2257634611-_75a0021_qugpstfo.jpeg?v=1776977397&w=1920&h=1080,NKE,CNBC,See which stocks are posting big moves after the bell.,https://finnhub.io/api/news?id=b8855ab58b675f05a33a4c3f51767315125528cbb09092f74aa70982a025001f
company,1776963499,"Nike to cut around 1,400 jobs in efficiency push",139868730,,NKE,Finnhub,"Nike said on Thursday it was reducing about 1,400 roles in its global operations team, as the sportswear giant looks to boost its profits.  The reductions will mainly affect North...",https://finnhub.io/api/news?id=cd3872b790346833d5220d4001c3694f314cf93ad0bb6cdd4638a5e9d406dccf
company,1776963067,"'Nike Cuts 1,400 Roles In Second Round Of Layoffs This Year' - CNBC",139869668,,NKE,Benzinga,https://www.cnbc.com/2026/04/23/nike-job-cuts-layoffs.html,https://finnhub.io/api/news?id=8cca6979480e1433f4ad053ecc69467d2e905ae64411186de046e63b775dd6aa
company,1776963000,Nike Is Now the Third Highest-Yielding Dividend Stock in the Dow Jones Industrial Average. Should You Follow Apple CEO Tim Cook's Lead and Buy Nike Near a 10-Year Low?,139866177,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NKE,Yahoo,Nike's dividend yield is near an all-time high due to its falling stock price and 24 years of dividend increases.,https://finnhub.io/api/news?id=b8800c01c02aa7590797e7da1804e8269926270886a39f35e8c7c72b8e57708b
company,1776962514,"Nike to cut 1,400 jobs",139868537,,NKE,Finnhub,"Nike said on Thursday it isgoing to cut about 1,400 roles in its global operations. ...",https://finnhub.io/api/news?id=1dcb929a027d616e833cff3e4bab1dbb9734278d45cb2fcdef16e6aab3e700c8
company,1776962399,"Nike says co to reduce around 1,400 roles in global operations - company statement",139868532,,NKE,Finnhub,"Nike Inc:Nike: Reduction of approximately 1,400 roles in global operations - company statement...",https://finnhub.io/api/news?id=7f70a0c4ebeef9f7e94d5f341eca3b4851e823aa37728d5a1eb2c13e826a5dd6
company,1776962358,"Nike: reduction of approximately 1,400 roles in global operations - company statement",139868529,,NKE,Finnhub,"Nike: reduction of approximately 1,400 roles in global operations - company statement...",https://finnhub.io/api/news?id=ce7ccde0a8105457913fbb8db2ff550786667b8626053da91a1c62009a55e572
company,1776962220,Lululemon shares drop after CEO change amplifies ongoing brand reset efforts,139866505,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NKE,Yahoo,"Shares of Lululemon Athletica Inc (NASDAQ:LULU) fell nearly 12% on Thursday after the athletic apparel maker named former Nike executive Heidi O’Neill as its new CEO, as the company looks to revive its US business amid weakening sales and rising investor pressure. O’Neill previously served as...",https://finnhub.io/api/news?id=0a0e569c0d3492e958d1f3cfec24aa17de4fb9437518ae6297dd656d2b8bd2dd
company,1776962176,"Nike cuts 1,400 roles in second round of layoffs this year - CNBC",139868492,,NKE,Finnhub,"April 23 - Nike cuts 1,400 roles in second round of layoffs this year - CNBC...",https://finnhub.io/api/news?id=e11024d5269db004db88a0d2e7b06dcbae055b9a18aea29e7526cec4014f738e
company,1776953620,Lululemon investors sour on new CEO pick as the stock sinks,139864110,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NKE,Yahoo,Lululemon (LULU) announced on Wednesday that former Nike (NKE) executive Heidi O’Neill will become the brand's next CEO starting in September. The stock has fallen slightly since reporting this news. Yahoo Finance Senior Reporter Brooke DiPalma outlines the investor reaction and what this all means for Lululemon's turnaround plan.,https://finnhub.io/api/news?id=2b692a9a30b4efb60e734033adee804160062c59b4e021571722695c8b3ac9b3
company,1776953121,Nike vs. Lululemon: One Brand Is Losing Its Cool — and Investors Are Paying for It,139864505,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NKE,Yahoo,"Nike (NYSE:NKE) and Lululemon (NASDAQ:LULU) both reported earnings with North America struggling, China providing brightness, and tariffs compressing margins. Two athletic apparel giants face very different problems, with very different risks for investors. Wholesale Saves Nike. China Saves Lululemon. Nike’s quarter showed contradictions in the mix. Revenue came in at $11.28 billion, essentially flat year ... Nike vs. Lululemon: One Brand Is Losing Its Cool — and Investors Are Paying for It",https://finnhub.io/api/news?id=06c1a2f83bd174c139f8385ac88af67f24bcc687fc80edf3e72328d9587be8b5
company,1776949946,"Stocks making the biggest moves midday: Texas Instruments, United Rentals, Wex, Penn Entertainment & more",139865504,https://image.cnbcfm.com/api/v1/image/108243235-1766004043638-gettyimages-2251789238-TI_WAFER_PLANT.jpeg?v=1776964233&w=1920&h=1080,NKE,CNBC,These are the stocks posting the largest moves midday.,https://finnhub.io/api/news?id=58536ec5b75132ed4cdf410647ccf1372d6cd6f792802281fdd34cc4b1211c65
company,1776949209,"Here is What to Know Beyond Why NIKE, Inc. (NKE) is a Trending Stock",139864506,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NKE,Yahoo,"Nike (NKE) has been one of the stocks most watched by Zacks.com users lately. So, it is worth exploring what lies ahead for the stock.",https://finnhub.io/api/news?id=0c29e3fe4ec0eb12ad4e8fb3d67cd1bfaab38d781b09377e359628449c862c48
company,1776944399,Lululemon names former Nike exec Heidi O'Neill as CEO,139861321,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NKE,Yahoo,"O'Neill, who spent more than 25 years at Nike, will take the helm Sept. 8, replacing interim co-CEOs Meghan Frank and André Maestrini",https://finnhub.io/api/news?id=15d934998b6a77fd662097a3f61b4f1f3d2a56b171260ece5d61717004c5b18c
company,1776942718,Lululemon appoints former Nike executive as next CEO,139861322,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NKE,Yahoo,"Lululemon Athletica’s board of directors has appointed former Nike executive Heidi O’Neill as the retailer’s next chief executive officer (CEO), with her start date set for 8 September 2026.",https://finnhub.io/api/news?id=af8f2623607dde038459ccc2c9615c87331118d637b2d4a3c05e7165b8cca3fb
company,1776941481,"Lululemon Athletica New CEO Pick Triggers Transition Jitters, Stock Slides",139865354,https://cdn.benzinga.com/files/images/story/2026/04/23/Lululemon-Sign-At-The-Entrance-Of-Retail.jpeg?width=2048&height=1536,NKE,Benzinga,Lululemon stock falls on announcement of CEO change as weak guidance and governance concerns weigh on sentiment.,https://finnhub.io/api/news?id=8afdb147a5f7e0a0f691895974ab59ea474fb2d6b3c622d5b4c2d9cf29aca94b
company,1776931200,"Fed Rate Raise, Pause, Or Cut At Next Week's Meeting?",139861493,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1477463465/image_1477463465.jpg?io=getty-c-w1536,NKE,SeekingAlpha,The upcoming FOMC meeting is expected to maintain rates at 350-375 bps. Read what justifies a rate pause and more about the market outlook here.,https://finnhub.io/api/news?id=9cf7bdfed76a139746c11298ba465cb60d3c7bdf3a18143ffa239745b11cdbc6
