category,datetime,headline,id,image,related,source,summary,url
company,1776979347,"CNBC Daily Open: Truce on land, storm at sea — markets are counting the cost",139878572,https://image.cnbcfm.com/api/v1/image/108288964-1775687517946-108288964-1775687378605-gettyimages-2248969384-nikoubazl-iranianp251202_npN8U.jpeg?v=1775687551&w=1920&h=1080,NOC,CNBC,"The vital maritime passage has been under a ""double-blockade"" with neither Iran nor the U.S. allowing vessels to enter or exit the strait. ",https://finnhub.io/api/news?id=b07439b7886fa5428b444430d00a44254f1baee66fce80350472c6b5114a950c
company,1776963646,Defense ETFs In Focus As $1.5 Trillion 'Arsenal Of Freedom' Budget Proposal Takes Shape,139869683,https://cdn.benzinga.com/files/images/story/2026/04/23/ETFs-defense-spending.jpeg?width=2048&height=1536,NOC,Benzinga,"Defense ETFs in focus as a $1.5 trillion U.S. budget, rising munitions demand, and global conflicts drive a multi-year rearmament cycle.",https://finnhub.io/api/news?id=9b2834c910253211db234d460961f902e18ee032db563a3529ebc864f41f1d37
company,1776963023,Lockheed Martin First-Quarter Results Miss Street Views; Shares Fall,139866325,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOC,Yahoo,"Lockheed Martin's (LMT) first-quarter earnings decreased more than expected, while its sales fell sh",https://finnhub.io/api/news?id=73b28de4fd952b7b4eb7d16fc4a32585d4f9a48294561a8a051b5631328bc461
company,1776962046,"UBS Maintains Buy on Northrop Grumman, Lowers Price Target to $745",139869684,,NOC,Benzinga,UBS  analyst Gavin Parsons   maintains Northrop Grumman (NYSE:NOC) with a Buy and lowers the price target from $806 to $745.,https://finnhub.io/api/news?id=82df3ce4107f29c1e462dcbbbc0a8d0181147b79df203e06c106a39109281c76
company,1776960368,Why Northrop Grumman (NOC) Is Down 13.1% After Q1 Beat And Faster B-21 Ramp News – And What's Next,139866442,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOC,Yahoo,"In the first quarter of 2026, Northrop Grumman reported revenue of US$9,881 million and net income of US$875 million, with diluted EPS from continuing operations of US$6.14, and also filed an omnibus shelf registration for common shares and debt securities. The company’s accelerated B-21 Raider test and production program, including a 25% planned increase in annual output supported by over US$5.00 billion in digital and manufacturing investments, underscores how deeply its growth is tied to...",https://finnhub.io/api/news?id=47e6ef485a749f53bbc021f0f7766eab94b5fe7b2486d2fff0d94683ccad7756
company,1776942060,Lockheed Falls on Earnings Miss. Defense Fears Linger.,139861266,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOC,Yahoo,Lockheed Martin stock was dropping after it reported first-quarter earnings per share of $6.44 from sales of $18 billion.,https://finnhub.io/api/news?id=c39bded61beaf39f5cdb00e24cd335ac68774f791ebf2391a70297c23555f3e3
company,1776953880,"Hexcel Q1 Earnings Surpass Estimates, Revenues Improve Y/Y",139864267,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOC,Yahoo,"HXL tops Q1 earnings estimates with strong aerospace-driven sales growth and margin expansion, while guiding steady 2026 revenue and cash flow outlook.",https://finnhub.io/api/news?id=6d7ca50715956d95af98036d682cfba0f1886fdd3617f597b18577290c365983
company,1776953520,"Lockheed Q1 Earnings Miss Estimates, Sales Increase Year Over Year",139864268,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOC,Yahoo,"LMT's Q1 earnings miss estimates despite a slight sales rise, as mixed segment performance and lower cash flow shape results.",https://finnhub.io/api/news?id=51073e70b0ac331e9fbf8ee25abde62b10a3e38a194761f0fe82d507070de8d1
company,1776950627,"Lockheed Martin Retreats On Earnings Miss, Defense Demand Remains Elevated",139862710,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOC,Yahoo,"Lockheed Martin stock extends downtrend after missing Q1 earnings estimates. Demand for missiles, interceptors, jets remains strong.",https://finnhub.io/api/news?id=0b9992fdb10659389332a7782f73fb46595fab728bf67e1ea374c6e07ecd84f6
company,1776945505,"Citigroup Maintains Buy on Northrop Grumman, Lowers Price Target to $742",139869685,,NOC,Benzinga,Citigroup  analyst John Godyn   maintains Northrop Grumman (NYSE:NOC) with a Buy and lowers the price target from $807 to $742.,https://finnhub.io/api/news?id=6d9cb9b2fcbeb0d3c22eca4801b247cb16c0421bf5d500d1335f96a3b2796613
company,1776931200,"Fed Rate Raise, Pause, Or Cut At Next Week's Meeting?",139861493,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1477463465/image_1477463465.jpg?io=getty-c-w1536,NOC,SeekingAlpha,The upcoming FOMC meeting is expected to maintain rates at 350-375 bps. Read what justifies a rate pause and more about the market outlook here.,https://finnhub.io/api/news?id=9cf7bdfed76a139746c11298ba465cb60d3c7bdf3a18143ffa239745b11cdbc6
company,1776907902,Northrop Grumman: The Nuclear Triad Winner Is Now A Strong Buy,139857998,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1470957085/image_1470957085.jpg?io=getty-c-w1536,NOC,SeekingAlpha,Northrop Grumman is a key provider for US deterrent capabilities but is priced below 3-year trading multiples. Check out the Strong Buy thesis of NOC stock.,https://finnhub.io/api/news?id=7d043c87fc306a463b86f8e4248d79166817819925d4979618d89b111819fdb0
