category,datetime,headline,id,image,related,source,summary,url
company,1776972480,How Stodgy Texas Instruments Became a Hot AI Chip Stock,139869501,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ON,Yahoo,An upbeat outlook from Texas Instruments boosts investors’ confidence in a handful of semiconductor stocks.,https://finnhub.io/api/news?id=925fa0df19b9f0f2c4931edc5e7c5c35822d0c8ccc3c59433b37f2795b50de47
company,1776971104,These S&P500 stocks are moving in today's session,139867292,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,ON,ChartMill,Stay informed about the performance of the S&P500 index one hour before the close of the markets on Thursday. Uncover the top gainers and losers in today's session for valuable insights.,https://finnhub.io/api/news?id=8eda1ce383590a051ac9038f0fb25bdebb55ec5285a404ddb0bc8d3c36092d4b
company,1776966256,ON Semiconductor: Chip Stocks' Parabolic Rise Draws Concerns,139869258,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2236033593/image_2236033593.jpg?io=getty-c-w1536,ON,SeekingAlpha,"ON Semiconductor stock remains a ""Hold"" as it nears record highs. Learn more about its valuation and outlook.",https://finnhub.io/api/news?id=243839bed4e8e81f82bac631d7738ec591d065fb6d87d65400a3b466583c0e8e
company,1776965040,On Semi and Analog Devices Stocks Head for Record Highs. Thank Texas Instruments.,139867853,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ON,Yahoo,An upbeat outlook from Texas Instruments boosts investors’ confidence in a handful of semiconductor stocks.,https://finnhub.io/api/news?id=dece95795879af0d36b9d6d80661a67b25acb5a76e7c42a431d106bddcc23dd7
company,1776964561,B. Riley Just Upgraded On Semiconductor to Buy and Nearly Doubled Its Price Target. Is This the Chip Comeback of 2026?,139866544,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ON,Yahoo,"An analyst firm just made the bull case for On Semiconductor (NASDAQ:ON). B. Riley analyst Craig Ellis upgraded On Semiconductor stock to Buy from Neutral, lifting the firm’s price target to $115 from $64. That’s a near-doubling of the target and one of the more aggressive conviction calls on a U.S. chipmaker this spring. The ... B. Riley Just Upgraded On Semiconductor to Buy and Nearly Doubled Its Price Target. Is This the Chip Comeback of 2026?",https://finnhub.io/api/news?id=9d96db5a99b9eb6bb9ab2d57ae86e74818fb8dafa8473a16bc89c28c05096cbc
company,1776963902,Which S&P500 stocks have an unusual volume on Thursday?,139865363,https://www.chartmill.com/images/uploads/CM_Unusual_Volume_Small_free_b9d2e60841.webp,ON,ChartMill,Let's have a look at the S&P500 stocks with an unusual volume in today's session.,https://finnhub.io/api/news?id=df73972f3fcf952d217d996f75895d88b595e94fa7135124974b296d6d163346
company,1776962104,What's going on in today's session: S&P500 movers,139865123,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,ON,ChartMill,Curious about the S&P500 stocks that are in motion on Thursday? Join us as we explore the top movers within the S&P500 index during today's session.,https://finnhub.io/api/news?id=045c7b48b65007e164a85ff803fd33eecc2fc353fcd25256a546df5c8edcf0d2
company,1776954905,Thursday's session: gap up and gap down stock in the S&P500 index,139863460,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,ON,ChartMill,Let's have a look at what is happening on the US markets on Thursday. Below you can find the S&P500 gap up and gap down stocks in today's session.,https://finnhub.io/api/news?id=3e77378a8303755471e1b6024163e0b35e5a58eb2c00b94f05f77d23bb01eea5
company,1776951443,What to watch for in Intel's Q1 earnings,139866057,https://image.cnbcfm.com/api/v1/image/108296378-1776965719417-1776965622-45461700562-hd.jpg?v=1776965720&w=1920&h=1080,ON,CNBC,CNBC's Kristina Partsinevelos reports the latest news surrounding Intel.,https://finnhub.io/api/news?id=dd9fa9e10883756eefdff46c79ac802aa472759338ae00f09152d0d1d14140ca
company,1776947705,Get insights into the top movers in the S&P500 index of Thursday's pre-market session.,139861934,https://www.chartmill.com/images/uploads/CM_Premarket_Movers_Small_free_90289f6b81.webp,ON,ChartMill,Curious about the S&P500 stocks that are showing activity before the opening bell on Thursday?,https://finnhub.io/api/news?id=797a75e76745e6c7b6ed23429da6b87bee212e8314f482a865435ce2d7a5a25e
company,1776945573,"Here Are Thursday’s Top Wall Street Analyst Research Calls: Boston Scientific, Datadog, Deckers Outdoor, McDonald’s, Murphy USA, On Semiconductor, Palantir Technologies, Texas Instruments, and More",139861526,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ON,Yahoo,"Pre-Market Stock Futures: Futures are trading lower on this Thursday, but what a difference a month makes: 30 days ago, the worries over inflation and the spiraling situation in Iran were weighing heavily on the stock market. On Wednesday, the Nasdaq Composite and S&P 500 hit new all-time highs, driven by hopes for an extended ... Here Are Thursday’s Top Wall Street Analyst Research Calls: Boston Scientific, Datadog, Deckers Outdoor, McDonald’s, Murphy USA, On Semiconductor, Palantir Technologie",https://finnhub.io/api/news?id=4dfe33b84f9c948a5d3d8911743a90b06fa51755541de2d4125bcd6661099d52
company,1776945250,Jim Cramer on ON Semiconductor: “Bit of a Mystery to Me”,139862987,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ON,Yahoo,"ON Semiconductor Corporation (NASDAQ:ON) was among Jim Cramer’s stock calls on Mad Money recently. Cramer mentioned the company during the episode and said: Finally, rounding out the top 10 performers in the S&P 500 since the bottom is ON Semiconductor, which ended up in fifth place, up 49%. Bit of a mystery to me. ON […]",https://finnhub.io/api/news?id=3ecd199ac19a9cb0e7e4838cf58cac51d396afe090636d927ace64253ea72998
company,1776943699,"Intel earnings on deck as ServiceNow, IBM tumble: What you need to know",139865393,https://image.cnbcfm.com/api/v1/image/108296263-1776957170320-1776957039-45459456029-hd.jpg?v=1776957171&w=1920&h=1080,ON,CNBC,CNBC's Seema Mody and Kristina Partsinevelos break down the latest news surrounding tech earnings.,https://finnhub.io/api/news?id=418d1cb498e7b0bcaa629ab3d4ba7d5fc6e93bb6876218d70f5c48b08c1f8efe
company,1776942039,These Chip Stocks Power Sector's Latest Advance,139861375,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ON,Yahoo,"IBD's chip sector is up more than 43% year to date, and much of its strength is now concentrated in makers of power-management chips.  A feeding frenzy has developed among ON Semiconductor, Power Integrations, Navitas Semiconductor, Alpha & Omega Semiconductor and other power-chip stocks.  Data centers, electric vehicles and other power-consuming technologies are increasing demand for electricity.",https://finnhub.io/api/news?id=fbd2355649e73f827e4dc04bae1f38ccd55c1c580cba00656d36249bfe59805b
company,1776940243,$1000 Invested In ON Semiconductor 15 Years Ago Would Be Worth This Much Today,139867389,,ON,Benzinga, ,https://finnhub.io/api/news?id=ebd260014032c8ff547b1bf90371263958b6b9d74c81557de1b65a9fcd413dca
company,1776938692,"Comcast, Molina Healthcare, STMicroelectronics And Other Big Stocks Moving Higher On Thursday",139864005,https://cdn.benzinga.com/files/images/story/2026/04/23/Tucson--Ariz----usa-8---5---19-Comcast-C.jpeg?width=2048&height=1536,ON,Benzinga,"U.S. stocks were lower on Thursday, with the Dow Jones dropping over 200 points. Comcast&#39;s strong earnings caused its shares to rise 6.7%.",https://finnhub.io/api/news?id=da45a7636cd30825593d0bc075e7ef5c7b12a3eb84b671469d112810a46e1703
