category,datetime,headline,id,image,related,source,summary,url
company,1776972250,"We know parts of the market are hot, says Jim Cramer",139878618,https://image.cnbcfm.com/api/v1/image/108296592-5ED3-MM-A-BLOCK-042326.jpg?v=1776984173&w=1920&h=1080,PCG,CNBC,'Mad Money' host Jim Cramer looks at the day's market action.,https://finnhub.io/api/news?id=8e819e7f751abaa2bc519358b10fb5be0ac0aff06f568c4ea5142acd30852fa3
company,1776967883,Sector Update: Energy Stocks Rise Thursday Afternoon,139867987,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PCG,Yahoo,"Energy stocks were higher Thursday afternoon, with the NYSE Energy Sector Index rising 0.9% and the",https://finnhub.io/api/news?id=e7687c182d8e718cd56df4c07617e73028f34d3f9d82d7bf8b2b725faa80aa37
company,1776956465,PG&E Corporation 2026 Q1 - Results - Earnings Call Presentation,139867265,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,PCG,SeekingAlpha,2026-04-23. The following slide deck was published by PG&E Corporation in conjunction with their 2026 Q1 earnings call.,https://finnhub.io/api/news?id=250a1d35128ee100fda7283f03cb6f996f1c984f329f634e71f0c7d2bced215b
company,1776954693,PG&E Corporation (PCG) Q1 2026 Earnings Call Transcript,139867053,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,PCG,SeekingAlpha,"PG&E Corporation (PCG) Q1 2026 Earnings Call April 23, 2026 11:00 AM EDTCompany ParticipantsJonathan Arnold - Vice President of Investor...",https://finnhub.io/api/news?id=dbb5cec7caa3b2c81678370e01bc737609962d71c26c72a038f0986a6cf25d5e
company,1776954480,"PG&E Q1 Earnings Surpass Estimates, Revenues Increase Y/Y",139864406,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PCG,Yahoo,"PCG's first-quarter 2026 EPS beats estimates, revenues rise 15% Y/Y to $6.88 billion, and operating income climbs to $1.47 billion.",https://finnhub.io/api/news?id=4da41c3790cddab4c7adc6905ed13e801876d03c9e25e05f7d2d184c9b8d32a2
company,1776952140,4 Value Stocks to Buy Now as Volatility Grips US Stock Market,139864551,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PCG,Yahoo,"AVT, AMN, PCG and NEXA look like low price-to-cash-flow value buys as Middle East war volatility rattles U.S. stocks.",https://finnhub.io/api/news?id=28a841bf0e98302f0fe1efde4d1536bef238f441aa32ed8ee47786cb89f2c635
company,1776948648,PG&E says it has 22 gigawatts of capacity under contract for the next four years for the California grid - conf call,139865156,,PCG,Finnhub,PG&E Corp: PG&E says it has 22 gigawatts of capacity under contract for the next four years for the California grid - conference call PG&E says 1.8 GW capacity slated to come online by 2030 is...,https://finnhub.io/api/news?id=4b2df9165488dc08524d08df9179f0ec43e389e958dedd4658493a4301e8d135
company,1776946819,"Transcript : PG&E Corporation, Q1 2026 Earnings Call, Apr 23, 2026",139864907,,PCG,Finnhub,"Presentation Operator MessageOperator Thank you for standing by. At this time, I would like to welcome everyone to the PG&E Corporation First Quarter 2026 Earnings Release. [Operator Instructions]",https://finnhub.io/api/news?id=67c95466ce957301aaf50f6b831cd48c1a7996f9b382f86e60c0f28e5624726a
company,1776946665,PG&E shares rise after Q1 earnings beat and guidance reaffirmed,139862973,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PCG,Yahoo,"PG&E Corporation (NYSE:PCG) reported first-quarter results on Thursday that came in ahead of analyst expectations, lifting its shares in premarket trading. The stock gained 2.",https://finnhub.io/api/news?id=f752960106342b2d535ed1bbf0e9c721fd941f1aac61c863d4f752af016296eb
company,1776945534,Transcript: PG&amp;E Q1 2026 Earnings Conference Call,139876667,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_1.jpg?width=2048&height=1536,PCG,Benzinga, ,https://finnhub.io/api/news?id=60fdbb66dcab67a17b4da7713d816911e877dd268954af746677ae7e25a92efe
