category,datetime,headline,id,image,related,source,summary,url
company,1776985204,"Compared to Estimates, Principal Financial (PFG) Q1 Earnings: A Look at Key Metrics",139871402,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFG,Yahoo,"Although the revenue and EPS for Principal Financial (PFG) give a sense of how its business performed in the quarter ended March 2026, it might be worth considering how some key metrics compare with Wall Street estimates and the year-ago numbers.",https://finnhub.io/api/news?id=824b6b8555a3037a11610e2b33c41aac0066ced7a14caf48bc59ca524aef2bca
company,1776981307,Principal Financial (PFG) Q1 Earnings Beat Estimates,139870680,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFG,Yahoo,"Principal Financial (PFG) delivered earnings and revenue surprises of +2.99% and -14.51%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=4081edea4509d1a4b8a6b20605ba530e661ebdb4ecb5dfa84a092156ae1935e5
company,1776975300,Principal Financial Group Announces First Quarter 2026 Results,139869643,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFG,Yahoo,"DES MOINES, Iowa, April 23, 2026--Principal Financial Group® (Nasdaq: PFG) announced results for first quarter 2026.",https://finnhub.io/api/news?id=6225a7437ac343122661378d4d2bda0a258d33300bf1969984c1f7191ee77544
company,1776965358,Principal Financial : 1Q 2026 earnings conference call presentation,139869091,,PFG,Finnhub,‌R ETIR EM EN T A S S ET M A N A G EM EN T B EN EF ITS & P R O TEC TIO N First Quarter 2026 Earnings PR IN C I PA L F IN A N C IA L G R O U P ...,https://finnhub.io/api/news?id=79039834ea43535a8c012a0cf1dd69a6225a929d952673d2d347a94c446b10ba
company,1776965358,Principal Financial : 1Q 2026 financial supplement,139869090,,PFG,Finnhub,"Financial Supplement Through the First Quarter Ended March 31, 2026 Principal Financial Group, Inc. ...",https://finnhub.io/api/news?id=c649b5cb4f069f6e09838460450f903644d8786bfd415166df950d783ed37c56
company,1776965347,Principal Financial : 1Q 2026 financial supplementxlsm,139869095,,PFG,Finnhub,Earnings Release Tables Earnings Release Tables ...,https://finnhub.io/api/news?id=af2a9d1d1b322b41a8118a37c4506e911e9b0afb83c64cf423cc4111bad688da
company,1776962699,"Principal Finl Gr Q1 Adj. EPS $2.07 Beats $2.00 Estimate, Sales $3.515B Miss $4.144B Estimate",139878161,,PFG,Benzinga,Principal Finl Gr (NASDAQ:PFG) reported quarterly earnings of $2.07 per share which beat the analyst consensus estimate of $2.00 by 3.5 percent. This is a 14.36 percent increase over earnings of $1.81 per share from the,https://finnhub.io/api/news?id=2c4f9ed55de04378e91c7abf221d7e68038dd179eed46d193fb17c569fc5b20c
company,1776962648,Principal Financial: Q1 Earnings Snapshot,139868546,,PFG,Finnhub,"DES MOINES, Iowa — DES MOINES, Iowa — Principal Financial Group Inc. on Thursday reported first-quarter net income of $424.6 million. On a per-share basis, the Des Moines, Iowa-based company...",https://finnhub.io/api/news?id=83d11b4bbda4462ad7449834c72639aeeb4f1ee37199e097def318f7399ba5fe
company,1776962024,"Principal Financial profit rises on retirement, investment management strength",139868471,,PFG,Finnhub,Principal Financial Groupreported a rise in first-quarter profit on strength in itsretirement and income solutions business as well as strongresults in investment management. ...,https://finnhub.io/api/news?id=b2be0d591e635f6875f60939fcf39197922b6d8b132e6f707cc21e668c750aa9
company,1776960526,Principal Finl Gr Q1 Adj. EPS $2.07 Beats $2.00 Estimate,139878162,,PFG,Benzinga,Principal Finl Gr (NASDAQ:PFG) reported quarterly earnings of $2.07 per share which beat the analyst consensus estimate of $2.00 by 3.5 percent. This is a 14.36 percent increase over earnings of $1.81 per share from the,https://finnhub.io/api/news?id=818ab8380dc897ee96f189730c037933c91c5b2ec888dbcc9d0f02b8bfe46ed6
company,1776928289,"Earnings Scheduled For April 23, 2026",139863224,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,PFG,Benzinga, ,https://finnhub.io/api/news?id=8c563fc2379fa00c5d61da639c5622b1afb5e4f0e546029b6c462f78a95936f6
