category,datetime,headline,id,image,related,source,summary,url
company,1776985200,"Procter & Gamble earnings, consumer sentiment: What to Watch",139876353,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,"Asking for a Trend Host Josh Lipton previews several of the biggest stories to come tomorrow, Friday, April 24, including earnings results from Procter & Gamble (PG) and Charter Communications (CHTR), alongside the final reading on consumer sentiment data.",https://finnhub.io/api/news?id=f43f3c3d3b4e4fecd29f7e6335659809cf14c0cc2f4493e9058b3997dfacd6cf
company,1776974695,These 5 Stocks Pay You Even When You’re Sleeping,139869409,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,"Market volatility in 2026 has reminded investors that earned income alone is fragile. When tariff fears rattle equities and economic uncertainty clouds the outlook, dividend investors sleep better. Passive income from dividend stocks requires only that you own the right companies. A well-constructed dividend portfolio generates cash flow every quarter, whether markets rise or fall. ... These 5 Stocks Pay You Even When You’re Sleeping",https://finnhub.io/api/news?id=0d51b5f40e898e361935ce3db15ff6815db6effcc01ad734e1d03993f01aab5f
company,1776970689,Friday's big stock stories: What’s likely to move the market in the next trading session,139878683,https://image.cnbcfm.com/api/v1/image/108292564-1776352463079-Traders-Photo-20260416-KK-PRESS-006.jpg?v=1776352733&w=1920&h=1080,PG,CNBC,"Both the S&P 500 and Nasdaq Composite scored all-time intraday highs on Thursday, but ultimately ended the session in the red, respectively losing 0.4% and 0.9%.",https://finnhub.io/api/news?id=b1d17b65062c62fadea52cc2327887a79b4731e1ae6cbc9f92a4347d81df7f22
company,1776967285,"S&P 500 rises as Intel soars, investors bet on Iran talks restarting: Live updates",139878684,https://image.cnbcfm.com/api/v1/image/108293266-1776441999205-Traders-OB-Photo-20260417-CC-PRESS-1.jpg?v=1776442156&w=1920&h=1080,PG,CNBC,"On Thursday, the Nasdaq Composite suffered its worst daily performance in nearly a month.",https://finnhub.io/api/news?id=3d8fc37cdb125951faacf960981fa40757c97de430b74ee097c4d34c510f67d4
company,1776950089,Procter & Gamble Q3 Preview: Consumer Staple Giant Could Provide Clues On Economic Health,139865966,https://cdn.benzinga.com/files/images/story/2026/04/23/Procter--Gamble-Co--NYSE-PG.jpeg?width=2048&height=1536,PG,Benzinga,An earnings report from Procter &amp; Gamble could put the consumer staples sector in the spotlight and show shopper trends.,https://finnhub.io/api/news?id=38285ddfc9de7403855c8462871972ce2cdba82569bdc9bd99d97641aee2a99f
company,1776949200,Febreze Transforms Kitchen Funk into Freshness with NEW Febreze TRASH,139862701,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,"CINCINNATI, April 23, 2026--The freshness experts at Febreze are setting their sights on the home’s most notorious odor offender – the kitchen trash can – with their latest innovation. Today, the Brand unveiled the NEW Febreze TRASH Odor Fighter, a compact yet powerful device engineered for high-performance freshness. Formulated to reduce up to 99% of common trash odors, this new kitchen must-have will be every garbage can’s and nose’s new best friend.",https://finnhub.io/api/news?id=7f21f575156b07d916f8255596688f7ac041e729b4badca8788b18aee28ef6a1
company,1776947400,XPEL Announces Appointment of Mark A. Thornton to Board of Directors,139862702,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,"SAN ANTONIO, April 23, 2026--XPEL, Inc. (Nasdaq: XPEL), a global provider of protective films and coatings, announces the appointment of Mark A. Thornton to its Board of Directors.",https://finnhub.io/api/news?id=710532353260ed6903525fa232fd41c910e069260a79f26c7e8c3219410cb7d7
company,1776945600,"Procter & Gamble Earns #1 Household Products Spot on Fortune's 2026 America's Most Innovative Companies List, Recognized for Superior Product Innovation",139862703,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,"CINCINNATI, April 23, 2026--Procter & Gamble (NYSE: PG) announced it has been named to Fortune's 2026 America's Most Innovative Companies list, earning the top position in the Household Products Industry — a distinction the company has now held for three consecutive years. Published in partnership with Statista, the ranking evaluated hundreds of U.S.-headquartered organizations and identified P&G's greatest strength as Product Innovation, a reflection of the company's relentless focus on solving",https://finnhub.io/api/news?id=a35b894ef01b832b949a86b1d2030329ce77eae4f5294b31bb87eac47f80509d
company,1776933615,The Procter & Gamble Company (PG) Price Target Reduced to $167 by BofA Amid Higher Resin Cost Expectations,139859930,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,We recently compiled a list of the 10 Most Undervalued Dow Stocks to Buy Now. The Procter & Gamble Company is also one of the most undervalued Dow stocks on this list. TheFly reported on April 10 that BofA Securities reduced its price target on PG from $171 to $167 while maintaining a Buy rating. The […],https://finnhub.io/api/news?id=89cfec4eec9092114d43d4feb06675a629997487b9563f97568d63871a1985ec
company,1776932963,Procter & Gamble (PG) Q1 Earnings: What To Expect,139859931,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,Consumer products behemoth Proctor & Gamble (NYSE:PG) will be announcing earnings results this Friday before market open. Here’s what to expect.,https://finnhub.io/api/news?id=3b8bcbea70c9e7e1dabcd37cb19ea332fa82a0bcb14ee6cc9495da67b0f494be
