category,datetime,headline,id,image,related,source,summary,url
company,1776988200,Truck Tonnage Revised Higher,139872002,,PKG,SeekingAlpha,,https://finnhub.io/api/news?id=45af5a0e40cd5bb048fc4b2e98e825fdcb4d0685ea1409a7b50f21841ec0bee1
company,1776985658,A Look At Packaging Corporation Of America (PKG) Valuation After Its Recent Share Price Uptick,139870682,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PKG,Yahoo,"Event context and recent stock move Packaging Corporation of America (PKG) has been drawing attention after a recent uptick in its share price, with the stock closing at $215.02 and showing mixed short term returns over the past week and month. See our latest analysis for Packaging Corporation of America. The 4.77% 1 day share price return sits against a more modest 1.85% year to date share price return. At the same time, the 1 year total shareholder return of 16.74% and 3 year total...",https://finnhub.io/api/news?id=48cd82864ac94d4a33358efae8c6460a55530912f24b33618a7d3215b95583e0
company,1776965880,Packaging Corp. Q1 Earnings Beat Estimates on Pricing and Mix,139868025,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PKG,Yahoo,"PKG beats Q1 earnings on pricing gains and mix, but margin pressure, special items and weaker Greif results temper overall performance.",https://finnhub.io/api/news?id=0f3960d2cd2cdeb038bc1e0ac80fb3d35a31e2fe80e2d369efd1a4b6c1d14313
company,1776962104,What's going on in today's session: S&P500 movers,139865123,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,PKG,ChartMill,Curious about the S&P500 stocks that are in motion on Thursday? Join us as we explore the top movers within the S&P500 index during today's session.,https://finnhub.io/api/news?id=045c7b48b65007e164a85ff803fd33eecc2fc353fcd25256a546df5c8edcf0d2
company,1776956835,Packaging Corp (PKG) Q1 2026 Earnings Transcript,139864623,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PKG,Yahoo,"Thank you all for participating in Packaging Corporation of America's first quarter 2026 earnings release conference call.  Again, I am Mark W. Kowlzan, Chairman and Chief Executive Officer of Packaging Corporation of America.  With me on the call today are Thomas A. Hassfurther, President, and Kent A. Pflederer, our Chief Financial Officer.",https://finnhub.io/api/news?id=8b3ffaf5859df5463825753ca699370a4fba8a7bd2c8190108e7c5304db4d02c
company,1776953503,Packaging Corporation of America (PKG) Q1 2026 Earnings Call Transcript,139866869,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,PKG,SeekingAlpha,"Packaging Corporation of America (PKG) Q1 2026 Earnings Call April 23, 2026 9:00 AM EDTCompany ParticipantsMark Kowlzan - Chairman of the Board &...",https://finnhub.io/api/news?id=a87634d6f2ca17823e4389dc7e38b9819d75de208fb0036c3808ce6d2d530df5
company,1776948960,PCA expects strong Q1 demand to continue in 2026,139866595,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PKG,Yahoo,"Despite geopolitical and economic headwinds, Packaging Corporation of America experienced an uptick in sales for the first quarter, executives said during Thursday’s earnings call.",https://finnhub.io/api/news?id=0cc101c4936d5ac3ec56e7c99b6324aff75a39f5e05bbf56d2d9a5497af7fe26
company,1776947400,Packaging Corporation of America Q1 2026 Earnings Call Summary,139866596,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PKG,Yahoo,Moby summary of Packaging Corporation of America's Q1 2026 earnings call,https://finnhub.io/api/news?id=d011abc12ed208bbae050d57cb4c5f2ce50ab13b4972ee07e925ce6d329e7a10
company,1776940519,"Transcript : Packaging Corporation of America, Q1 2026 Earnings Call, Apr 23, 2026",139863350,,PKG,Finnhub,"Presentation Operator MessageOperator Good day, everyone. Thank you for joining Packaging Corporation of America's First Quarter 2026 Earnings Results Conference Call. Your host for today will be",https://finnhub.io/api/news?id=3b4f0e2852a1d5dea52d095c1819728008324c3a85affa5eb03348859aac47a8
company,1776940238,Packaging Corporation of America shares are trading higher after the company reported better-than-expected Q1 adjusted EPS results.,139882277,,PKG,Benzinga,,https://finnhub.io/api/news?id=0c29e06a9c5712b4e07631a97971e07dca48ce13bd99c93ba12cde16014a9a51
company,1776939367,Full Transcript: Packaging Corp of America Q1 2026 Earnings Call,139863285,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_3.jpg?width=2048&height=1536,PKG,Benzinga, ,https://finnhub.io/api/news?id=60cfeb3d27687479d93d2c09076574073114b47ac5769352bbba0b89a3ae7269
company,1776913886,Packaging Corporation of America: Valuation Remains Full Despite A Solid Q1,139858757,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1516305012/image_1516305012.jpg?io=getty-c-w1536,PKG,SeekingAlpha,Packaging Corporation of America continues to gain market share but faces margin pressure from elevated input and freight costs. Read why PKG stock is a Sell.,https://finnhub.io/api/news?id=a559c9976d7f0f75ccf8b648a65a3d511adff30b868b0dca11e78375892f5d59
