category,datetime,headline,id,image,related,source,summary,url
company,1776980705,Palantir Technologies Inc. (PLTR) Dips More Than Broader Market: What You Should Know,139870518,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLTR,Yahoo,"In the latest trading session, Palantir Technologies Inc. (PLTR) closed at $141.57, marking a -7.24% move from the previous day.",https://finnhub.io/api/news?id=e248248b8c7869b97252852865df8b17554293505dcb5f5413be02775de159c3
company,1776980227,"Intel, AMD, Palantir, Skillz Inc. And Lucid Group: Why These 5 Stocks Are On Investors' Radars Today",139876748,https://cdn.benzinga.com/files/images/story/2026/04/23/Penang--Malaysia---8-Dec-2021-Dow-Jones-.jpeg?width=2048&height=1536,PLTR,Benzinga,"Major U.S. indices closed Thursday lower, with the Dow Jones Industrial Average falling 0.36% to 49,310.32.",https://finnhub.io/api/news?id=1ce9fdef1a8fcffe2ff28e57897304d227a75be01f2e91ee30e7b690b51f111d
company,1776974622,Palantir Earnings Could Ignite AI Stocks Before Nvidia,139869316,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLTR,Yahoo,"One AI stock prints earnings May 4, three weeks before Nvidia. Oversold setup, bullish divergences, and squeeze fuel point to a breakout.",https://finnhub.io/api/news?id=9604e52a2d5ecee8ce6ae4c89db70f59fb9e1585c9df170a882facde3609a60c
company,1776971453,Palantir Drops 7% Despite $300M USDA Win: Is the Dip a Buying Opportunity?,139867797,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLTR,Yahoo,"Shares of Palantir Technologies (NASDAQ:PLTR) are down roughly 7% in Thursday afternoon trading, changing hands near $142 after starting the session at $152.62. The slide comes despite a fresh $300 million contract with the U.S. Department of Agriculture and a new Buy initiation from DZ Bank. The pullback is striking given the backdrop. Palantir’s year-to-date ... Palantir Drops 7% Despite $300M USDA Win: Is the Dip a Buying Opportunity?",https://finnhub.io/api/news?id=541e16a626fe9aadc8080cbd859ed60cf8cf20ac36cff0da8bfc11f222d2897d
company,1776969004,Why Palantir Stock Is Falling Today,139867798,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLTR,Yahoo,Palantir Declines as Momentum Fades: Big AI Deal Meets Market Reality,https://finnhub.io/api/news?id=5bcaf37f617fd4ed6c17597a267465245c7103e32e592f0794c7be3143b1768c
company,1776968959,Palantir's USDA Deal Could Really Be About Clawing Back U.S. Farmland From China,139867799,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLTR,Yahoo,Palantir's $300 million USDA contract comes as Washington continues to build a case against China-linked Syngenta and Smithfield.,https://finnhub.io/api/news?id=bc183d7723d7e2d59f5834e02bb376b0cdd2a7386ff7192426d2dd53b5a70dd4
company,1776968340,PLTR vs. SOFI: Which High-Growth Tech Stock is the Better Buy Now?,139869442,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLTR,Yahoo,"Palantir outshines SoFi with stronger AI-driven growth, rising demand and solid financials, making it the more compelling high-growth tech pick.",https://finnhub.io/api/news?id=9e99a05ab218218c42e5f9d70e25f74573f9aa9357f40b751403492bbca1cadc
company,1776967503,What's going on in today's session: S&P500 most active stocks,139866867,https://www.chartmill.com/images/uploads/CM_Most_Active_Stocks_Small_free_fec0650b7f.webp,PLTR,ChartMill,Looking for the most active S&P500 stocks in today's session? Join us as we dive into the US markets on Thursday and discover the stocks that are dominating the trading activity and setting the pace for the market.,https://finnhub.io/api/news?id=30e9cff0551a57c44735b990b40d5f194b02f8522aeb9f9c65e6d6beaaa71fe5
company,1776966600,Investors Are Rotating Out of Tech. Here's Why That's Great News for This Artificial Intelligence (AI) Growth Stock.,139867800,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLTR,Yahoo,"Palantir stock has retreated in recent months, even though its earnings growth remains solid.",https://finnhub.io/api/news?id=0ca9bb53e17c2d18c249e0627b51a0689cdc38f222e5364cc804cfd65d2174cd
company,1776966581,Is Palantir Technologies Inc. (PLTR) A Good Stock To Buy Now?,139867801,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLTR,Yahoo,"Is PLTR a good stock to buy? We came across a bullish thesis on Palantir Technologies Inc. on Investment Ideas by Antonio’s Substack by Antonio Linares. In this article, we will summarize the bulls’ thesis on PLTR. Palantir Technologies Inc.’s share was trading at $152.62 as of April 22nd. PLTR’s trailing and forward P/E were 242.25 and […]",https://finnhub.io/api/news?id=0584cc638169c1710f338efeee5a6bea797627e0348fdc089d387b8b8ecd936f
company,1776965938,US High Growth Tech Stocks To Watch In April 2026,139866640,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLTR,Yahoo,"The United States market has shown robust performance with a 1.7% increase over the last week and a remarkable 34% rise over the past year, while earnings are anticipated to grow by 16% annually in the coming years. In this thriving environment, identifying high growth tech stocks involves focusing on companies that demonstrate strong innovation potential and scalability to capitalize on these favorable conditions.",https://finnhub.io/api/news?id=3eb2a9a069718cdef71e59b981094af9f4512085ccd3e4f4d2cf60fff047c4b0
company,1776963020,Palantir: AI No Longer A Differentiator,139868736,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2247553960/image_2247553960.jpg?io=getty-c-w1536,PLTR,SeekingAlpha,Palantir Technologies Inc. is rated Hold as AI rivals and recent Maven concerns pressure margins and valuation. Click for this PLTR stock update.,https://finnhub.io/api/news?id=98813ab3bc5fa63c006f5d9097e5fed0c04b94119a782ea31df26922da44d265
company,1776961113,DZ Bank Just Launched Palantir at Buy With a $175 Target: The AI Darling Gains Another Believer,139866286,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLTR,Yahoo,"Analysts at DZ Bank just put their stamp of approval on one of Wall Street’s most-watched AI names, launching coverage of Palantir Technologies (NASDAQ:PLTR) with a Buy rating and a $175 price target. A fresh initiation carries a different weight than a routine target hike. It means a new institutional voice has taken the time ... DZ Bank Just Launched Palantir at Buy With a $175 Target: The AI Darling Gains Another Believer",https://finnhub.io/api/news?id=260872671acd1492a43396933d6c079a7c8863c3c00d34b4f23754925a54e626
