category,datetime,headline,id,image,related,source,summary,url
company,1776986569,FreeCast Is Trending Overnight — Here's Why CAST Stock Surged Over 87% In The After-Hours Session,139879173,https://cdn.benzinga.com/files/images/story/2026/04/23/The-Finger-Is-Pointing-Or-Pressing-To-St_0.jpeg?width=2048&height=1536,PSKY,Benzinga,"FreeCast Inc. shares surge 87.50% after hours after signing a national distribution deal with DIRECTV Multifamily, expanding reach and opening a new revenue stream.",https://finnhub.io/api/news?id=22e2b96fdf69c2474295df920dc1403708746922554ad6948b2270ebfc258c6b
company,1776966606,"WBD Shareholders Vote Yes on Paramount, No to Paying Zaslav $800 Million",139866632,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,"The non-binding objection won't stop the payout, but it might slow the regulatory close",https://finnhub.io/api/news?id=9c2a154563ad0844ad552b3a5d55af2711ab8564fd8f2f13d1714172a4b3f219
company,1776963501,Warner Bros. Discovery shareholders approve Paramount takeover,139866633,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,"Warner Bros. Discovery shareholders have cleared the way for CNN, HBO and Warner’s other media brands to join Paramount Skydance later this year.",https://finnhub.io/api/news?id=1898763446db7a6ce969aca3006f5998465328d7a8cb3e8e7425cfb1023fcc0f
company,1776960170,Top Midday Stories: Tesla Shares Fall Despite Q1 Beats; ServiceNow Says Iran War Weighed on Q1 Subscription Revenue,139864678,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,"All three major US stock indexes were down slightly in late-morning trading Thursday, as investors c",https://finnhub.io/api/news?id=d60df085100be9182189323572a9f71e93428b0a6deeca11e81290a9d910aecc
company,1776959100,Shareholders 'overwhelmingly' approve Paramount takeover of Warner Bros,139864471,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,"The multibillion-pound Paramount Skydance acquisition of Warner Bros Discovery has come even closer to becoming a reality after shareholders voted to accept the offer.  The shareholders, who own Warner Bros Discovery (WBD), voted ""overwhelmingly"" to approve the adoption of the merger agreement with Paramount, WBD said.  A merger of WBD and Paramount Skydance is one of the biggest media deals in history, with significant impacts on TV, filmmaking and the possible future of the cinema.",https://finnhub.io/api/news?id=cbe226deb79e8e25385bd10347da9f96c6286ce9fd727bc3ac73a68850feb82a
company,1776956668,"Warner Bros. investors approve $110 billion sale to Paramount Skydance, following long battle with Netflix",139864205,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,Paramount Skydance is set to acquire Warner Bros. after shareholders approved the $110 billion transaction.,https://finnhub.io/api/news?id=897c7dc34580937cba848aeb3bd21bfa3b630822585c397b9c6091e44fab51a4
company,1776955255,What a combined Paramount-Warner would mean,139864681,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,"HBO Max, “Harry Potter” and CNN may soon find themselves under a new roof: Paramount. That's because shareholders of Warner Bros. Discovery on Thursday voted to sell the entire business to the company that owns CBS, along with blockbusters like “Top Gun.""",https://finnhub.io/api/news?id=40142f8ab3ead629f51683c2b61f34f0ab3be7936d84345788cd4f87bfae326e
company,1776954191,Warner Bros. shareholders approve controversial $111-billion Paramount takeover,139864253,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,The massive merger still needs approval by regulators in the U.S. and abroad; industry opposition has been growing.,https://finnhub.io/api/news?id=c56e20a94502f58e6c5f37015db3a4485ba85f57c3ecb958b547286bc2e7a91c
company,1776954104,Warner Bros shareholders approve $81 billion sale to Paramount in a mega merger that could vastly reshape Hollywood,139864474,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,Warner Bros shareholders approve $81 billion sale to Paramount in a mega merger that could vastly reshape Hollywood.,https://finnhub.io/api/news?id=f612bdd0c5397e5037787b98223fcd24c2742a097ea949a93b4635d8a0066daf
company,1776953400,Warner Bros. Discovery Stockholders Approve Transaction with Paramount Skydance,139864475,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,"Warner Bros. Discovery, Inc. (""WBD"" or the ""Company"") (NASDAQ: WBD) today announced that its stockholders voted to approve its previously announced transaction with Paramount Skydance Corporation (""Paramount"") (NASDAQ: PSKY) at the Company's Special Meeting of Stockholders (the ""Special Meeting"") held earlier today.",https://finnhub.io/api/news?id=491741282cc7e7f516fd334c2197de62fcc7dcd2381ac96d952085152d5a8865
company,1776951208,Warner Bros. Shareholders Approve $110 Billion Paramount Deal,139865750,,PSKY,Finnhub,Warner Bros. Discovery Inc. shareholders voted overwhelmingly to approve a $110 billion takeover by Paramount Skydance Corp . But this is not a done deal yet. Chris Palmeri reports....,https://finnhub.io/api/news?id=5e5931932296e8bbcebb4b67cf6babcdb4b0fb0f5d4d2d45394cfd4ae88497ed
