category,datetime,headline,id,image,related,source,summary,url
company,1776977353,"Roper Technologies, Inc. Q1 2026 Earnings Call Summary",139869613,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ROP,Yahoo,"Moby summary of Roper Technologies, Inc.'s Q1 2026 earnings call",https://finnhub.io/api/news?id=c1ec4eb0217c843b3f55ed5e921cb350a28ee7b6a29c5f8ff096aacf445e00a9
company,1776976641,Roper Technologies Q1 Earnings Call Highlights,139869614,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ROP,Yahoo,"Roper Technologies (NASDAQ:ROP) reported first-quarter 2026 results that exceeded management’s expectations across key metrics and prompted the company to raise its full-year earnings outlook, citing strong recurring revenue trends, steady retention, and continued momentum in enterprise software boo",https://finnhub.io/api/news?id=ca247f61db9f3b1be49de3af279b007533b1ef56217b8998ebba56af98f0bc15
company,1776957723,"Roper Technologies, Inc. 2026 Q1 - Results - Earnings Call Presentation",139867434,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,ROP,SeekingAlpha,"2026-04-23. The following slide deck was published by Roper Technologies, Inc.",https://finnhub.io/api/news?id=7f661dcecaec6fbf00bea93374a59cac15df91822482d5d0c77cd6fac38db394
company,1776957693,"Roper Technologies, Inc. (ROP) Q1 2026 Earnings Call Transcript",139867436,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,ROP,SeekingAlpha,"Roper Technologies, Inc. (ROP) Q1 2026 Earnings Call April 23, 2026 8:00 AM EDTCompany ParticipantsZack Moxcey - Vice President of Investor RelationsNeil...",https://finnhub.io/api/news?id=840aefc561235f132302052d31fd8b77bb7524e9918c6abcff11ac08f9e84d81
company,1776956820,"Roper Q1 Earnings Surpass Estimates, Application Software Sales Up Y/Y",139866534,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ROP,Yahoo,"ROP beats Q1 estimates as Application Software drives growth, prompting a higher 2026 outlook despite margin pressure and rising expenses.",https://finnhub.io/api/news?id=4539bf902fa86b190d78a1ff61386871e676f5468499ffd9729e5070f1f2cdff
company,1776956005,"Roper Technologies climbs on earnings beat, higher outlook and expanded buybacks",139864544,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ROP,Yahoo,"Roper Technologies, Inc. (NASDAQ:ROP) reported first-quarter results on Thursday that topped earnings expectations, while also lifting its full-year guidance and increasing its share repurchase program.",https://finnhub.io/api/news?id=3bba847aba367120fc5cef1798bcd89ea6e1eb557c316de79b1250a9c0164a89
company,1776951006,"Compared to Estimates, Roper Technologies (ROP) Q1 Earnings: A Look at Key Metrics",139864545,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ROP,Yahoo,"While the top- and bottom-line numbers for Roper Technologies (ROP) give a sense of how the business performed in the quarter ended March 2026, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://finnhub.io/api/news?id=e3b87d3ab28439701c5356931b2242a941c097e520fcd980d6593b74cb348353
company,1776949176,What's Behind The Jump In Roper Technologies Stock?,139867414,https://cdn.benzinga.com/files/images/story/2026/04/23/Financial-Graph-With-Uptrend-Line-Techno_1.jpeg?width=2048&height=1536,ROP,Benzinga,"Roper Technologies, Inc. (NYSE:ROP) shares rallied Thursday, after earnings reinforced steady software-driven cash flow.",https://finnhub.io/api/news?id=7e18bb8af5fedde50461d4a1d232831d959951a32be24cafb1bbe19784d0e5b1
company,1776948635,"Transcript : Roper Technologies, Inc., Q1 2026 Earnings Call, Apr 23, 2026",139865158,,ROP,Finnhub,"Presentation Operator MessageOperator Good morning. The Roper Technologies Conference Call will now begin. Today's call is being recorded. [Operator Instructions]I would now like to turn the call...",https://finnhub.io/api/news?id=4a8b9131e9468c0469e560c17de3216bceb8cd06571d33661b4231b9d4d488c8
company,1776947705,Get insights into the top movers in the S&P500 index of Thursday's pre-market session.,139861934,https://www.chartmill.com/images/uploads/CM_Premarket_Movers_Small_free_90289f6b81.webp,ROP,ChartMill,Curious about the S&P500 stocks that are showing activity before the opening bell on Thursday?,https://finnhub.io/api/news?id=797a75e76745e6c7b6ed23429da6b87bee212e8314f482a865435ce2d7a5a25e
company,1776946185,Roper Technologies raises 2026 profit forecast as AI demand boosts software sales,139862971,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ROP,Yahoo,"Roper Technologies raised full-year profit forecast on Thursday, pointing to steady demand ‌for its software products as artificial intelligence adoption ‌gains momentum across its customer base, sending its shares up ​about 6% before the bell. The Sarasota, Florida-based company expects 2026 adjusted profit to be between $21.80 and $22.05 per share, compared with $21.30 to $21.55 per share forecast earlier. Roper, ‌which caters to ⁠sectors such as healthcare, transportation and education, has benefited as businesses turned to ⁠AI to automate routine and administrative tasks.",https://finnhub.io/api/news?id=6b3f81c092cb27ae54ca3d19a4b48326fc3004551bc6295d4ce99fb417b365c5
company,1776945902,Roper Technologies (ROP) Q1 Earnings and Revenues Surpass Estimates,139862972,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ROP,Yahoo,"Roper Technologies (ROP) delivered earnings and revenue surprises of +3.73% and +2.23%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=bdd6857510d4a617b8e8d3e197e9db66669aa1d43134890db023e13e41e9ded1
company,1776941700,Roper Technologies announces first quarter financial results,139861354,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ROP,Yahoo,"Increases full year DEPS guidance and expands share repurchase programSARASOTA, Fla., April 23, 2026 (GLOBE NEWSWIRE) -- Roper Technologies, Inc. (Nasdaq: ROP) reported financial results for the first quarter ended March 31, 2026. First quarter 2026 highlights Revenue increased 11% to $2.10 billion; organic revenue was +6% and acquisition contribution was +5%GAAP net earnings increased 54% to $509 million; adjusted net earnings increased 4% to $539 millionAdjusted EBITDA increased 8% to $797 mil",https://finnhub.io/api/news?id=cc13f6c5330b47127aeec1e7e85eec79df90fa731404147d7758c626a055a8c6
company,1776937950,"Roper Technologies, Inc. announces an Increase in Equity Buyback.",139862544,,ROP,Finnhub,"On April 23, 2026, the company announced an increase in its equity buyback plan. The company increased its authority by $3,000 million, thereby bringing the total authorization to $6,000 million....",https://finnhub.io/api/news?id=0437415239794ea41c6f53880e33b34422fd48be3977cafd4bb39b62a631ab1f
company,1776937891,"Tranche Update on Roper Technologies, Inc.'s Equity Buyback Plan announced on October 23, 2025.",139862547,,ROP,Finnhub,"From January 1, 2026 to April 23, 2026, the company has repurchased 4,879,000 shares, representing 4.58% for $1,700.18 million. With this, the company has completed the repurchase of 6,000,000 shares,...",https://finnhub.io/api/news?id=74ecfb7f1d134d9d28fb85fcd0559ee7b86d71c13b07474b706e2aad2d409423
company,1776936869,Roper Techs Q1 2026 Earnings Call Transcript,139867415,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_4.jpg?width=2048&height=1536,ROP,Benzinga, ,https://finnhub.io/api/news?id=f43d47d1987eb9d2865867733657abdd92392cf08814f957fe908d45a89b84e6
company,1776933382,"Roper Technologies, Inc. Reports Earnings Results for the First Quarter Ended March 31, 2026",139861873,,ROP,Finnhub,"Roper Technologies, Inc. reported earnings results for the first quarter ended March 31, 2026. For the first quarter, the company reported sales was USD 2,095.3 million compared to USD 1,882.8 million...",https://finnhub.io/api/news?id=abe2d25acf1329754e2f85fe605f0ddecf9d9ec37d1140e9d3030b875d6db547
company,1776928388,Roper Technologies: Q1 Earnings Snapshot,139860747,,ROP,Finnhub,"SARASOTA, Fla. — SARASOTA, Fla. — Roper Technologies Inc. on Thursday reported first-quarter earnings of $508.9 million. On a per-share basis, the Sarasota, Florida-based company said it had...",https://finnhub.io/api/news?id=36bb3e50f5946608eaa4678c805bd04989a5820467f29896d66d9bc75a553b2c
company,1776928289,"Earnings Scheduled For April 23, 2026",139863224,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,ROP,Benzinga, ,https://finnhub.io/api/news?id=8c563fc2379fa00c5d61da639c5622b1afb5e4f0e546029b6c462f78a95936f6
company,1776928148,Roper Technologies Raises FY2026 Adj EPS Guidance from $21.30-$21.55 to $21.80-$22.05 vs $21.47 Est,139867417,,ROP,Benzinga,Roper Technologies (NASDAQ:ROP) raises FY2026 Adj EPS guidance from $21.30-$21.55 to $21.80-$22.05 vs $21.47 analyst estimate..,https://finnhub.io/api/news?id=5f0ab954d8f6adeca9970d4766e22e0c72aadc752942a8cf203644c0d7c47240
company,1776928105,Roper Technologies Raises FY2026 GAAP EPS Guidance from $15.20-$15.45 to $16.67-$16.92 vs $15.80 Est,139867418,,ROP,Benzinga,Roper Technologies (NASDAQ:ROP) raises FY2026 GAAP EPS guidance from $15.20-$15.45 to $16.67-$16.92 vs $15.80 analyst estimate..,https://finnhub.io/api/news?id=246bf7ce7bc593edfbffd76bbcf133257d1fcc81cea0ce749f9aeeefa3f3c298
company,1776928086,Roper Technologies Sees Q2 GAAP EPS $3.64-$3.69 vs $4.01 Est,139867419,,ROP,Benzinga,Roper Technologies (NASDAQ:ROP) is looking for Q2 GAAP EPS of $3.64-$3.69 vs $4.01 analyst estimate..,https://finnhub.io/api/news?id=d49831d5907e18a94c4f18499cb6f8a2d5a9175e80c0dcc85a3fe616e514e203
company,1776927631,Roper Technologies Sees Q2 Adj EPS $5.25-$5.30 vs $5.29 Est,139867420,,ROP,Benzinga,Roper Technologies (NASDAQ:ROP) is looking for Q2 Adj EPS of $5.25-$5.30 vs $5.29 analyst estimate..,https://finnhub.io/api/news?id=cc18cfde492603f2c07fabf02a4bca36f72fc201a7bb6b6581f2621cb6e6d491
company,1776927543,"Roper Techs Q1 Adj. EPS $5.16 Beats $4.98 Estimate, Sales $2.095B Beat $2.072B Estimate",139867421,,ROP,Benzinga,Roper Techs (NASDAQ:ROP) reported quarterly earnings of $5.16 per share which beat the analyst consensus estimate of $4.98 by 3.61 percent. This is a 7.95 percent increase over earnings of $4.78 per share from the same,https://finnhub.io/api/news?id=3ad16e63ef4cdcd31f580a3b6cefaec7f292a8955412a61d0e8f24920650ad7e
