category,datetime,headline,id,image,related,source,summary,url
company,1776974820,Starbucks rival challenges coffee giant's dominance,139869542,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SBUX,Yahoo,"Since the mid-’90s, Starbucks has dominated the retail coffee scene. With nearly 17,000 U.S. locations, according to ScrapeHero, it’s far and away the largest coffee chain in the country. But in recent years, a number of companies have started to challenge that dominance. Dunkin’ now has more than ...",https://finnhub.io/api/news?id=dbbb154cc8c47f39adf91333d2aec000d79be2a27bd3a2825d93e65e36588b07
company,1776960989,Starbucks new loyalty program attracting value-seeking customers,139866405,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SBUX,Yahoo,"Early data shows the coffee chain's new 60-star redemption option has become its most popular, with more than a quarter of all redemptions opting for $2 off",https://finnhub.io/api/news?id=b03a6e922a0cf0b11f6dd0885b411034943bfa23813f8e84b8857f85360e5cad
company,1776953620,Lululemon investors sour on new CEO pick as the stock sinks,139864110,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SBUX,Yahoo,Lululemon (LULU) announced on Wednesday that former Nike (NKE) executive Heidi O’Neill will become the brand's next CEO starting in September. The stock has fallen slightly since reporting this news. Yahoo Finance Senior Reporter Brooke DiPalma outlines the investor reaction and what this all means for Lululemon's turnaround plan.,https://finnhub.io/api/news?id=2b692a9a30b4efb60e734033adee804160062c59b4e021571722695c8b3ac9b3
company,1776950154,"Final Trades: Starbucks, Digital Realty and Trane Technologies",139865790,https://image.cnbcfm.com/api/v1/image/108296356-17769636831776963680-45461195178-1080pnbcnews.jpg?v=1776963682&w=1920&h=1080,SBUX,CNBC,The Investment Committee give you their top stocks to watch for the second half.,https://finnhub.io/api/news?id=79a53c378417ffacb3f65cf0dec7d3c36db8c2600896a6eafd73a9a8b2a537b5
company,1776950104,Seeking Clues to Starbucks (SBUX) Q2 Earnings? A Peek Into Wall Street Projections for Key Metrics,139864380,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SBUX,Yahoo,Get a deeper insight into the potential performance of Starbucks (SBUX) for the quarter ended March 2026 by going beyond Wall Street's top-and-bottom-line estimates and examining the estimates for some of its key metrics.,https://finnhub.io/api/news?id=1fc2d1c7df84f48baad2fa44f728b47e6ef83aaf60caacc47dd8b7a1a7ca556d
company,1776949658,What's Behind The Jump In Starbucks Stock?,139876706,https://cdn.benzinga.com/files/images/story/2026/04/23/London--Uk---July-22--2024-Starbucks-Caf.jpeg?width=2048&height=1536,SBUX,Benzinga,Shares of Starbucks (NASDAQ:SBUX) are rising after the company announced that it selected Nashville as its new Southeast corporate office.,https://finnhub.io/api/news?id=099df5072cd5afb2aeceadb19a35031f651b1143476a21bb0f1d87306d2fa194
company,1776949278,"CNBC Halftime Report Final Trades: Starbucks, Trane Technologies, Digital Realty Trust",139870264,,SBUX,Benzinga,,https://finnhub.io/api/news?id=4d996b2e7996d08e547a3efd704b349525c876bbccf55d41a13ce131c818dfd9
company,1776942001,Starbucks' loyalty program changes are drawing value-conscious customers,139865791,https://image.cnbcfm.com/api/v1/image/108259100-1769711863933-gettyimages-2237014994-STARBUCKS_CUTS.jpeg?v=1769711887&w=1920&h=1080,SBUX,CNBC,Starbucks made some major changes to its long-standing loyalty program last month.,https://finnhub.io/api/news?id=6f743626c988e88282204f833cae689635d6ecdb5e191551f118da1e8f2d3184
company,1776939283,Starbucks Q2 FY26 Results Preview: The Market Is Warming Up To Niccol's Turnaround,139863316,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1298770966/image_1298770966.jpg?io=getty-c-w1536,SBUX,SeekingAlpha,"Starbucks (SBUX) turnaround: YTD outperformance, Q2 FY26 EPS range $0.39â$0.54, and a potential inflection with 3â4% comps and margin recoveryâread now.",https://finnhub.io/api/news?id=620ec3c622e4c91a7cc28b77dcbc84f0213c4fcbb40f042a480d16ecdacb7003
company,1776911682,Alibaba Adds China Eastern Flight Booking to Flagship Qwen App,139857478,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SBUX,Yahoo,"(Bloomberg) -- Alibaba Group Holding Ltd.’s Qwen AI app now helps users book China Eastern Airlines Corp. flights directly, the first time it’s opened its agentic AI technology to a major commercial partner.Most Read from BloombergAnthropic’s Mythos Model Is Being Accessed by Unauthorized UsersInside Alex Cooper’s Unwell: Tears, Screaming and Employees Looking for the ExitTrump Encourages Companies Not to Seek Tariff RefundsTrump Extends Iran Ceasefire, Keeps Blockade as Talks FalterUkraine’s Ri",https://finnhub.io/api/news?id=4395c153ebca9b79766c276237d9ca130571ca9d1cd63e8d09f4cfad9fe7bae2
company,1776910594,Nestlé Extends Starbucks K Cup Alliance As Shares Trade Below Targets,139857479,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SBUX,Yahoo,"Nestlé has expanded its partnership with Keurig Dr Pepper to manufacture and distribute Starbucks branded K Cup pods in North America. The renewed agreement builds on Nestlé’s global licensing arrangement with Starbucks and targets the at home coffee market. The deal focuses on wider distribution and new product development for Starbucks branded single serve coffee formats. Nestlé (SWX:NESN), trading at CHF75.54, is leaning further into coffee, a category where it already has a significant...",https://finnhub.io/api/news?id=7b5da4e466fc3ef54a546ec33d9a314a1083d23fbae3c1e129310f9ab0b3e055
