category,datetime,headline,id,image,related,source,summary,url
company,1776975480,Schwab Declares Quarterly Common Stock Dividend and Declares Preferred Stock Dividends,139869520,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SCHW,Yahoo,"WESTLAKE, Texas, April 23, 2026--The Board of Directors of The Charles Schwab Corporation at its meeting today declared a regular quarterly cash dividend of $0.32 per common share.",https://finnhub.io/api/news?id=fe5ddde3165e5263853a2acab472dd0d58e90df46ca096fc0165712702d861fd
company,1776958527,"Shares of companies in the broader financial sector are trading lower amid overall market weakness, as investors react to reports that air defenses were activated in Tehran and to President Trump's social media post.",139867610,,SCHW,Benzinga,,https://finnhub.io/api/news?id=ef74d45fe02320fc07fcdacc8fd37eacff45e11cc64273fa092c99bab6e19258
company,1776954000,"Raymond James Q2 Earnings Beat on Higher Revenues, Cost Woes Remain",139864285,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SCHW,Yahoo,"RJF tops Q2 earnings estimates on record revenues and asset growth, but rising expenses temper gains as costs climb across most components.",https://finnhub.io/api/news?id=a4d1b011885fdc0c609e1a3828d656b952063071b0732479f208460de1373eed
company,1776951360,Robinhood's Q1 Earnings Preview: Buy the Dip or Maintain Caution?,139864336,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SCHW,Yahoo,"HOOD heads into Q1 2026 earnings with sales seen up 26%, but crypto slump, rising expenses and a premium valuation cloud the setup. Is the stock a buy?",https://finnhub.io/api/news?id=143f8a72121be7b62f1b9dadf5621182abebaffc041c7d74e2a31ae2566d27f1
company,1776951335,9 Financials Stocks With Whale Alerts In Today's Session,139866738,https://cdn.benzinga.com/files/images/story/2025/11/06/aggregated_options_1.jpg?width=2048&height=1536,SCHW,Benzinga, ,https://finnhub.io/api/news?id=8e3797bd102948929db15e150cd9d95330ce65e94c3ffa437bcdb83c75691908
company,1776942180,Schwab hits a nerve that will sting every future retiree,139861230,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SCHW,Yahoo,"Most people reach their sixties with strong opinions about money, but one topic still blindsides even the most prepared people almost every single time. The mistake tends to compound over decades of retirement and often costs tens of thousands of dollars before any retiree fully notices it. New ...",https://finnhub.io/api/news?id=c446316c702aa6859f381c7bc8426f8447a15f731d4641e4bb3dca7ba53c34b3
company,1776941603,5 Revealing Analyst Questions From Charles Schwab’s Q1 Earnings Call,139861231,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SCHW,Yahoo,"Charles Schwab’s first quarter results reflected broad-based client engagement and continued expansion across its wealth, trading, and banking platforms. Management attributed performance to strong net new asset inflows, robust activity in managed investing, and record daily average trading volumes despite heightened market volatility. CEO Richard Wurster highlighted that “clients opened 1.3 million brokerage accounts, up 10% over last year,” and emphasized the firm’s commitment to meeting inves",https://finnhub.io/api/news?id=d26bc8b44027144dcdfde647e8157120798ebea848f6d9554acf51355b5b5dfb
company,1776929735,'CAR' crash: Avis Budget stock plunge reminding some on Wall Street of GameStop,139865732,https://image.cnbcfm.com/api/v1/image/107372560-1707775963927-gettyimages-543536086-1006_40_au140313159.jpeg?v=1707776158&w=1920&h=1080,SCHW,CNBC,"Shares of Avis Budget Group, ticker 'CAR,' soared from under $100 last month to a record high near $850 in early trading Wednesday before a sharp U-turn lower intraday.",https://finnhub.io/api/news?id=bc09a1cdf8b3d5b76ffe4143744c01e5f2b52a114ee8f533456444d92be830aa
company,1776926705,Joe Mazzola: Earnings have been better than many expected so far,139865593,https://image.cnbcfm.com/api/v1/image/108296036-5ED1-MC-Joe-042326.jpg?v=1776940770&w=1920&h=1080,SCHW,CNBC,"Joe Mazzola, Head of Trading and Derivatives Strategist at Charles Schwab, says earnings beat expectations early, but retail investors remain cautious as markets await Q2 guidance and broader participation",https://finnhub.io/api/news?id=914f9f20dc3ee44bc20d2f9b8f2639b711a39f459140e31d83f859ffe4bd073f
company,1776916920,AI Investments Zero In on Estate Planning With Wealth.com’s $65M Round,139866364,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SCHW,Yahoo,The estate and tax planning segment has become one of the fastest-growing tech categories in financial planning.,https://finnhub.io/api/news?id=d3175f3ce814fa167dc78059d350aabe893f044d2f477310ad37a229e14dc1de
