category,datetime,headline,id,image,related,source,summary,url
company,1776967503,What's going on in today's session: S&P500 most active stocks,139866867,https://www.chartmill.com/images/uploads/CM_Most_Active_Stocks_Small_free_fec0650b7f.webp,SMCI,ChartMill,Looking for the most active S&P500 stocks in today's session? Join us as we dive into the US markets on Thursday and discover the stocks that are dominating the trading activity and setting the pace for the market.,https://finnhub.io/api/news?id=30e9cff0551a57c44735b990b40d5f194b02f8522aeb9f9c65e6d6beaaa71fe5
company,1776966363,Oracle Deal Collapse Sends Super Micro Stock Tumbling,139866170,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SMCI,Yahoo,Super Micro Plunges After Oracle Cancels Major AI Server Deal,https://finnhub.io/api/news?id=119d3dca80b9c2177f2e7121e5eddee89e73259f62678311eb1042b1a7b0905d
company,1776965474,Super Micro Falls on Oracle Contract Report,139866171,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SMCI,Yahoo,Shares drop after report of potential loss of major deal raises concerns.,https://finnhub.io/api/news?id=4c484b2ec5be9aedf9f2cee3917420252ce56393d381a8fa1b1acf48815d0f87
company,1776964500,BUZZ Investing: April Rebound Calms A March Washout,139868972,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2108172267/image_2108172267.jpg?io=getty-c-w1536,SMCI,SeekingAlpha,U.S. equity markets experienced continued volatility and a broad-based defensive retrenchment through much of the recent period. Read more here.,https://finnhub.io/api/news?id=90ad026d13252f9e42316358a4e9607959bb3b0770608617e7a241bb5c40edce
company,1776959107,Shares of companies in the broader tech sector are trading lower amid possible sympathy with ServiceNow and IBM.,139867620,,SMCI,Benzinga,,https://finnhub.io/api/news?id=07505da7f757ef9cdebcfe124aae296dc659a8a9b64b138d963c6b84396a86fb
company,1776957761,Why Super Micro Stock Just Dropped,139864088,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SMCI,Yahoo,Super Micro got hit by a double-whammy of bad news in a tech report today.,https://finnhub.io/api/news?id=55652fe42559100301a7d170b18ddec51889008e3b747087e5174819d0fbb7a9
company,1776955869,Why Oracle Stock Just Dropped,139864092,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SMCI,Yahoo,Oracle has at least a couple good reasons to be leery of Super Micro right now.,https://finnhub.io/api/news?id=30dc667df7d126bf4f0c5eedd7bb5d44bde47bbacdcc867bdb9fc97790bbf7c7
company,1776953385,Super Micro drops 10% after reported loss of major Oracle contract,139864103,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SMCI,Yahoo,"Super Micro Computer (NASDAQ:SMCI) shares fell 10% on Thursday following reports that the company lost a sizable contract with Oracle involving Nvidia (NASDAQ:NVDA) GB300 NVL72 server racks. Contract cancellation worth over $1 billionAccording to Bluefin Research, Oracle canceled between 300 and 400 racks previously ordered from Super Micro, with each unit valued at roughly $3.",https://finnhub.io/api/news?id=b3f3402679e92e02a55e3d9892b353c9ab52c07901ffba3b67184a67e26de32f
company,1776952539,Is Dell Stock An Under-Analyzed Capital Compounder Opportunity?,139864485,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SMCI,Yahoo,"Dell Technologies (DELL) operates as a capital compounder, a business model defined by the systematic reduction of shares outstanding. Over the last twelve months, the company reduced its share count by 6.0%, funded by a record $7.5 billion returned to shareholders in FY2026.",https://finnhub.io/api/news?id=ac6cb9c36920bdbe7d3c0ae3a8a85217366537bf1719ce11fe6ab6ef6ab81393
company,1776952383,"Super Micro Computer Stock Plunges on Lost Oracle Contract, but Supply Chain Excesses Could Be the Bigger Problem for SMCI",139867963,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SMCI,Yahoo,"As investors panic over a lost contract between Super Micro Computer and Oracle, recent supply chain intelligence suggests a much bigger problem exists with its inventory, as slowing business with xAI and other customers weigh on near-term revenue.",https://finnhub.io/api/news?id=f500b5406a9aad294429d58f8791f1251cbbcf89f8dcff4d987daf0bbf60ccae
