category,datetime,headline,id,image,related,source,summary,url
company,1776966060,"Snap-on Q1 Earnings & Revenues Beat Estimates, Organic Sales Rise 3.4%",139868020,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNA,Yahoo,"SNA tops Q1 estimates with rising sales and earnings, showing resilience amid trade uncertainty and steady demand across key segments.",https://finnhub.io/api/news?id=a0b73bba511ad0119f8afda73bc8df9d177eb9c3a2e0bc55ba72511d13ed095e
company,1776963027,Snap-on Incorporated Q1 2026 Earnings Call Summary,139866584,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNA,Yahoo,Moby summary of Snap-on Incorporated's Q1 2026 earnings call,https://finnhub.io/api/news?id=f925d98a0aa31076473592854f5b921be266d7c59fc9756cdfcced59f5850ea5
company,1776959519,Snap-on Incorporated (SNA) Q1 2026 Earnings Call Transcript,139867751,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,SNA,SeekingAlpha,"Snap-on Incorporated (SNA) Q1 2026 Earnings Call April 23, 2026 10:00 AM EDTCompany ParticipantsSara Verbsky - Vice President of Investor RelationsNicholas...",https://finnhub.io/api/news?id=38fe671f44f995e582c095fde3f622a1895645989a3487d64106c2890aa19b30
company,1776959462,"Average Vehicle Age Hits 12.8 years, Snap-On Sees Tool Demand",139877250,https://cdn.benzinga.com/files/images/story/2026/04/23/Snap-on-Sign--Logo--Snap-on-Incorporated.jpeg?width=2048&height=1536,SNA,Benzinga,"Snap-on Q1 results show revenue beat, earnings miss, strong sales growth, and stock rising after release amid mixed performance.",https://finnhub.io/api/news?id=13e3dc249862f9143383790e166508aac9922e9a89f49118c404452f0dd1984f
company,1776951009,Snap-On (SNA) Q1 Earnings: How Key Metrics Compare to Wall Street Estimates,139864615,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNA,Yahoo,"While the top- and bottom-line numbers for Snap-On (SNA) give a sense of how the business performed in the quarter ended March 2026, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://finnhub.io/api/news?id=d5ad0ec951c5d8884d40c43d7c2a0a8339fb98a1d89bd7129d09d9be1ff21ff2
company,1776944402,Snap-On (SNA) Q1 Earnings and Revenues Beat Estimates,139863050,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNA,Yahoo,"Snap-On (SNA) delivered earnings and revenue surprises of +0.26% and +2.53%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=565ddf31cc45e394b4f23589168dfcb60dc42f040a4ccb4375ab22c26ad71b0c
company,1776944134,"Transcript : Snap-on Incorporated, Q1 2026 Earnings Call, Apr 23, 2026",139863857,,SNA,Finnhub,"Presentation Operator MessageOperator Good day, and welcome to the Snap-on Inc. 2026 First Quarter Results Conference Call. [Operator Instructions] Please note, this event is being recorded. I",https://finnhub.io/api/news?id=ffc76621047dc42928d00a19943218770f04766be24913428b36ee13c73c0263
company,1776943995,Snap-on (NYSE:SNA) Misses Q1 CY2026 Sales Expectations,139861433,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNA,Yahoo,"Professional tools and equipment manufacturer Snap-on (NYSE:SNA) fell short of the market’s revenue expectations in Q1 CY2026, with sales falling 2.9% year on year to $1.21 billion. Its GAAP profit of $4.69 per share was 1.2% below analysts’ consensus estimates.",https://finnhub.io/api/news?id=a8059794f0e1b4e326a7e3f5287907eeaf950436914b8dbc317f4531859354cc
company,1776943926,Snap-on Reports Q1 2026 Results: Full Earnings Call Transcript,139877251,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_3.jpg?width=2048&height=1536,SNA,Benzinga, ,https://finnhub.io/api/news?id=90f3359a11e73695cf8de477ba94d47ab4b7e43e4e03fc182ef2bffd4c87de4f
company,1776940478,Snap-on Incorporated 2026 Q1 - Results - Earnings Call Presentation,139863363,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,SNA,SeekingAlpha,2026-04-23. The following slide deck was published by Snap-on Incorporated in conjunction with their 2026 Q1 earnings call.,https://finnhub.io/api/news?id=8e475c832763d714985526017e1196807aec41fa15a787662d3ef0053d492b66
