category,datetime,headline,id,image,related,source,summary,url
company,1776973774,SanDisk Climbs 295% YTD as AI Fuels Memory Mania: Can Q1 Results Justify the Run?,139869410,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNDK,Yahoo,"Shares of SanDisk (NASDAQ:SNDK) are trading near $930 in Thursday’s session, down roughly 5% on the day. The pullback cools an extraordinary 295% year-to-date (YTD) rally that has made SNDK one of the hottest AI-exposed names in the technology sector. The current SNDK share price sits almost directly on top of the $928 analyst consensus ... SanDisk Climbs 295% YTD as AI Fuels Memory Mania: Can Q1 Results Justify the Run?",https://finnhub.io/api/news?id=dc1d5b6894b7983e0802dd79459a75275f69a82bfd92e2c8f111e81d22e6efd8
company,1776971100,This Stock May Be the Simplest Way to Double Your Money by 2027,139867884,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNDK,Yahoo,Sandisk's phenomenal earnings growth potential means that the stock's rally is far from over.,https://finnhub.io/api/news?id=6f234dc40b240ff379f7fb27459778398a6aede44d01703d714f412c7637c26f
company,1776965938,US High Growth Tech Stocks To Watch In April 2026,139866640,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNDK,Yahoo,"The United States market has shown robust performance with a 1.7% increase over the last week and a remarkable 34% rise over the past year, while earnings are anticipated to grow by 16% annually in the coming years. In this thriving environment, identifying high growth tech stocks involves focusing on companies that demonstrate strong innovation potential and scalability to capitalize on these favorable conditions.",https://finnhub.io/api/news?id=3eb2a9a069718cdef71e59b981094af9f4512085ccd3e4f4d2cf60fff047c4b0
company,1776960248,Micron: The AI-Driven Structural Revaluation Unlocks Further Upside,139868100,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2260318012/image_2260318012.jpg?io=getty-c-w1536,SNDK,SeekingAlpha,"Micron Technology, Inc. stock: AI-driven memory demand may shift valuation, with tight DRAM/NAND supply beyond 2026. Click for more on MU stock prospects.",https://finnhub.io/api/news?id=89eb25d8485867bcdc5315fcd90790c56ff91c73870198fc0527e90a3ee8ec2c
company,1776959374,These 6 S&P 500 Stocks Are Up Over 100% In 2026: They're All In The Same Trade,139867625,https://cdn.benzinga.com/files/images/story/2026/04/23/Senior-Broker-Analyzing-Stock-Market-Dat.jpeg?width=2048&height=1536,SNDK,Benzinga,Six S&amp;P 500 stocks have doubled in 2026 and they all sit in one trade: the physical layer of AI. Four report earnings next week.,https://finnhub.io/api/news?id=5883af38eed13839795ce340cfc045078dd8336187ae7772e255465904b0409d
company,1776959107,Shares of companies in the broader tech sector are trading lower amid possible sympathy with ServiceNow and IBM.,139867620,,SNDK,Benzinga,,https://finnhub.io/api/news?id=07505da7f757ef9cdebcfe124aae296dc659a8a9b64b138d963c6b84396a86fb
company,1776958980,SNDK's Rides on End-Market Diversification: Is the Model Paying Off?,139866378,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNDK,Yahoo,"Sandisk's diversified model gains traction as AI-driven datacenter demand, steady edge growth and consumer strength boost revenue resilience and visibility.",https://finnhub.io/api/news?id=972746191bddfc408c24c7b1cfddf1e7310fcbc1924f11aeca82d11ece366165
company,1776956907,Semiconductor stocks like Nvidia and Micron are on a remarkable streak,139864090,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNDK,Yahoo,It's a wow moment for semiconductor stocks.,https://finnhub.io/api/news?id=7a961d7127142e2eec2a75e0e6f48660148e29a5bd0bd662a6f1381af810dc36
company,1776956386,Cramer Names 'The Stocks That Got Away' — SanDisk Is Number 1,139867581,https://cdn.benzinga.com/files/images/story/2026/04/23/Jim-Cramer--AI-Is-Bigger-Than-Rate-Cuts.jpeg?width=2048&height=1536,SNDK,Benzinga,"Jim Cramer names stocks that he regrets not buying, with SanDisk at the top of the list.",https://finnhub.io/api/news?id=804fe64420346f65b13912530a93e03141c24f37bda0212b3591410c2bd164e6
company,1776956110,Why SanDisk Stock Is Retreating From Wednesday's All-Time Highs,139876988,https://cdn.benzinga.com/files/images/story/2026/04/23/SanDisk-Bangkok--Thailand---February-05-.jpeg?width=2048&height=1536,SNDK,Benzinga,SanDisk Corp (NASDAQ: SNDK) shares are trading lower Thursday afternoon as risk-off flows lifted oil on Hormuz tensions and pressured tech.,https://finnhub.io/api/news?id=11cde6c9f90c78a354d8b862adb29e7c8ab3cf0c76b6465448a7ea521e250326
