category,datetime,headline,id,image,related,source,summary,url
company,1776973774,SanDisk Climbs 295% YTD as AI Fuels Memory Mania: Can Q1 Results Justify the Run?,139869410,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,"Shares of SanDisk (NASDAQ:SNDK) are trading near $930 in Thursday’s session, down roughly 5% on the day. The pullback cools an extraordinary 295% year-to-date (YTD) rally that has made SNDK one of the hottest AI-exposed names in the technology sector. The current SNDK share price sits almost directly on top of the $928 analyst consensus ... SanDisk Climbs 295% YTD as AI Fuels Memory Mania: Can Q1 Results Justify the Run?",https://finnhub.io/api/news?id=dc1d5b6894b7983e0802dd79459a75275f69a82bfd92e2c8f111e81d22e6efd8
company,1776970800,"Tradr Set to Launch Leveraged ETFs on AXTI, CPNG, MPWR and STX",139867891,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,"NEW YORK, April 23, 2026--Tradr ETFs announces the launch of 2X long leveraged ETFs on AXTI, CPNG, MPWR and STX.",https://finnhub.io/api/news?id=755dd20127bba39eff5edd0bc846c54b42a68aba4baf5835f422752186ed1c4a
company,1776965462,Defiance Launches 2X Leveraged Seagate ETF As Storage Stock Rides AI Boom,139878862,https://cdn.benzinga.com/files/images/story/2026/04/23/Nov-24--2019-Cupertino-----Ca-----Usa---.jpeg?width=2048&height=1536,STX,Benzinga,"STXL ETF offers 2x daily exposure to Seagate Technology, offering a leveraged way to tap the AI-driven data storage boom.",https://finnhub.io/api/news?id=93fd9ddf9851862ac21e29e57771c602ef13903eebe8a89e514cdbb0812cc649
company,1776960248,Micron: The AI-Driven Structural Revaluation Unlocks Further Upside,139868100,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2260318012/image_2260318012.jpg?io=getty-c-w1536,STX,SeekingAlpha,"Micron Technology, Inc. stock: AI-driven memory demand may shift valuation, with tight DRAM/NAND supply beyond 2026. Click for more on MU stock prospects.",https://finnhub.io/api/news?id=89eb25d8485867bcdc5315fcd90790c56ff91c73870198fc0527e90a3ee8ec2c
company,1776959374,These 6 S&P 500 Stocks Are Up Over 100% In 2026: They're All In The Same Trade,139867625,https://cdn.benzinga.com/files/images/story/2026/04/23/Senior-Broker-Analyzing-Stock-Market-Dat.jpeg?width=2048&height=1536,STX,Benzinga,Six S&amp;P 500 stocks have doubled in 2026 and they all sit in one trade: the physical layer of AI. Four report earnings next week.,https://finnhub.io/api/news?id=5883af38eed13839795ce340cfc045078dd8336187ae7772e255465904b0409d
company,1776958980,SNDK's Rides on End-Market Diversification: Is the Model Paying Off?,139866378,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,"Sandisk's diversified model gains traction as AI-driven datacenter demand, steady edge growth and consumer strength boost revenue resilience and visibility.",https://finnhub.io/api/news?id=972746191bddfc408c24c7b1cfddf1e7310fcbc1924f11aeca82d11ece366165
company,1776956386,Cramer Names 'The Stocks That Got Away' — SanDisk Is Number 1,139867581,https://cdn.benzinga.com/files/images/story/2026/04/23/Jim-Cramer--AI-Is-Bigger-Than-Rate-Cuts.jpeg?width=2048&height=1536,STX,Benzinga,"Jim Cramer names stocks that he regrets not buying, with SanDisk at the top of the list.",https://finnhub.io/api/news?id=804fe64420346f65b13912530a93e03141c24f37bda0212b3591410c2bd164e6
company,1776950751,AI Memory Shortage Sparking 'Red-Hot' Rally: Why Jim Cramer Says Micron is Just Getting Started,139867627,https://cdn.benzinga.com/files/images/story/2026/04/23/Micron-Technology-Logo-Displayed-On-A-Mo.jpeg?width=2048&height=1536,STX,Benzinga,Micron shares hover near 52-week highs as a global AI memory shortage sends the stock up over 574% in a year.,https://finnhub.io/api/news?id=00d340bbb37a74051258b17aff357bcc73805fb3e80183cce93ea0e739facdcd
company,1776949200,Defiance Launches STXL: 2X Leveraged ETF on Seagate Technology Holdings plc,139862831,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,"Defiance Launches STXL: 2X Leveraged ETF on Seagate Technology Holdings plc. Defiance ETFs today announced the launch of the Defiance Daily Target 2X Long STX ETF (STXL), expanding its lineup of single-stock leveraged ETFs designed for active traders seeking amplified exposure to individual equities. MIAMI, April 23, 2026 (GLOBE NEWSWIRE) -- Defiance ETFs today announced the launch of the Defiance Daily Target 2X Long STX ETF (STXL), expanding its lineup of single-stock leveraged ETFs designed f",https://finnhub.io/api/news?id=b1f626b8aaad86c4e22dc41e3cd20dd331f9b0842d61df1c642c10a43f10e2b3
company,1776945246,Jim Cramer on Micron: “The Demand Is the Strongest I’ve Ever Seen”,139862678,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,"Micron Technology, Inc. (NASDAQ:MU) was among Jim Cramer’s stock calls on Mad Money recently. Cramer highlighted the company’s stock price action during the year, as he stated: What we’re measuring is what was up the most since the close on March 30th. That was the day that the broader market bottomed until the close last […]",https://finnhub.io/api/news?id=7f758bbd6c96343a4300457bf98ccf1db1bb69790f0ffdfab4188cd71de1f061
