category,datetime,headline,id,image,related,source,summary,url
company,1776973744,Here's How Much You Would Have Made Owning TE Connectivity Stock In The Last 15 Years,139880702,,TEL,Benzinga, ,https://finnhub.io/api/news?id=8b4b55ecd230fd1ff93a70bdebe77c4ee6f467cb43e3267e69f3b23ac24b3159
company,1776962700,Should Amphenol Stock Be in Your Portfolio Pre-Q1 Earnings?,139867859,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TEL,Yahoo,"APH eyes Q1'26 with EPS seen rising 44-48% and sales increasing 43-45%, as AI, defense demand and acquisitions fuel order momentum.",https://finnhub.io/api/news?id=cc19bd06ebba42556394c1f67f28f5fbc77ace567e8489d649ab61bd8b2f851b
company,1776962412,"UBS Maintains Buy on TE Connectivity, Lowers Price Target to $261",139880703,,TEL,Benzinga,UBS  analyst Joseph Spak   maintains TE Connectivity (NYSE:TEL) with a Buy and lowers the price target from $272 to $261.,https://finnhub.io/api/news?id=b21a5ec3dd18bb29a8e05d52879b9f8cc83373867bcdea9c7e1b47eb77e95d34
company,1776949735,"Truist Securities Maintains Hold on TE Connectivity, Lowers Price Target to $240",139867126,,TEL,Benzinga,Truist Securities  analyst William Stein   maintains TE Connectivity (NYSE:TEL) with a Hold and lowers the price target from $244 to $240.,https://finnhub.io/api/news?id=aea162c1a17f0fc5b5fcd0251b8f5124b44a8f3aa318e125a7b72405b7793262
company,1776945573,"Here Are Thursday’s Top Wall Street Analyst Research Calls: Boston Scientific, Datadog, Deckers Outdoor, McDonald’s, Murphy USA, On Semiconductor, Palantir Technologies, Texas Instruments, and More",139861526,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TEL,Yahoo,"Pre-Market Stock Futures: Futures are trading lower on this Thursday, but what a difference a month makes: 30 days ago, the worries over inflation and the spiraling situation in Iran were weighing heavily on the stock market. On Wednesday, the Nasdaq Composite and S&P 500 hit new all-time highs, driven by hopes for an extended ... Here Are Thursday’s Top Wall Street Analyst Research Calls: Boston Scientific, Datadog, Deckers Outdoor, McDonald’s, Murphy USA, On Semiconductor, Palantir Technologie",https://finnhub.io/api/news?id=4dfe33b84f9c948a5d3d8911743a90b06fa51755541de2d4125bcd6661099d52
company,1776943821,"Barclays Maintains Overweight on TE Connectivity, Lowers Price Target to $297",139867127,,TEL,Benzinga,Barclays  analyst Guy Hardwick   maintains TE Connectivity (NYSE:TEL) with a Overweight and lowers the price target from $302 to $297.,https://finnhub.io/api/news?id=f626160602c971bb5d8c5509609ab6ec2b44b76c326115595eab0f4656a025b8
company,1776938189,"Wells Fargo Maintains Equal-Weight on TE Connectivity, Raises Price Target to $226",139867128,,TEL,Benzinga,Wells Fargo  analyst Colin Langan   maintains TE Connectivity (NYSE:TEL) with a Equal-Weight and raises the price target from $214 to $226.,https://finnhub.io/api/news?id=674861a1cf28b811038ccea2ba97e4dd71acae3ac862ca9b2f3f635b688e5cb9
company,1776936746,This CSX Analyst Turns Bearish; Here Are Top 5 Downgrades For Thursday,139863588,https://cdn.benzinga.com/files/images/story/2026/04/23/Hagerstown--Maryland-----Usa---October-2.jpeg?width=2048&height=1536,TEL,Benzinga,"Top Wall Street analysts changed outlook on top names. See analyst ratings page for upgrades, downgrades, initiations. Here&#39;s what they say about CSX.",https://finnhub.io/api/news?id=0bdebaf75c8de89991fe6bfb2729cd97334b2e76ac7a473679c28fe7ff2867a3
company,1776935847,"HSBC Downgrades TE Connectivity to Hold, Announces $234 Price Target",139867130,,TEL,Benzinga,HSBC  analyst Stephen Bersey   downgrades TE Connectivity (NYSE:TEL) from Buy to Hold and announces $234 price target.,https://finnhub.io/api/news?id=09c5abbe8f536f687a8e1b4a1c2f218657e3ce3af86190f450fe330f3d92765e
company,1776927857,TE Connectivity PLC (TEL) Q2 2026 Earnings Call Highlights: Strong Revenue Growth and Strategic ...,139859140,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TEL,Yahoo,"TE Connectivity PLC (TEL) reports a robust 15% revenue increase and a 24% rise in EPS, while navigating inflationary pressures and geopolitical challenges.",https://finnhub.io/api/news?id=20b64d899e09577058c5444a5c206b847feb1dd78b15339798508122f9cee29c
