category,datetime,headline,id,image,related,source,summary,url
company,1776968891,SoftBank ramps up AI bet with another major funding plan,139867680,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TMUS,Yahoo,More leverage fuels AI ambitions,https://finnhub.io/api/news?id=7668c3c99ad09d1632ed7b281c6df826b08e80ff140f116607ac17aa9616d656
company,1776964275,T-Mobile Boosts Shareholder Return Program by $3.6 Billion,139868832,,TMUS,Finnhub,"By Elias Schisgall T-Mobile US said its board authorized a $3.6 billion increase to the telecommunications company's shareholder return program. The total size of the program, which lasts...",https://finnhub.io/api/news?id=e722424dd3d5281d40689deeb8f85c2884c7f30483b003645a6be457ad8153b2
company,1776963171,T-Mobile USA Increases 2026 Shareholder Return Program By $3.6B To $18.2B,139881543,,TMUS,Benzinga,,https://finnhub.io/api/news?id=db27fffc672d45a9627666df3ce8f581ace1604ec998edfc24362e934d71be0f
company,1776958620,Channel Partners Conference & Expo and MSP Summit 2026 Reveals Four Key Industry Trends as Satellite Technology and AI Drive Unprecedented Growth,139864113,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TMUS,Yahoo,"LAS VEGAS, April 23, 2026--Channel Partners Conference & Expo and MSP Summit 2026, the world’s largest independent, vendor-neutral channel event, concluded its 2026 edition with a record-breaking 7,900+ registrants, representing IT and communications channel professionals. With 40% of attendees joining for the first time, this year’s event reflected a surging, increasingly influential channel ecosystem, one that is rapidly redefining its role in driving business growth, innovation and global con",https://finnhub.io/api/news?id=d219e9af8afeb7778df6f6b23c50ed9765ae38d3009a118c9765c089374515b9
company,1776950637,SoftBank Eyes $10B Loan Backed by OpenAI Stake,139862562,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TMUS,Yahoo,Proposed margin loan highlights deeper AI investment strategy.,https://finnhub.io/api/news?id=6c475506063b3a2e1b2cb3f69b8f7d7cb8a36e97431e6fbf9ff60cd0c24b1107
company,1776950445,Deutsche Telekom Considers Full T-Mobile Takeover To Form $260 Billion Telecom Giant,139862876,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TMUS,Yahoo,"German telecom group evaluates acquiring remaining stake in T-Mobile, where it already holds 53%, as strategic and regulatory questions emerge",https://finnhub.io/api/news?id=6bcdf4189f149fb660af307a27f1ccf74bc772ca159c9a2491defcc2543adf1d
company,1776950103,Countdown to T-Mobile (TMUS) Q1 Earnings: Wall Street Forecasts for Key Metrics,139864415,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TMUS,Yahoo,"Evaluate the expected performance of T-Mobile (TMUS) for the quarter ended March 2026, looking beyond the conventional Wall Street top-and-bottom-line estimates and examining some of its key metrics for better insight.",https://finnhub.io/api/news?id=e84c90d01eb5be5a669de67bb295212c19baf1ed82ccd18abd1fce461ce9a8b3
company,1776937277,Deutsche Telekom boss braces for battle to land US mega-merger,139861280,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TMUS,Yahoo,"As the biggest names in telecoms gathered in Brussels last September for an annual industry conference, the chief executive of Europe’s largest...",https://finnhub.io/api/news?id=0da600dccea4c1c1ca156367e5b69c1af44169d127b224f8ad530d491ef4ed36
company,1776935050,Orange: A High-Yield European Telecom Giant Still Trading At A Discount,139862187,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1354846623/image_1354846623.jpg?io=getty-c-w1536,TMUS,SeekingAlpha,"Orange S.A. reiterated Buy: Q1 EBITDAaL growth, Africa/Mideast momentum, merger synergies and rising dividends through 2027. Click for this ORANY stock update.",https://finnhub.io/api/news?id=c2b785eab22c3aca38dd5438b11deee32a7d009a558cf7e38761ef2a1f0fe1b4
company,1776931200,AT&T vs. Verizon vs. T-Mobile: Why This 4.4% Yield Is the Steadiest Bet in Telecom.,139859983,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TMUS,Yahoo,"Boring may be better for investors who want a stock that offers steady income, without having to worry about surprises.",https://finnhub.io/api/news?id=dc4b19f78c62434f4dd9becd134c63d1d1a44452c9fb9b97c6110297b4a0dc82
