category,datetime,headline,id,image,related,source,summary,url
company,1776988500,Review & Preview: Earnings Storm,139871280,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,"Disappointing results from IBM and ServiceNow weighed on tech stocks. Chip stocks managed to still thrive, though.",https://finnhub.io/api/news?id=1118fa60c939a763e7773c24004bb4d380a8bd920176722f175e88c1516b6d10
company,1776988199,"Intel's Blowout Quarter Lifts LINT, FTXL, AND SOXQ After Hours: What You Should Know About These ETFs",139876718,https://cdn.benzinga.com/files/images/story/2026/04/23/Intel-Logo-Displayed-On-Blue-Cube_0.jpeg?width=2048&height=1536,TSLA,Benzinga,"Intel shares surged in extended trading after the company reported first-quarter earnings. The strong results, driven by growing demand for AI-related chips, lifted semiconductor-focused ETFs, including Direxion Daily INTC Bull 2X ETF, First Trust Nasdaq Semiconductor ETF and Invesco PHLX Semiconductor ETF, all of which posted gains following the earnings release.",https://finnhub.io/api/news?id=18ad6f44ac6791d3e130bb6750d556ecb77b3482c0e2b41edb872dae759d9360
company,1776987420,Tesla's Cybercab Pilot Production Is Underway. Is the Stock a Buy Ahead of a Potential Sales Surge?,139870504,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,Don't get too excited. It's going to take some time for production to ramp up.,https://finnhub.io/api/news?id=c414dcc7412659be6ce99440db6aa2527f2a1205a52baecdd3742f14b709a497
company,1776987131,Why Intel Stock Is Gaining Today,139870505,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,Intel is serving up good news for shareholders.,https://finnhub.io/api/news?id=64c1935bb871e8893a0529068d61ceb2faace4ceab93d723c9c5a1cfe7f22dd4
company,1776984252,"Redwood Materials loses COO amid layoffs, restructuring",139870506,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,"Former Tesla executive Chris Lister is retiring, and at least three other VPs have left Redwood around the recent restructuring, TechCrunch has learned.",https://finnhub.io/api/news?id=70709375cc2f2b86878cdfb217e4df1d3fa76c816cd866683f3c7853c2e39cc1
company,1776983808,"Stock Market Today, April 23: Tesla Falls After Lifting 2026 Capex Guidance for AI and Robotics",139870507,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,"Today, April 23, 2026, investors confront surging AI and robotics capex that reshapes expectations for free cash flow and autonomy execution.",https://finnhub.io/api/news?id=59ca1818ef605adcb22f12515da683c91fc7ed205228274e6cc54e60ac2cc1bd
company,1776982815,"Intel Stock Soars Nearly 20% Overnight As Jim Cramer Says 'Paranoid' INTC Is Back, Gene Munster Notes AI Boom Still Early",139876747,https://cdn.benzinga.com/files/images/story/2026/04/23/IntelHaifa--Israel---November-1--2022-In.jpeg?width=2048&height=1536,TSLA,Benzinga,"Intel surged nearly 20% after hours following a strong earnings beat, with bullish commentary from Jim Cramer and Gene Munster and others.",https://finnhub.io/api/news?id=c3d6e440d4f3273ed31b0e1ad8eb4d45c4df1afa5da6d6c9dde3a1fd55782450
company,1776980817,Tesla Q1 Earnings Call Highlights,139869368,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,"Tesla (NASDAQ:TSLA) executives used the company’s first-quarter 2026 Q&A webcast to outline an aggressive investment cycle centered on artificial intelligence, autonomy, robotics, and manufacturing expansion, while also pointing to improving vehicle demand trends and growing Full Self-Driving (F",https://finnhub.io/api/news?id=784d8d1b9a8bb89dce21df8d0030cb3ea09c933774610b38ec6dbd3725e99595
company,1776980100,Intel Earnings Were Strong Enough to Put the DotCom Bust in the Stock’s Rearview Mirror,139869307,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,Intel shares were up sharply in after-hours trading Thursday after the chip maker reported strong first-quarter results.,https://finnhub.io/api/news?id=392a40d9aa08082733d4562790def5395de92ec462a8f1b107b4c66e3c67a27c
company,1776980056,"Dow Jones Futures: Stocks Fall On Iran, ServiceNow, Tesla; Intel Soars Late",139869370,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,"Stocks fell on Iran news, ServiceNow and Tesla. AI plays Intel and Comfort Systems reported earnings late.",https://finnhub.io/api/news?id=a36fde24b62b3d75cb305caee307e8824cfa89d3134f4161694aefc40386c0eb
