category,datetime,headline,id,image,related,source,summary,url
company,1776980818,United Airlines Q1 Earnings Call Highlights,139869624,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UAL,Yahoo,"United Airlines (NASDAQ:UAL) executives said the carrier delivered a “strong first quarter” while moving quickly to respond to a sharp rise in jet fuel prices tied to the conflict in Iran. Management emphasized efforts to pass higher fuel costs through to customers, trim marginal capacity, and conti",https://finnhub.io/api/news?id=4f1afe49133293db62418ac7c2ee58a599469ee79c32c696cb15e1f280c28714
company,1776979347,"CNBC Daily Open: Truce on land, storm at sea — markets are counting the cost",139878572,https://image.cnbcfm.com/api/v1/image/108288964-1775687517946-108288964-1775687378605-gettyimages-2248969384-nikoubazl-iranianp251202_npN8U.jpeg?v=1775687551&w=1920&h=1080,UAL,CNBC,"The vital maritime passage has been under a ""double-blockade"" with neither Iran nor the U.S. allowing vessels to enter or exit the strait. ",https://finnhub.io/api/news?id=b07439b7886fa5428b444430d00a44254f1baee66fce80350472c6b5114a950c
company,1776965411,"Firefighter heard ‘stop, stop’ before LaGuardia jet crash, but didn’t know who it was for, NTSB says",139869065,,UAL,Finnhub,"NEW YORK — A firefighter whose truck collided with an Air Canada Express jet last month on a runway at New York's LaGuardia Airport, killing both pilots, heard an air traffic controller warn...",https://finnhub.io/api/news?id=1eb56eabc774cc9046514c85f14735d1540e060ec4e358fbfaea029b7ea8d6ee
company,1776960000,UAL Outlook Hits Stock: Buy ETF or Stay Cautious on Fuel Risks?,139866548,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UAL,Yahoo,"United Airlines cut its full-year outlook amid fuel uncertainty despite a strong Q1. While much of the downside appears priced in, risks linger due to geopolitical tensions.",https://finnhub.io/api/news?id=ac8b088e3f84a961ef51ea89481107a4327dc76815e9cd95b7ba5333c772b983
company,1776959149,"AAL Cuts Outlook, But What It Signals For JETS ETF May Matter More",139879864,https://cdn.benzinga.com/files/images/story/2026/04/23/Phoenix--Az---December-7--2019-Photo-Of-.jpeg?width=2048&height=1536,UAL,Benzinga,"American Airlines&#39; earnings forecast cut highlights fuel costs pressure, raising the stakes for U.S. Global Jets ETF.",https://finnhub.io/api/news?id=0aa897a812075562f6c607dea40031d179e94018f55eac6435356247fa40f216
company,1776956251,United Airlines to impose ‘market disruption’ surcharge on cargo,139864566,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UAL,Yahoo,"United Airlines is charging an all-encompassing fee on cargo shipments as a buffer against skyrocketing transportation costs, most notably fuel. The post United Airlines to impose ‘market disruption’ surcharge on cargo appeared first on FreightWaves.",https://finnhub.io/api/news?id=e3f52c7d82b076e76c57aafea4e595a8de4e8551047c44ab56c0483713b3bf27
company,1776956003,UAL Q1 Deep Dive: Fuel Pressures Drive Capacity Cuts and Premium Product Expansion,139864567,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UAL,Yahoo,"Airline company United Airlines Holdings (NASDAQ:UAL) beat Wall Street’s revenue expectations in Q1 CY2026, with sales up 10.6% year on year to $14.61 billion. Its non-GAAP profit of $1.19 per share was 8.9% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=f569f56d639635ca52acd5ddae5653ed420dab1a92c6e9b5e2dda95dfe81edee
company,1776952745,"United CEO Scott Kirby Calls Spirit's Business Model 'Fundamentally Flawed,' But What Do Prediction Markets Say?",139866695,https://cdn.benzinga.com/files/images/story/2026/04/23/Tail-Section-Of-United-Airlines-Boeing-C.jpeg?width=2048&height=1536,UAL,Benzinga,United CEO Scott Kirby says Spirit&#39;s business model is &#34;fundamentally flawed&#34; and no bailout is needed. Kalshi traders are pricing a 64% chance Uncle Sam buys it anyway.,https://finnhub.io/api/news?id=838b6e02da7f278516ddf72521125f5aaf559003ecba53624b06b6580d096dc9
company,1776952199,"Point to point leisure airline model has not made money since 2020, says Barclays' Brandon Oglenski",139879110,https://image.cnbcfm.com/api/v1/image/108296389-17769663431776966341-45461885004-1080pnbcnews.jpg?v=1776966343&w=1920&h=1080,UAL,CNBC,"Brandon Oglenski, Barclays senior airlines analyst, joins 'The Exchange' to discuss a potential bailout of Spirit Airlines, mergers and acquisitions in the industry and much more.",https://finnhub.io/api/news?id=f78b65c66a48f8ab9755db72a7fdbf79acbdc33f195ab2617beda37b4a337c6e
company,1776950580,United Airlines CEO just casually admitted that prices might stay high even after the Iran fuel crisis ends,139879678,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UAL,Yahoo,"In an earnings call on Wednesday, Scott Kirby indicated that airlines will not lower their prices to pre-war levels once fuel costs come down.",https://finnhub.io/api/news?id=ec8f32e5247c287178379c67e392a5086da0fa21880e14e750473a91ff31c71d
