category,datetime,headline,id,image,related,source,summary,url
company,1776987683,2 Healthcare Stocks Worth Your Attention and 1 We Ignore,139870521,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNH,Yahoo,"Healthcare companies are pushing the status quo by innovating in areas like drug development and digital health. But financial performance has lagged recently as players offloaded surplus COVID inventories in 2023 and 2024, a headwind for overall demand. The result? Over the past six months, the industry’s 1.8% return has trailed the S&P 500 by 3.1 percentage points.",https://finnhub.io/api/news?id=4469439b2a712e19fef672f808861f6061d701365bbdfd3dd67b365bb9c8aa37
company,1776982980,These Companies Are Raising Guidance This Earnings Season,139871315,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNH,Yahoo,"Both UnitedHealth and Quest Diagnostics have raised their current year outlooks, with each also seeing a favorable post-earnings reaction.",https://finnhub.io/api/news?id=2c8457f8a5a3e6114626efacd3374cbafdb922222ed6812a1dc8a86b43eb4aaf
company,1776976440,"Top Research Reports for UnitedHealth, Morgan Stanley & RTX",139870522,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNH,Yahoo,"UnitedHealth anchors a fresh batch of Zacks reports as UNH, MS and RTX navigate costs, capital markets strength and defense demand shifts.",https://finnhub.io/api/news?id=01fa23a96e09b8ac2fc51ded659406739bd42772d1538950cc32550fb607e959
company,1776973776,Pool Q1 Earnings Call Highlights,139868085,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNH,Yahoo,"Pool (NASDAQ:POOL) reported a stronger-than-expected start to fiscal 2026, driven by steady maintenance demand, improving trends in select discretionary categories, and continued growth in its digital and proprietary product initiatives. Management said the pool industry remains in a “period of stab",https://finnhub.io/api/news?id=9206c1053987c9c61267e3baa536a8547476f2998d77fb36fc5112b1b74502c7
company,1776972250,"We know parts of the market are hot, says Jim Cramer",139878618,https://image.cnbcfm.com/api/v1/image/108296592-5ED3-MM-A-BLOCK-042326.jpg?v=1776984173&w=1920&h=1080,UNH,CNBC,'Mad Money' host Jim Cramer looks at the day's market action.,https://finnhub.io/api/news?id=8e819e7f751abaa2bc519358b10fb5be0ac0aff06f568c4ea5142acd30852fa3
company,1776972209,Jim Cramer looks at four stocks to go with high-flying tech names,139878643,https://image.cnbcfm.com/api/v1/image/108296593-5ED3-MM-A-BLOCK-SHORT-042326.jpg?v=1776984189&w=1920&h=1080,UNH,CNBC,'Mad Money' host Jim Cramer looks at the day's market action.,https://finnhub.io/api/news?id=41270dfe5cfe73c066157f534389be98233b1dcd0d950c4b69f40e285ad3719d
company,1776970560,"MOH Q1 EPS Tops Estimates on Lower Medical Costs, Membership Declines",139867935,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNH,Yahoo,"Molina Healthcare beats Q1 EPS estimates, but profits plunge 61% as revenues dip, membership shrinks and premiums decline despite lower medical costs support.",https://finnhub.io/api/news?id=63710636226215529e21b714a152b7f2197cb84343f835806fdbad73fe372c66
company,1776962704,US accelerates Medicare access for select medical devices,139868545,,UNH,Finnhub,US health authorities have announced a new program aimed at significantly reducing the time required for certain medical devices to secure Medicare reimbursement. Coverage could now be granted within...,https://finnhub.io/api/news?id=1f25fc6e6c091d79ec584539d7cbf2ed1a5b5c2124910b203c35367b45cee03a
company,1776961927,UnitedHealth Is Back! But Should You 'Long-Term Care' About UNH Stock?,139870523,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNH,Yahoo,"UnitedHealth reported Q1 earnings earlier this week, and it's a comeback story worth watching. Here's what to know.",https://finnhub.io/api/news?id=9386d626432b245737508dd5e1800d372147f2d7787f6fbfb872550d2f289dd1
company,1776959651,Why BSX Stock's Q1 Beat Is A Lagging Indicator,139866256,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNH,Yahoo,"The primary insight within Boston Scientific’s (BSX) Q1 2026 results is that the adjusted EPS beat of $0.80 acts as a lagging indicator, contrasting with a moderating trend in forward-looking growth. While management maintained a 28.0% operating margin, the decision to revise full-year 2026 organic revenue guidance from a 10%–11% range to 6.5%–8.0% is the critical signal for investors. This dynamic highlights a strategic divergence from other healthcare leaders. For instance, while our analysis",https://finnhub.io/api/news?id=0918df89b280d5d627ab5492395fcc973d12eab45216cf30599e68d6953fd7d4
