category,datetime,headline,id,image,related,source,summary,url
company,1776983773,VeriSign Q1 Earnings Call Highlights,139870490,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VRSN,Yahoo,"VeriSign (NASDAQ:VRSN) reported what it called a strong start to 2026, citing record levels in its combined .com and .net domain name base and higher year-over-year revenue and earnings. Executives also announced a forthcoming .com wholesale price increase effective Nov. 1, 2026 and raised the compa",https://finnhub.io/api/news?id=d9d255206836b1b68ddc4f6a184b9c900826a6bfb00cd4139eefef2f5128a820
company,1776980505,VeriSign (VRSN) Q1 2026 Earnings Transcript,139869636,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VRSN,Yahoo,"Jim Bidzos: Thank you, David.  The combined .com and .net domain name base is now at a record 176.1 million names.  New registrations are the largest we have seen since 2021, combined with very strong renewal rates.",https://finnhub.io/api/news?id=ceb812bd92efa3d604139ca28fee13236425d8ad2facd609f611861dd7460b74
company,1776979504,VeriSign (VRSN) Tops Q1 Earnings and Revenue Estimates,139870677,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VRSN,Yahoo,"VeriSign (VRSN) delivered earnings and revenue surprises of +6.36% and +1.68%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=eea24c8ae8e3896c167a42002e34ec5b16cce27e91ca8e1d43e43c30f406988b
company,1776978120,DNIB.com Reports Internet Has 392.5 Million Domain Name Registrations at the End of the First Quarter of 2026,139869637,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VRSN,Yahoo,"RESTON, Va., April 23, 2026--VeriSign, Inc. (NASDAQ: VRSN), a global provider of critical internet infrastructure and domain name registry services, today announced that, according to the latest Domain Name Industry Brief Quarterly Report from DNIB.com, the first quarter of 2026 closed with 392.5 million domain name registrations across all top-level domains (TLDs), an increase of 5.6 million domain name registrations, or 1.4% compared to the fourth quarter of 2025. Domain name registrations als",https://finnhub.io/api/news?id=d1178e015983ac850b83b88819f7927c2dc2db0bbb12633f992054a3039260fe
company,1776976835,Verisign Beats Q1 Estimates and Guides Higher Amid Domain Registration Surge (NASDAQ:VRSN),139868656,https://www.chartmill.com/images/uploads/THUMBNAILS_CHARTMILL_1000_528_16_065e226ebd.webp,VRSN,ChartMill,"Verisign beats Q1 estimates with $2.34 EPS, revenue up 6.6%, driven by surging domain registrations. Announces .com price hike to $10.97, boosting future outlook.",https://finnhub.io/api/news?id=9d5651265e4b4e51fd28e124ec4bd3a74fc729f809135ebf25c5502f477deadc
company,1776974700,Verisign Reports First Quarter 2026 Results,139869638,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VRSN,Yahoo,"RESTON, Va., April 23, 2026--VeriSign, Inc. (NASDAQ: VRSN), a global provider of critical internet infrastructure and domain name registry services, today reported financial results for the first quarter of 2026.",https://finnhub.io/api/news?id=8872c761b17e3b4bffa4de93293afaf51bbe04c3cae114584b060e93d1abc213
company,1776972696,"VeriSign, Inc. (VRSN) Q1 2026 Earnings Call Transcript",139870424,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,VRSN,SeekingAlpha,"VeriSign, Inc. (VRSN) Q1 2026 Earnings Call April 23, 2026 4:30 PM EDTCompany ParticipantsDavid Atchley - VP, Treasury & Investor RelationsD.",https://finnhub.io/api/news?id=8d935e697ee54ada7f56a8222918f10e0ca37f38c296a0bbbcf2e740685f6a4b
company,1776971050,"VeriSign, Inc. 2026 Q1 - Results - Earnings Call Presentation",139870220,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,VRSN,SeekingAlpha,"2026-04-23. The following slide deck was published by VeriSign, Inc.",https://finnhub.io/api/news?id=c14fa4b9105c853d74f04ab3b020b5a45279645dde9cee6ab26d042ed6fdfdf2
company,1776966620,Domain Name Industry Brief Quarterly Report: DNIB.com Announces 392.5 Million Domain Name Registrations in the First Quarter of 2026,139869285,,VRSN,Finnhub,"Today, the latest issue of The Domain Name Industry Brief Quarterly Report was released by DNIB.com, showing the first quarter of 2026 closed with 392.5 million domain name registrations across all...",https://finnhub.io/api/news?id=66335c123da6086ec52a38cfab1e231eae74564534760a7867fcc3cf4063962f
company,1776965683,VeriSign Raises FY2026 Sales Guidance from $1.715B-$1.735B to $1.730B-$1.745B vs $1.734B Est,139881567,,VRSN,Benzinga,VeriSign (NASDAQ:VRSN) raises FY2026 sales outlook from $1.715 billion-$1.735 billion to $1.730 billion-$1.745 billion vs $1.734 billion estimate.,https://finnhub.io/api/news?id=1b6b2965cd499a279752a8f2744d742bb657e520463cf7f20d3bd80ca6a42012
company,1776965365,VeriSign : Q1-2026 Earnings Release Final,139869072,,VRSN,Finnhub,"‌Verisign Reports First Quarter 2026 Results RESTON, VA - April 23, 2026 - VeriSign, Inc. , a global provider of critical internet infrastructure and domain name registry services,...",https://finnhub.io/api/news?id=84839c1983920c9e138138ad2df2869a064bc7bf5c1c94d1bd592d14da2343b0
company,1776965311,VeriSign : Q1-2026 Earnings Slides Final,139869021,,VRSN,Finnhub,"Q1 2026 Earnings Conference Call April 23, 2026 Agenda Introduction Business Highlights Capital Allocation Financial...",https://finnhub.io/api/news?id=d7d970899146ccc6d900b69e46598866a6bfc84baca9fe56625fa11169f7f069
company,1776960676,VeriSign: Q1 Earnings Snapshot,139868170,,VRSN,Finnhub,"RESTON, Va. — RESTON, Va. — VeriSign Inc. on Thursday reported profit of $214.4 million in its first quarter. On a per-share basis, the Reston, Virginia-based company said it had profit of...",https://finnhub.io/api/news?id=df7c68944b050a549c3a7ac4e6cc8ba2814ea1a07e3fb02531ba71b5765af4e9
company,1776960361,"VeriSign Q1 EPS $2.34 Beats $2.25 Estimate, Sales $428.900M Beat $425.912M Estimate",139881568,,VRSN,Benzinga,VeriSign (NASDAQ:VRSN) reported quarterly earnings of $2.34 per share which beat the analyst consensus estimate of $2.25 by 4 percent. This is a 11.43 percent increase over earnings of $2.10 per share from the same,https://finnhub.io/api/news?id=a3f556203ee7179973bd7d5b200c243dc0f6307853b489d012bc6c97b32299a1
company,1776935854,Intel’s $240 Billion Rally Slams Into a Potential Earnings Wall,139861081,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VRSN,Yahoo,"(Bloomberg) -- Intel Corp. has been one of the hottest stocks in the market over the past 12 months, soaring 235% to the highest price since the dot-com bubble. But the rally is facing a potential roadblock in the company’s first-quarter earnings report due after the close Thursday. Most Read from BloombergAnthropic’s Mythos Model Is Being Accessed by Unauthorized UsersInside Alex Cooper’s Unwell: Tears, Screaming and Employees Looking for the ExitTrump Encourages Companies Not to Seek Tariff Re",https://finnhub.io/api/news?id=e089da4707f0736a1a70fff269a1bfdafa75faa479849614684627a108635e72
company,1776928289,"Earnings Scheduled For April 23, 2026",139863224,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,VRSN,Benzinga, ,https://finnhub.io/api/news?id=8c563fc2379fa00c5d61da639c5622b1afb5e4f0e546029b6c462f78a95936f6
