category,datetime,headline,id,image,related,source,summary,url
company,1776972052,"Vertiv Raises Outlook After Strong Q1 as Margins Improve, UBS Says",139867901,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VRT,Yahoo,"Vertiv Holdings (VRT) posted strong Q1 results and raised its full-year earnings outlook, signaling",https://finnhub.io/api/news?id=db1d655bb41766c00612dbb6a0e78cdb828b8e1e10c3a4d2e0115ecd62ab42ba
company,1776961845,"Vertiv's Long-Term Growth Story Continues With Q1 Earnings Beat, Guidance Raise, RBC Says",139866393,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VRT,Yahoo,"Vertiv's (VRT) long-term growth story continues as it posted a ""high-quality"" Q1 earnings beat and r",https://finnhub.io/api/news?id=e213546d82f8a03f8135b2367a9d4f96a60c3fbf6ef77a42b811e125fda5e8ad
company,1776961620,"Vertiv Q1 Earnings Beat Estimates, Net Sales Rise Y/Y, Shares Rise",139866381,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VRT,Yahoo,VRT's Q1'26 EPS surges 83% to $1.17 as margins widen and Americas demand stays hot on strong data center momentum.,https://finnhub.io/api/news?id=1ef72ec12eedeb87e1a36ce1b56c2b418e404b450e31827d5a4d1c515ba740a3
company,1776961320,"Should You Buy, Sell, or Hold TER Stock Before Q1 Earnings Release?",139866395,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VRT,Yahoo,"Teradyne's Q1 results are likely to benefit from AI demand, strong growth, rising margins, and momentum across semiconductor test.",https://finnhub.io/api/news?id=5089464128744f64d76d8c16c2a1383225695ab3e11b63cac53fdda9672de4ce
company,1776956386,Cramer Names 'The Stocks That Got Away' — SanDisk Is Number 1,139867581,https://cdn.benzinga.com/files/images/story/2026/04/23/Jim-Cramer--AI-Is-Bigger-Than-Rate-Cuts.jpeg?width=2048&height=1536,VRT,Benzinga,"Jim Cramer names stocks that he regrets not buying, with SanDisk at the top of the list.",https://finnhub.io/api/news?id=804fe64420346f65b13912530a93e03141c24f37bda0212b3591410c2bd164e6
company,1776953948,Vertiv Holdings shares are trading higher after multiple analysts raised their respective price targets on the stock.,139870168,,VRT,Benzinga,,https://finnhub.io/api/news?id=d65c85b4e566d7b9c4255636ecdc98fb8efe36f10fa7094365fe97de422df58d
company,1776951563,"RBC Capital Maintains Outperform on Vertiv Holdings, Raises Price Target to $356",139870169,,VRT,Benzinga,RBC Capital  analyst Deane Dray   maintains Vertiv Holdings (NYSE:VRT) with a Outperform and raises the price target from $344 to $356.,https://finnhub.io/api/news?id=dd505d02c15d1e7b947c03773d6432423119f78079018001b5abcb29f486d971
company,1776949404,"TD Cowen Maintains Buy on Vertiv Holdings, Raises Price Target to $347",139870170,,VRT,Benzinga,TD Cowen  analyst Michael Elias   maintains Vertiv Holdings (NYSE:VRT) with a Buy and raises the price target from $269 to $347.,https://finnhub.io/api/news?id=2317c7b1ff6b95716aafb033cb6a582aefe3f149caff9dbe6399b90dfab32151
company,1776946542,Vertiv: Mounting Worries Of Peak Growth And Peak Valuation,139864868,,VRT,SeekingAlpha,,https://finnhub.io/api/news?id=7b85444b2c6f91031047dcd2a6a5ce63d11807a5e03c2a0f13f8e396f89d46e0
company,1776945684,"Citigroup Maintains Buy on Vertiv Holdings, Raises Price Target to $353",139870171,,VRT,Benzinga,Citigroup  analyst Andrew Kaplowitz   maintains Vertiv Holdings (NYSE:VRT) with a Buy and raises the price target from $340 to $353.,https://finnhub.io/api/news?id=f0107050a5431415f7c3ed70ee80993954027ddeeecbe2029d3cddfbd15f30b8
company,1776944003,"VRT Q1 Deep Dive: Data Center Demand Drives Growth, Guidance Faces Near-Term Challenges",139861260,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VRT,Yahoo,"Data center products and services company Vertiv (NYSE:VRT) met Wall Street’s revenue expectations in Q1 CY2026, with sales up 30.1% year on year to $2.65 billion. On the other hand, next quarter’s revenue guidance of $3.35 billion was less impressive, coming in 2.3% below analysts’ estimates. Its non-GAAP profit of $1.17 per share was 15.7% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=ec2091c72b9b7d4f9f69ab64a811478eb8db9eb503ab066ef3f02d8e6753c159
company,1776943981,"Barclays Maintains Overweight on Vertiv Holdings, Raises Price Target to $345",139870172,,VRT,Benzinga,Barclays  analyst Julian Mitchell   maintains Vertiv Holdings (NYSE:VRT) with a Overweight and raises the price target from $300 to $345.,https://finnhub.io/api/news?id=4d2c66550b922da84d04d0a3dbc5a2996fa6e3d670768daf48686ed22b1d8485
company,1776937839,"Vertiv Holdings Co (NYSE:VRT) Shines in CAN SLIM Screen with 251% Gain, Strong Fundamentals and Institutional Support",139859886,https://www.chartmill.com/images/uploads/thumbnail_article_o_neill_9796d922cc.webp,VRT,ChartMill,"Vertiv Holdings (VRT) excels in the CAN SLIM system with 82% quarterly earnings growth, 251% yearly gains, and strong institutional support, making it a top growth stock pick.",https://finnhub.io/api/news?id=15d2866ede7b327b13667584a55dea9221d3519838ee7b10ee924ede8f019864
company,1776936384,"Morgan Stanley Maintains Overweight on Vertiv Holdings, Raises Price Target to $350",139870173,,VRT,Benzinga,Morgan Stanley  analyst Chris Snyder   maintains Vertiv Holdings (NYSE:VRT) with a Overweight and raises the price target from $285 to $350.,https://finnhub.io/api/news?id=8179cf299266aef2ce62a96d773a70b40e525baf3584a225a09b21ad48187592
company,1776929638,"Vertiv, Northern Trust And More On CNBC's 'Final Trades'",139865942,https://cdn.benzinga.com/files/images/story/2026/04/23/Vertiv-Holdings.jpeg?width=2048&height=1536,VRT,Benzinga,"Vertiv shares fell 2.3% to close at $305.14 on Wednesday, and Northern Trust shares declined 2.3% to close at $167.83.",https://finnhub.io/api/news?id=7022c4cc6b5da7431e5b44758dd4253fd35cccf8b35573a098d395905eb6ce4f
company,1776927926,Vertiv Holdings Co (VRT) Q1 2026 Earnings Call Highlights: Strong Growth Amid Regional Challenges,139859115,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VRT,Yahoo,"Vertiv Holdings Co (VRT) reports robust sales growth and improved margins, despite facing headwinds in the EMEA region.",https://finnhub.io/api/news?id=1b98130727b13f0138eb157c526bd83dc3b609b3030ebff4afc048afba1f23f6
company,1776916860,"GE Vernova, Vertiv Pull Powerhouse Profits from Hyperscalers’ Data Center Investments",139866324,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VRT,Yahoo,"GE Vernova stock jumped nearly 14% Wednesday following the earnings report, widening the past year’s gains to 246%.",https://finnhub.io/api/news?id=3ad0662517ceeb8aec30e005ddcf15fa1c4bf3ed0bec67caddba2ab41e4023ab
