category,datetime,headline,id,image,related,source,summary,url
company,1776977479,ServiceNow Stock Has Worst Day Ever on Disappointing Sales,139869487,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDAY,Yahoo,"(Bloomberg) -- ServiceNow Inc. shares plunged the most ever after the provider of software for business tasks reported results that disappointed investors and said some sales deals have been delayed by the war in the Middle East.Most Read from BloombergAnthropic’s Mythos Model Is Being Accessed by Unauthorized UsersInside Alex Cooper’s Unwell: Tears, Screaming and Employees Looking for the ExitTrump Encourages Companies Not to Seek Tariff RefundsMicrosoft Offers Buyouts to About 7% of US Workers",https://finnhub.io/api/news?id=fd7da6ffbb0bdfe49018f0d5bfd9c7502bb58863878d12530d98ec11545d3ba0
company,1776971104,These S&P500 stocks are moving in today's session,139867292,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,WDAY,ChartMill,Stay informed about the performance of the S&P500 index one hour before the close of the markets on Thursday. Uncover the top gainers and losers in today's session for valuable insights.,https://finnhub.io/api/news?id=8eda1ce383590a051ac9038f0fb25bdebb55ec5285a404ddb0bc8d3c36092d4b
company,1776962104,What's going on in today's session: S&P500 movers,139865123,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,WDAY,ChartMill,Curious about the S&P500 stocks that are in motion on Thursday? Join us as we explore the top movers within the S&P500 index during today's session.,https://finnhub.io/api/news?id=045c7b48b65007e164a85ff803fd33eecc2fc353fcd25256a546df5c8edcf0d2
company,1776958078,ServiceNow Leads Software Stocks Lower After Warning The Iran War Is Holding Back Growth,139866354,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDAY,Yahoo,"Software stocks plunged Thursday, with ServiceNow shares leading the slump after the company said the Iran war is weighing on its business.",https://finnhub.io/api/news?id=7ab38f74f6b1327f71e5bd0946629a2486bfc2c9343821ff8665f935d4ff831e
company,1776955569,Shares of companies in the broader software sector are trading lower amid a pullback in sentiment after Q1 financial results and outlook comments from industry peers IBM and ServiceNow.,139867196,,WDAY,Benzinga,,https://finnhub.io/api/news?id=c4542b3d5884690099229440ed7b0e819d4422abf345683f638d655bdbea81cf
company,1776937440,"These Stocks Are Today’s Movers: Tesla, ServiceNow, IBM, Lam Research, and More",139859914,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDAY,Yahoo,"Tesla shares fall after the EV maker raises its capital spending guidance, while ServiceNow plunges after so-so first-quarter earnings.",https://finnhub.io/api/news?id=5b30f57bc289b006bb476e2107f2ca68bc84e908a979366c537cad20658b86b5
company,1776954905,Thursday's session: gap up and gap down stock in the S&P500 index,139863460,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,WDAY,ChartMill,Let's have a look at what is happening on the US markets on Thursday. Below you can find the S&P500 gap up and gap down stocks in today's session.,https://finnhub.io/api/news?id=3e77378a8303755471e1b6024163e0b35e5a58eb2c00b94f05f77d23bb01eea5
company,1776954893,OpenAI's Denise Dresser: Enterprise customers will be 50% of business by year-end,139878770,https://image.cnbcfm.com/api/v1/image/108296428-17769689831776968979-45462558281-1080pnbcnews.jpg?v=1776968982&w=1920&h=1080,WDAY,CNBC,"Denise Dresser, OpenAI chief revenue officer, joins 'Power Lunch' to discuss the company's latest model, GPT 5.5, the enterprise part of the business and much more.",https://finnhub.io/api/news?id=6716cb356a86fbb0e0226c3bef3396d42253e81b3693efbd598d7fe57610c98c
company,1776952049,Stock Market Today: Dow Falls After Jobless Claims Surprise; Tesla Drops On Musk Comments (Live Coverage),139862646,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDAY,Yahoo,Stock Market Today: The Dow Jones index drops Thursday after an unexpected result in jobless claims. Tesla stock sells off on Elon Musk's comments.,https://finnhub.io/api/news?id=9cc12e9109636d1d071acaa8e26bafaba1bfee06ef024730e20d3eadf03f8820
company,1776950478,"Committed some capital to software stocks amid selloff, says First Eagle's Matt McLennan",139878703,https://image.cnbcfm.com/api/v1/image/108296365-17769645621776964559-45461423620-1080pnbcnews.jpg?v=1776964561&w=1920&h=1080,WDAY,CNBC,"Matt McLennan, First Eagle Investments, joins 'The Exchange' to discuss McLennan's thoughts on software stocks, the stocks they favor and much more.",https://finnhub.io/api/news?id=0985b7c34599ba9f918b1e2fac4fda753270b1392014e1b716c102592ead48ef
