category,datetime,headline,id,image,related,source,summary,url
company,1776983580,Walmart and Target face new self-checkout retail theft problems,139870511,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,"Self-checkout takes work once done by retail employees and makes consumers do it. That's something many retail chains try to sell as a positive, rather than a spending cut. ""Self-checkout technology is typically positioned by retailers as a consumer service at the front end of stores that enables ...",https://finnhub.io/api/news?id=3a439f3c2c4d6079da093f150fc8017bb1e9336038752ab8a5a833e1cb33f2e1
company,1776980548,General Mills: GLP-1 And Consumer Fears Are Overblown (Rating Upgrade),139871186,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/535109405/image_535109405.jpg?io=getty-c-w1536,WMT,SeekingAlpha,"General Mills (GIS) upgraded to Strong Buy: DCF shows upside, high yield, FY27 pivot, and limited GLP-1 risk despite headwinds. See more here.",https://finnhub.io/api/news?id=2d2925ee743ed774819254b9271f00e4869d0c2f6b0ec3136509703017dabaa7
company,1776977211,Walmart (WMT): The Best Counter Cyclical Stock to Buy Right Now,139869403,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,"Walmart Inc. (NASDAQ:WMT) is one of the 8 Best Counter Cyclical Stocks to Buy Right Now. On April 16, 2026, Walmart Inc. (NASDAQ:WMT) announced the expansion of its Better Care Services platform as demand grows for weight management and overall health support, adding offerings that combine virtual care, nutrition services, and pharmacy access in a […]",https://finnhub.io/api/news?id=c2da6d972224ff8a4b40c49d834b7d2ec70e891188684459aefb72176674592e
company,1776975660,Walmart Releases 2026 Annual Report and Proxy Statement,139869404,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,"BENTONVILLE, Ark., April 23, 2026--Walmart Inc. (Nasdaq: WMT) issued its 2026 Annual Report and filed its Proxy Statement today in preparation for the company’s Annual Shareholders’ Meeting on Thursday, June 4, 2026.",https://finnhub.io/api/news?id=704e57dd55b0c6e4b1c51bee727cdff31de1a97b01f54dbf1f52ccd740d0925c
company,1776973620,Target helps fill gap left by shuttered competitor,139867767,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,"For years, Target had a certain reputation. It was a store you could walk into expecting a fun, engaging shopping experience. To be clear, Target wasn't really known as a source of major savings. Walmart, one of its chief competitors, has long dominated in that arena. Target's strength, rather, was ...",https://finnhub.io/api/news?id=6051251aa32cf0c97e8718e9153f5732d36f368c823159df14dbbf075f5be328
company,1776970320,Tax Refunds Are Here. Retail Stocks to Watch as People Sort Out Whether to Spend on Gas or Goodies.,139869405,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,"FEATURE  Man plans, god laughs. Retail investors are learning that lesson all over again. Just a few months ago, 2026 looked like it was going to be consumers’ time to shine: Tax changes meant bigger refunds were teed up, while policy watchers were hoping for potential interest-rate cuts and tariff relief.",https://finnhub.io/api/news?id=72dcfea3cbc2bbaf11b79d819924de1adffd9769940930ca576cb5b2d1d1d588
company,1776969040,Sam’s Club rolls out 1-hour express delivery option,139867706,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,"Sam’s Club members can now pay for one-hour delivery from a neighborhood store, part of Walmart’s strategy to compete with Amazon for online sales. The post Sam’s Club rolls out 1-hour express delivery option appeared first on FreightWaves.",https://finnhub.io/api/news?id=8280c0850e78e3a9c9a749ede19bcaa94ee82a5e03a117de2f77a21c9830fc81
company,1776965337,Walmart : 2026 Annual Report (Walmart 2026 Annual Report),139869102,,WMT,Finnhub,Annual Report 2026 A message from our CEO ...,https://finnhub.io/api/news?id=5198942d3ed1ff1c48f3dddb35920dd9d6db6b63e8728a6aff85f3be7959d533
company,1776965335,Walmart : Proxy Statement (2026 Proxy Statement),139869103,,WMT,Finnhub,"Notice of 2026 Annual Shareholders' Meeting Thursday, June 4, 2026 Virtual meeting at 8:30 a.m. Central Time ...",https://finnhub.io/api/news?id=f25d9a9e82f55d93f3a10d9557bf4e82a29a917a5dec4bedb25481cdf190de9e
company,1776956907,Is Walmart Stock in a Bubble? 1 Weird Signal Answers a Contrarian ‘No.’,139869336,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,"While it’s easy to brush aside ‘boring’ retail giant Walmart as overpriced, the current behavioral state of WMT stock provides a different perspective.",https://finnhub.io/api/news?id=687eb012f71401b4c00bdddba0323b3c0ecd01d0d228c483828a7be3ac26356a
company,1776956400,Ecommerce Founders Who Ignore This Type of AI Will Lose Their Best Customers — Here’s Why,139868197,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,"That whole messy, human-driven journey to buy something? AI is starting to do it for us.",https://finnhub.io/api/news?id=052b300b11727db34fc15622d96078111aaf1e8ee4a0d9458baba3a4e205791d
company,1776950936,WhatsApp adds prepaid phone recharges in India as its payments usage still lags,139864189,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,WhatsApp is rolling out prepaid phone recharges to its 500 million users in India via PayU.,https://finnhub.io/api/news?id=cc60303c23d109bc1586518e4ce4699dad7c81f3b8b820f4f2ec187fa401a45d
