category,datetime,headline,id,image,related,source,summary,url
company,1776971104,These S&P500 stocks are moving in today's session,139867292,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,WST,ChartMill,Stay informed about the performance of the S&P500 index one hour before the close of the markets on Thursday. Uncover the top gainers and losers in today's session for valuable insights.,https://finnhub.io/api/news?id=8eda1ce383590a051ac9038f0fb25bdebb55ec5285a404ddb0bc8d3c36092d4b
company,1776963902,Which S&P500 stocks have an unusual volume on Thursday?,139865363,https://www.chartmill.com/images/uploads/CM_Unusual_Volume_Small_free_b9d2e60841.webp,WST,ChartMill,Let's have a look at the S&P500 stocks with an unusual volume in today's session.,https://finnhub.io/api/news?id=df73972f3fcf952d217d996f75895d88b595e94fa7135124974b296d6d163346
company,1776963111,"West Pharmaceutical Services, Inc. Q1 2026 Earnings Call Summary",139866585,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WST,Yahoo,"Moby summary of West Pharmaceutical Services, Inc.'s Q1 2026 earnings call",https://finnhub.io/api/news?id=c83fd4ab7287f17e6e9443196f88c154f24be0a28c55efef309490ffa86ab324
company,1776962820,This Stock Is a Sneaky Weight-Loss Drug Play. Its Soaring.,139868193,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WST,Yahoo,"You already know the big names in weight-loss drugs:  Eli Lilly Novo Nordisk Hims & Hers Health  A lesser-known stock was making moves Thursday.  Shares of  West Pharmaceutical Services  soared after the maker of injectable components reported better-than-expected quarterly results.  The company posted adjusted earnings of $2.13 a share for the first quarter, up from $1.45 a year ago and ahead of Wall Street’s call for $1.68.",https://finnhub.io/api/news?id=713759a14d245a56abf977f133ac6510642e4d5e535e8f55c0010e3445b775a1
company,1776962820,This Pharma Stock Is Soaring After Earnings. It’s a Sneaky GLP-1 Play.,139867765,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WST,Yahoo,"You already know the big names in weight-loss drugs:  Eli Lilly Novo Nordisk Hims & Hers Health  A lesser-known stock was making moves Thursday.  Shares of  West Pharmaceutical Services  soared after the maker of injectable components reported better-than-expected quarterly results.  The company posted adjusted earnings of $2.13 a share for the first quarter, up from $1.45 a year ago and ahead of Wall Street’s call for $1.68.",https://finnhub.io/api/news?id=0d1b3f9cd46fc67c1d99a32ec1547b77e02f6edb1305cba33ac5fcf82d766efd
company,1776962104,What's going on in today's session: S&P500 movers,139865123,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,WST,ChartMill,Curious about the S&P500 stocks that are in motion on Thursday? Join us as we explore the top movers within the S&P500 index during today's session.,https://finnhub.io/api/news?id=045c7b48b65007e164a85ff803fd33eecc2fc353fcd25256a546df5c8edcf0d2
company,1776962100,"WST Stock Jumps on Q1 Earnings & Sales Beat, EPS View Up on HVP Growth",139866513,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WST,Yahoo,"West Pharmaceutical posts 46.9% EPS growth and beats estimates as strong segment demand lifts revenues, prompting a higher 2026 outlook and margin expansion.",https://finnhub.io/api/news?id=7e971e60e709682b5acc6f1f03fe278d7837f485d051882e406ad76171e97fb0
company,1776954905,Thursday's session: gap up and gap down stock in the S&P500 index,139863460,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,WST,ChartMill,Let's have a look at what is happening on the US markets on Thursday. Below you can find the S&P500 gap up and gap down stocks in today's session.,https://finnhub.io/api/news?id=3e77378a8303755471e1b6024163e0b35e5a58eb2c00b94f05f77d23bb01eea5
company,1776954600,These stocks are gapping in today's session,139863459,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,WST,ChartMill,Let's have a look at what is happening on the US markets on Thursday. Below you can find the gap up and gap down stocks in today's session.,https://finnhub.io/api/news?id=5eee56d83af3301feab233a4908ce4746e307a20b2bc4105cfea0e752098be10
company,1776951739,West Pharmaceutical Lifts Annual Guidance After Strong GLP-1 Driven Growth In Q1,139866651,https://cdn.benzinga.com/files/images/story/2026/04/23/Earnings--AI-Support-Bull-Market.jpeg?width=2048&height=1536,WST,Benzinga,"West Pharmaceutical beats Q1 estimates on strong GLP-1 demand, raises 2026 outlook, and authorizes $1 billion buyback amid solid growth.",https://finnhub.io/api/news?id=f4321b236b3e067e253f9392cd9cf3945cbd9b0f13278ef92a22d6366899c8ab
company,1776951005,"Compared to Estimates, West Pharmaceutical (WST) Q1 Earnings: A Look at Key Metrics",139864616,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WST,Yahoo,"The headline numbers for West Pharmaceutical (WST) give insight into how the company performed in the quarter ended March 2026, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://finnhub.io/api/news?id=f81351236a5f9ad4022aa3a050da22bb3c230d723f783af9181c350388e1d9f3
company,1776950564,"West Pharmaceutical Services, Inc. Raises Earnings Guidance for the Full Year 2026",139865490,,WST,Finnhub,"West Pharmaceutical Services, Inc. raised its earnings guidance for the full year 2026. For the period, is increasing its full-year 2026 net sales guidance range to $3.295 billion to $3.350 billion,...",https://finnhub.io/api/news?id=e30ec41494cc7e39a39a80614d8cf913aeb865098f63a5eb6d89771d89e6f67d
company,1776948754,Nasdaq 100 Eases From Records As Software Stocks Plunge: Stock Market Today,139865288,https://cdn.benzinga.com/files/images/story/2026/04/23/Business-Financial-Crisis--Stock-Market-_1.jpeg?width=2048&height=1536,WST,Benzinga,"U.S. stocks dipped as Iran-Hormuz tensions lifted oil, IBM and ServiceNow cratered, and defensive sectors led a rotation",https://finnhub.io/api/news?id=a4c1add16fe777c2fc9b08a343c61165c87609cbfe3d6ae3e03dafd1622cb0a1
company,1776947705,Get insights into the top movers in the S&P500 index of Thursday's pre-market session.,139861934,https://www.chartmill.com/images/uploads/CM_Premarket_Movers_Small_free_90289f6b81.webp,WST,ChartMill,Curious about the S&P500 stocks that are showing activity before the opening bell on Thursday?,https://finnhub.io/api/news?id=797a75e76745e6c7b6ed23429da6b87bee212e8314f482a865435ce2d7a5a25e
company,1776945698,"West Pharmaceutical Services, Inc. (WST) Q1 2026 Earnings Call Transcript",139864708,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,WST,SeekingAlpha,"West Pharmaceutical Services, Inc. (WST) Q1 2026 Earnings Call April 23, 2026 8:00 AM EDTCompany ParticipantsJohn Sweeney - Vice President of Investor...",https://finnhub.io/api/news?id=92938b16a321755667a9136a8be3f2637e9143efe4041f635c638626e7fafa4f
company,1776943408,West Pharmaceutical Services (NYSE:WST) Surges on Q1 Earnings Beat and Raised Guidance,139860829,https://www.chartmill.com/images/uploads/THUMBNAILS_CHARTMILL_1000_528_17_c249efcc18.webp,WST,ChartMill,"West Pharmaceutical Services beat Q1 2026 estimates with $844.9M revenue and $2.13 EPS, driving shares up 9.3% pre-market on raised guidance.",https://finnhub.io/api/news?id=8e8dd59f77a987766885feae8782ed8325cdbf21904229740bb8b67c71e2d94f
company,1776942903,West Pharmaceutical Services (WST) Q1 Earnings and Revenues Beat Estimates,139862945,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WST,Yahoo,"West Pharmaceutical (WST) delivered earnings and revenue surprises of +27.00% and +8.55%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=73936546b88c555dd4076557d32fc4f953f43dc2c180fada9cecaeed69b6771c
company,1776940084,"West Pharmaceutical Q1 Non-GAAP Earnings, Net Sales Rise; Issues Q2 Guidance -- Shares Rise Pre-Bell",139861435,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WST,Yahoo,West Pharmaceutical Services (WST) reported Q1 non-GAAP earnings Thursday of $2.13 per diluted share,https://finnhub.io/api/news?id=77c086af8b3e35a15adb1787cb0f9f7caa1718d0e797514c036d444a15488f4d
company,1776938947,"West Pharmaceutical Services (NYSE:WST) Surprises With Strong Q1 CY2026, Stock Soars",139861436,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WST,Yahoo,"Healthcare products company West Pharmaceutical Services (NYSE:WST) beat Wall Street’s revenue expectations in Q1 CY2026, with sales up 21% year on year to $844.9 million. Guidance for next quarter’s revenue was optimistic at $840 million at the midpoint, 2.2% above analysts’ estimates. Its non-GAAP profit of $2.13 per share was 27.1% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=b13349a85c10b00ae47547ffcaf2279d1336163ba508ca7134549aed1b00fc33
company,1776938692,"Comcast, Molina Healthcare, STMicroelectronics And Other Big Stocks Moving Higher On Thursday",139864005,https://cdn.benzinga.com/files/images/story/2026/04/23/Tucson--Ariz----usa-8---5---19-Comcast-C.jpeg?width=2048&height=1536,WST,Benzinga,"U.S. stocks were lower on Thursday, with the Dow Jones dropping over 200 points. Comcast&#39;s strong earnings caused its shares to rise 6.7%.",https://finnhub.io/api/news?id=da45a7636cd30825593d0bc075e7ef5c7b12a3eb84b671469d112810a46e1703
company,1776938400,West Reports First-Quarter 2026 Results,139860085,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WST,Yahoo,"West Pharmaceutical Services, Inc. (NYSE: WST), a leading provider of innovative, high-quality injectable solutions and services, today announced its financial results for the first quarter of 2026.",https://finnhub.io/api/news?id=2ca065dc30301ede7c89092c4a14f1d8a3513e273aeb44d349d532976152a882
company,1776936918,"Transcript : West Pharmaceutical Services, Inc., Q1 2026 Earnings Call, Apr 23, 2026",139862426,,WST,Finnhub,"Presentation Operator MessageOperator Good day, and welcome to West's First Quarter Earnings Conference Call. [Operator Instructions] Please note, today's call is being recorded.I would now like",https://finnhub.io/api/news?id=6062613e3cb99d8a5ce8e5b653ce857b16ee05d1edd7c4a01816d52caa9e7d28
company,1776935888,West Pharmaceutical Servs Reports Q1 2026 Results: Full Earnings Call Transcript,139866654,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_4.jpg?width=2048&height=1536,WST,Benzinga, ,https://finnhub.io/api/news?id=eda55a5fe3a73c277d71fa01b23b10f50bcc832260c6296a0b23b83c21f209ab
company,1776932735,"West Pharmaceutical Services, Inc. Reports Earnings Results for the First Quarter Ended March 31, 2026",139861692,,WST,Finnhub,"West Pharmaceutical Services, Inc. reported earnings results for the first quarter ended March 31, 2026. For the first quarter, the company reported sales was USD 844.9 million compared to USD 698...",https://finnhub.io/api/news?id=1ca84492e0ee176c208ce71e28d62210c9b8c7f54df4b88140db1044d2d9fd33
company,1776932640,"West Pharmaceutical Services, Inc. Provides Earnings Guidance for the Second Quarter 2026",139861696,,WST,Finnhub,"West Pharmaceutical Services, Inc. provided earnings guidance for the second quarter 2026. For the period, it is introducing its second-quarter 2026 net sales guidance range of $830 million to $850...",https://finnhub.io/api/news?id=d0a2d96a272cd23644077ea46808d8d0e877c5371c0d43302ee0e813f6f8202f
company,1776931669,12 Health Care Stocks Moving In Thursday's Pre-Market Session,139863247,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_1.jpg?width=2048&height=1536,WST,Benzinga, ,https://finnhub.io/api/news?id=781968a06bde95b2727b39d39375e0f1431ee7643998b667b0013bda69a10dea
company,1776929021,Market-Moving News for April 23rd,139864040,,WST,Benzinga,WST: 16% | West Pharmaceutical Services shares are trading higher after the company reported better-than-expected Q1 financial results and raised FY26 guidance above estimates. NOW: -15% | ServiceNow,https://finnhub.io/api/news?id=7e34074c4c339b31a966bd05c75f56948c20f12357b11bbbca110d280a31ca49
company,1776928309,West Pharmaceutical Services shares are trading higher after the company reported better-than-expected Q1 financial results and raised FY26 guidance above estimates.,139866657,,WST,Benzinga,,https://finnhub.io/api/news?id=ca130cf0f828065b2beb0813c82ac3277a567cffd906ecad13a0a4d2edbf66d1
company,1776928289,"Earnings Scheduled For April 23, 2026",139863224,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,WST,Benzinga, ,https://finnhub.io/api/news?id=8c563fc2379fa00c5d61da639c5622b1afb5e4f0e546029b6c462f78a95936f6
company,1776924910,West Pharmaceutical: Q1 Earnings Snapshot,139860151,,WST,Finnhub,"EXTON, Pa. — EXTON, Pa. — West Pharmaceutical Services Inc. on Thursday reported first-quarter net income of $138.8 million. On a per-share basis, the Exton, Pennsylvania-based company said...",https://finnhub.io/api/news?id=9b8324514139e2aefa0fa115c2bc76544ac8aeaa544eb007b2ed7ad2f85c7dd2
company,1776924844,West Pharmaceutical Servs Sees Q2 Adj EPS $2.05-$2.12 vs $2.00 Est; Sees Sales $830.000M-$850.000M vs $818.537M Est,139866659,,WST,Benzinga,West Pharmaceutical Servs (NYSE:WST) is looking for Q2 Adj EPS of $2.05-$2.12 vs $2.00 analyst estimate. sees sales of $830.000 million-$850.000 million vs $818.537 million analyst estimate.,https://finnhub.io/api/news?id=bc3acfb8db16a51241a89788aed7c3cf960b1350474433fc1acacea4f8043148
company,1776924804,West Pharmaceutical Servs Sees Q2 Sales $830.000M-$850.000M vs $818.537M Est,139866660,,WST,Benzinga,West Pharmaceutical Servs (NYSE:WST) sees Q2 sales of $830.000 million-$850.000 million vs $818.537 million analyst estimate.,https://finnhub.io/api/news?id=f60b7a453bc1f29c1c0b21ad1b85f9daa2a2a411aa757032a8ed1a22f0cc89b3
company,1776924248,West Pharmaceutical Servs Raises FY2026 Adj EPS Guidance from $7.85-$8.20 to $8.40-$8.75 vs $8.01 Est; Raises FY2026 Sales Guidance from $3.215B-$3.275B to $3.295B-$3.350B vs $3.249B Est,139866661,,WST,Benzinga,"Outlook for Full-Year and Second Quarter 2026Full-year 2026 net sales guidance increased to a range of $3.295 billion to $3.350 billion, up from $3.215 billion to $3.275 billion and full-year 2026 adjusted-diluted EPS",https://finnhub.io/api/news?id=97d2790d7c1fcb3b0864d9fe2af7b6ce1a1cbef7ced66659ae1bba1f3e960e3b
company,1776924168,West Pharmaceutical Servs Raises FY2026 GAAP EPS Guidance from $7.79-$8.14 to $8.15-$8.50 vs $7.91 Est,139866662,,WST,Benzinga,West Pharmaceutical Servs (NYSE:WST) raises FY2026 GAAP EPS guidance from $7.79-$8.14 to $8.15-$8.50 vs $7.91 analyst estimate..,https://finnhub.io/api/news?id=f37b5b66ecce71c10f8999e83818f68b8a839b8b2008b9327900a60f55f43a11
company,1776924094,"West Pharmaceutical Servs Q1 Adj. EPS $2.13 Beats $1.68 Estimate, Sales $844.900M Beat $779.974M Estimate",139866663,,WST,Benzinga,West Pharmaceutical Servs (NYSE:WST) reported quarterly earnings of $2.13 per share which beat the analyst consensus estimate of $1.68 by 26.79 percent. This is a 46.9 percent increase over earnings of $1.45 per share,https://finnhub.io/api/news?id=b7edf7858b7ed05388390223c88a04817981e22f9dd22fc1d21255df80ee08e3
