category,datetime,headline,id,image,related,source,summary,url
company,1777066200,"1 No-Brainer Artificial Intelligence (AI) Stock to Buy With $10,000 and Hold for the Long Term",139881679,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AVGO,Yahoo,TSMC is one of the best AI stocks to hold for the long term.,https://finnhub.io/api/news?id=d837c05898b3e34e3e4170ebb9af312783966a64e16e131b8e9af2bfffd6333e
company,1777064340,Broadcom: Driving Growth In A Competitive Market,139883109,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1643360144/image_1643360144.jpg?io=getty-c-w1536,AVGO,SeekingAlpha,Broadcom (AVGO) AI chip revenue surged 106% YoY to $8.4B; analysts see a $100B+ 2027 path.,https://finnhub.io/api/news?id=025b99be8ac2cbd54c9aea660c92d547617e7e5a14fd1f76f22590fc9e6e63d8
company,1777061733,Is Broadcom Inc. (AVGO) A Good Stock To Buy Now?,139881713,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AVGO,Yahoo,"Is AVGO a good stock to buy? We came across a bullish thesis on Broadcom Inc. on Nikhs’s Substack. In this article, we will summarize the bulls’ thesis on AVGO. Broadcom Inc.’s share was trading at $396.72 as of April 15th. AVGO’s trailing and forward P/E were 77.33 and 35.59 respectively according to Yahoo Finance. Broadcom Inc. […]",https://finnhub.io/api/news?id=5799535cf30e46c3795a69ba1c159839070cddc76576f10423baf0eb44783657
company,1777057188,"This market is a beast if you own any data center stocks, says Jim Cramer",139888345,https://image.cnbcfm.com/api/v1/image/108297235-6ED3-MM-A-BLOCK-SHORT-042426.jpg?v=1777070720&w=1920&h=1080,AVGO,CNBC,'Mad Money' host Jim Cramer looks ahead to next week's market moving moments.,https://finnhub.io/api/news?id=49d76e4834ee675e2fb0884af3941ae2502e04a2a65bfdb2746f33993c56b747
company,1777056967,Cramer looks ahead to next week's big tech earnings,139888347,https://image.cnbcfm.com/api/v1/image/108297234-6ED3-MM-A-BLOCK-042426.jpg?v=1777070551&w=1920&h=1080,AVGO,CNBC,'Mad Money' host Jim Cramer looks ahead to next week's market moving moments.,https://finnhub.io/api/news?id=b1cfed3ba8249597ee87e1aaf0d63aa41ba7634398bd0cae24f1bcaa25fed8e9
company,1777054984,"Is Marvell Technology, Inc. (MRVL) A Good Stock To Buy Now?",139880503,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AVGO,Yahoo,"Is MRVL a good stock to buy? We came across a bullish thesis on Marvell Technology, Inc. on r/TheRaceTo10Million by ZaneStutt. In this article, we will summarize the bulls’ thesis on MRVL. Marvell Technology, Inc.’s share was trading at $134.60 as of April 15th. MRVL’s trailing and forward P/E were 43.84 and 35.09 respectively according to Yahoo […]",https://finnhub.io/api/news?id=f664e5ecefe24d5ad0251af5bfa638b716d62bd81e0447b5885195b7faa2794b
company,1777052231,Cybersecurity ETFs Face a Reckoning: Which 3 Will Weather the Downturn,139880504,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AVGO,Yahoo,"Ransomware payouts, supply‑chain breaches, and state‑backed attacks have pushed cybersecurity spending into the category of must‑have corporate expenses rather than optional upgrades. For investors who want exposure to the security budgets that swell after every major breach, thematic ETFs offer a cleaner entry point than trying to pick winners in an industry where market share ... Cybersecurity ETFs Face a Reckoning: Which 3 Will Weather the Downturn",https://finnhub.io/api/news?id=37333604094b1518c3f233957392157f91b165c770a931e3b12c840d38d68a5b
company,1777048685,Google investing up to $40 billion in Anthropic,139879324,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AVGO,Yahoo,"The deal includes $10 billion committed now, with another $30 billion contingent on Anthropic hitting performance targets",https://finnhub.io/api/news?id=ef2de38190a2af4653e21ce486922be345f7bf5de038d5eeb015dd36d1715f21
company,1777045818,Google Plans to Invest Up to $40 Billion in Anthropic,139879331,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AVGO,Yahoo,"(Bloomberg) -- Google will invest $10 billion in Anthropic PBC, with another $30 billion potentially to follow, strengthening the relationship between two companies that are at once partners and rivals in the race to build artificial intelligence.Most Read from BloombergUS Reduces Marijuana Restrictions in Lift to Ailing IndustryMeta Tells Staff It Will Cut 10% of Jobs in Push for EfficiencyAnthropic’s Mythos Model Is Being Accessed by Unauthorized UsersInside Alex Cooper’s Unwell: Tears, Scream",https://finnhub.io/api/news?id=0132d99bb4692de3540d47a4ad90fab7ef4c29b8ae8a70c6005fd5aa71ab79eb
company,1777044605,"Meta Platforms, Inc. (META): Bill Ackman Opens New Position",139877497,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AVGO,Yahoo,"We just covered the 10 Best Long-Term Stocks to Buy According to Bill Ackman and Meta Platforms, Inc. (NASDAQ:META) ranks 5th on this list. Meta Platforms, Inc. (NASDAQ:META) is a relatively new addition to the 13F portfolio of Pershing Square. Filings for the fourth quarter of 2025 show that the fund owned 2.67 million shares […]",https://finnhub.io/api/news?id=16a2db593029daf829c0ddcf6e1f4c74637e34c7951e61b8edce703d16fbe392
