category,datetime,headline,id,image,related,source,summary,url
company,1777071751,Smead Value Fund Reduces Stake in American Express Co by 16.6%,139882741,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,"Insights from Smead Value Fund (Trades, Portfolio)'s Recent N-PORT Filing",https://finnhub.io/api/news?id=dc7d7b86fa627132911299977eac5cbac657c62c43ab1a01f1a1dae1811dc05e
company,1777064483,AXP Q1 Deep Dive: Premium Portfolio Momentum and Strategic Investments Meet Cautious Market Response,139881837,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,"Global payments company American Express (NYSE:AXP) reported Q1 CY2026 results exceeding the market’s revenue expectations, with sales up 19.5% year on year to $18.91 billion. Its non-GAAP profit of $4.28 per share was 7.2% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=477f4521b24ec7813dd3f00b6ca7e2339349f5e13e80da2e3baaabee930476d9
company,1777061603,1 S&P 500 Stock to Own for Decades and 2 We Find Risky,139881838,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,"The S&P 500 (^GSPC) is home to the biggest and most well-known companies in the market, making it a go-to index for investors seeking stability. But not all large-cap stocks are created equal - some are struggling with slowing growth, declining margins, or increased competition.",https://finnhub.io/api/news?id=fd58b60c4c5c16b8ccedb10f72014a373c8e1bc7788333e6384ced046a94a2cd
company,1777061400,Crypto Has Another Positive Week As Investor Sentiment Improves,139881737,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,Cryptocurrencies enjoyed another positive week as the ceasefire between the U.S. and Iran held and investor sentime...,https://finnhub.io/api/news?id=8160884aac4ceb1a3ec554e112aa4c9d4bdfc0d01c3e5032be0173f61a826c31
company,1777052219,GDV’s $1.80 annual payout faces a hidden test as leverage amplifies market risk,139880497,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,"The Gabelli Dividend & Income Trust (NYSE:GDV) has pushed to an all-time high of roughly $29, with shares changing hands at about $29 and annual distributions stepped up to $1.80 per share. This article examines whether the monthly payout is backed by durable cash flow from the underlying portfolio, or whether the rally has pulled ... GDV’s $1.80 annual payout faces a hidden test as leverage amplifies market risk",https://finnhub.io/api/news?id=7b2836b1c9b9bf4c9f8c4123f63d7f16b329b85ec204638067b2caac6bece4ed
company,1777048080,Omnicom Gears Up to Report Q1 Earnings: What's in the Cards?,139880646,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,"OMC heads into Q1 earnings with a mixed surprise history, though strong client wins, Interpublic acquisition and technological upgrades drive projected growth.",https://finnhub.io/api/news?id=06cc22b9b451609eb3304704c5be87d3275ee1c88d00a4d68c2b37bfcc08f6c1
company,1777047186,American Express Gets Dueling Calls From BofA and Barclays: Which Side Is Right?,139879393,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,"American Express‘s (NYSE:AXP) Q1 2026 earnings beat drew a split verdict from Wall Street. Bank of America reiterated its Buy rating and raised its price target to $387 from $381, while Barclays kept an Equal Weight rating and trimmed its price target to $322 from $323. The disagreement cuts to the heart of the premium ... American Express Gets Dueling Calls From BofA and Barclays: Which Side Is Right?",https://finnhub.io/api/news?id=b1fd3846cf81227955601b6fa41cd6265ca28e4b73dc2116d0efdac1cc638d64
company,1777046400,"Unfortunately, the K-shaped economy might be here to stay",139879454,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,"Consumer sectors (XLP, XLC, XLY) are in focus after Procter & Gamble (PG) beat earnings estimates. Yahoo Finance Senior Reporter Brooke DiPalma discusses the state of the consumer with Yahoo Finance Executive Editor Brian Sozzi.",https://finnhub.io/api/news?id=6ebc2d26a8c2b7a38db4c97c4076d23f3877c74ff6cfd69d1868239a3f6bf305
company,1777045711,"American Express Seen as Quality Core Holding With 'Solid' Growth Outlook, RBC Says",139877707,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,"American Express' (AXP) Q1 results were healthy, with accelerating billings and revenue trends, whil",https://finnhub.io/api/news?id=dd7da2391f55b5d5cc2b95537383ae1175766b7f45de7d6d7eea2b41efcbd7f1
company,1777044660,American Express vs. Affirm: Which Payments Stock Has More Upside?,139879521,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,"AFRM's surging BNPL growth and higher upside potential set it apart from AXP, despite AXP's stable spending trends and premium model strength.",https://finnhub.io/api/news?id=5f07c8cbd967be5e2e00c0faa35712587dd9dd5d14b7cdad0f9ff31da19b2ec6
