category,datetime,headline,id,image,related,source,summary,url
company,1777063260,"Top Stock Reports for Caterpillar, Texas Instruments & Boeing",139882713,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BA,Yahoo,"Today's Research Daily features new research reports on 16 major stocks, including Caterpillar Inc. (CAT), Texas Instruments Inc. (TXN) and The Boeing Company (BA), as well as two micro-cap stocks Kewaunee Scientific Corp. (KEQU) and Vaso Corp. (VASO).",https://finnhub.io/api/news?id=2825ea746512c43536765eaab7c55bf2b1bce3580c9f058a4521f4fa50bc763e
company,1777062060,3 Companies Shattering Quarterly Records,139881836,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BA,Yahoo,"Several companies have knocked it out of the park this earnings cycle, breaking records in one way or another.",https://finnhub.io/api/news?id=084d47e1e9e954bacd1280b3bba968e75b390331710a08e98fbfd0fb3ecc02fd
company,1777051091,1 ETF to Buy Before a $1.5 Trillion Defense Budget Hits,139879282,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BA,Yahoo,"It’s quite obvious now that military stocks are not going to tumble significantly anytime soon. The forever wars will pause, only to be followed up with another conflict down the line, and the First Trust Indxx Aerospace & Defense ETF (NYSEARCA:MISL) benefits greatly from that. This one gives you exposure to everything that is in hot ... 1 ETF to Buy Before a $1.5 Trillion Defense Budget Hits",https://finnhub.io/api/news?id=c8946b8a687d17d0e328ce4356f8a9d1cefed43847d0505cd7dfcaf55836b100
company,1777044961,"Stock Market Holds Near Highs As Intel Leads Chip Surge; Apple, Tesla, ServiceNow In Focus: Weekly Review",139877453,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BA,Yahoo,The stock market held near highs this week as Intel and chipmakers offset ServiceNow and software woes. Apple CEO Tim Cook is leaving.,https://finnhub.io/api/news?id=daed80e94c68f3496251e519bb3004386460947220c3e568deab913d864383f9
company,1777039313,Leveraged ETFs Explained: 3 Picks for Active Traders Who Want Speed,139877669,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BA,Yahoo,"Leveraged exchange-traded funds deliver a daily multiple of an underlying index’s return, using swaps and futures to reset exposure every session. The daily reset means multi-day performance depends on the path the index travels between the start and end points. Traders use these instruments to express short-horizon directional views over brief holding periods. Context shapes ... Leveraged ETFs Explained: 3 Picks for Active Traders Who Want Speed",https://finnhub.io/api/news?id=15da4631567f07b7bdeb25766f26571ed2df773e54c251fbba5323bce944d5be
company,1777022040,"Zacks.com featured highlights include Cummins, Analog, Amphenol and Morgan Stanley",139875234,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BA,Yahoo,"Cummins, Analog, Amphenol and Morgan Stanley have been highlighted in this Screen of the Week article.",https://finnhub.io/api/news?id=b6ea0c66deed91aeae1a2add995ee2f47cd27b6760b7fd88b4738321d3719216
company,1777016984,"Congresswoman Discloses Hundreds Of Thousands In Stock Trades, Here's What She Bought",139876713,https://cdn.benzinga.com/files/images/story/2026/04/24/Congressional-Trades.jpeg?width=2048&height=1536,BA,Benzinga,"A member of Congress recently bought hundreds of thousands of dollars in stocks, marking her first trades since 2024.",https://finnhub.io/api/news?id=f02272094e6d62a07f4e06f7b5b15200747778486a5f258194d2aa76b53d25c2
company,1777015893,TACO Trade Joke No More? Trump's Art Of The Deal' Powers S&P 500's Steepest Highs And Lows,139879905,https://cdn.benzinga.com/files/images/story/2026/04/24/Toronto--Canada---June-3-2025-President-.jpeg?width=2048&height=1536,BA,Benzinga,"Trump&#39;s policy moves drive S&amp;P 500&#39;s biggest gains and losses, making him a key market volatility driver in his second term so far.",https://finnhub.io/api/news?id=7b71d6b68f30867ae1d47c2be7b50a54c069061bc0289419ccbe698175d40c08
company,1777014001,"The aerospace and defense trade is taking investors deeper into space, and more ETFs are up for the mission",139878720,https://image.cnbcfm.com/api/v1/image/108145999-1747313814631-gettyimages-1669661620-internet-communication-from-space4.jpeg?v=1776972406&w=1920&h=1080,BA,CNBC,VettaFi's Cinthia Murphy finds more exchange-traded funds are tackling the space theme more directly as excitement over the SpaceX IPO grows.,https://finnhub.io/api/news?id=18dd8c2bbca3e8123c9f239c79c27ef378acb18ffdd3c3662ec359b889fe017c
company,1777003594,Hexcel Q1 Earnings Call Highlights,139872649,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BA,Yahoo,"Hexcel (NYSE:HXL) reported first-quarter 2026 results that management said were in line with expectations as commercial aerospace production increased and channel inventory levels continued to normalize after 2025 destocking. Chairman, CEO and President Tom Gentile said the quarter reflected “strong",https://finnhub.io/api/news?id=53e8862eb58f247be15d1af350930f3604dfd696bebe4c9a209103b246c7cf11
company,1776989250,Boeing Q1 Earnings Call Highlights,139871346,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BA,Yahoo,"Boeing (NYSE:BA) executives said the company began 2026 with improved performance across its three major businesses, with higher revenue, progress on commercial production stability, and continued efforts to de-risk defense development programs. Management also said it has not seen a near-term impac",https://finnhub.io/api/news?id=9ecb2bc3d634a83ac52fd81fc637f7e654b3928f0feb7740a7bfff764fba8b02
